filename,location,pages,mentions,source
2013_Peters.txt,60 km from Kaya,19,"Kongossi 
is 60 km from Kaya and lies at the northeastern end of the belt. The belt is composed of two 100 km 
parallel  branches  that  are  characterized  by  topographic  highs;  the  branches  are  separated  by  a 
relatively flat lying region up to 20 km wide. An extensive ferricrete profile covers the GB as is typical for the West African craton in general 
(Brown  et  al.,  1994;  Beauvais  et  al.,  2008). The  ferricrete  formed  during  the  Cretaceous  Period  but 
was remobilised during the Palaeogene-Neogene in discrete erosion events, with 40Ar/39Ar dates of 59-
45 Ma, 29-18 Ma, 18-11 Ma, 6 Ma and 3 Ma (Brown et al., 1994; Beauvais et al., 2008). The last three 
erosional  periods  were  responsible  for  the  formation  of  distinct  three-level  pediment  surfaces  seen 
throughout the GB (WAXI, 2013). 1.3.",llm
2013_Peters.txt,"696828, 1443986",10,"(d)  Photomicrograph  of  pyrite  and  chalcopyrite  in  a  vein  that 
crosscuts  basalt  (Sample  G12-02-096;  UTM  30P  694686;  1443104;  Reflected-light). The 
texture indicates that sulphide mineralisation is synchronous to, or postdates emplacement of the 
basalt sequence. Figure  5.4. (a)  Photomicrographs  of  a  coarse-grained,  poorly  sorted,  chlorite-rich  volcanogenic 
greywacke. The  sample  is  composed  of  quartz,  plagioclase  (>  2mm),  lithic  chert  clasts,  and 
biotite  (Sample  G12-007;  696828;  1443986). (b,  c)  Photomicrographs  of  pyroclastic  breccia 
containing  euhedral,  coarse-grained  (>  1mm)  plagioclase,  chert,  quartz  and  fine-grained  (< 
0.5mm)  epidote  replacing  clinopyroxene  and  hornblende.",llm
2013_Peters.txt,696828; 1443986,50,"Figure 5.4. (a) Photomicrographs of a coarse-grained, poorly sorted, chlorite-rich volcanogenic greywacke. The sample is 
composed  of  quartz,  plagioclase  (>  2mm),  lithic  chert  clasts,  and  biotite  (Sample  G12-007;  696828;  1443986). (b,  c) 
Photomicrographs of pyroclastic breccia containing euhedral, coarse-grained (> 1mm) plagioclase, chert, quartz and fine-
grained (< 0.5mm) epidote replacing clinopyroxene and hornblende. The matrix is interpreted to be composed of ash-lapilli 
sized fragments that are altered to epidote and chlorite (Sample G12-02-126; UTM 30P 709365; 1424791, cross polarized 
light). (d) Photomicrograph of pyroclastic breccia that is composed of euhedral, coarse-grained (> 1 mm), zoned, volcanic 
hornblende, with well-defined cleavage, and l> 2 mm sub-rounded chert clasts and sub-angular quartz grains (Sample G12-
02-126; UTM 30P 709365; 1424791, plane polarized light).",llm
2013_Peters.txt,Africa,19,"1.2. Location and physiography 
Burkina  Faso  is  situated in  West  Africa  and is  bordered  by  Ghana,  Benin, Togo,  Mali,  Niger 
and Côte d’Ivoire. It is a landlocked country that covers an area of 274 300 km2. It lies mostly in the 
Sahel climatic zone. The  Sahelian  zone  is  characterized  by  hot  and  arid  conditions. Burkina  Faso  has  an  average 
daily temperature of 32° C and less than 25 cm of rainfall annually, particularly in the northern and 
northeastern regions (McFarland et al., 1998).",rules
2013_Peters.txt,Al2O3,58,"In  addition,  the  amount  of 
silica  represented  was  not  considered  reliable,  due  to  silicification  of  the  GB  samples. MgO  is 
accepted to be relatively more immobile than SiO2 (Rollinson, 1993) and therefore able to provide an 
relatively  accurate  representation  of  the  original  MgO  wt%  of  the  rocks. MgO  was  plotted  against 
TiO2, P2O5, SiO2, Al2O3, Na2O, CaO, FeO, NiO, Cr2O3 and K2O (Figure 6.2 a-j). Both increasing and 
decreasing oxide trends are interpreted to represent periods of mineral crystallization, and termination 
of crystallization. Some trends resolved on the Harker diagrams exhibit better correlations than others. The MgO-
NiO plot resolvs a trend line in which NiO decreases with MgO (Figure 6.2a).",rules
2013_Peters.txt,Allen,30,"Hyaloclastites 
and flow breccias indicate autoclastic facies, which often occur  near coherent lavas (Lajoie and Stix, 
1992). Lavas can develop numerous textures, most because of cooling, such as those observed in the 
GB (e.g., hyaloclastites, jointing and volcanic glass). For  example,  the  greenschist  facies  Mt  Reid  volcanics  of  western  Tasmania  yield  fairly  well 
preserved volcanic textures where the rocks are not strongly altered by hydrothermal processes and/or 
deformed  (McPhie  and  Allen,  2003). An  example  of  this  is  the  devitrification  of  volcanic  glass,  as 
described  by  McPhie  and  Allen  (op  cit.,  2003);  crystal  boundaries  remain  intact  and  the  glass 
recrystallises as zeolites with a minor proportion of clay minerals. As a further example, metamorphosed Triassic basalt lavas in NW Croatia were interpreted as 
proximal  to intermediate  facies  by  Palinkaš  et  al. (2008)  based  on  volcanic textures  such  as  closely 
packed  pillows,  hyaloclastite,  pepperite  and  tortoise-shell  jointing.",rules
2013_Peters.txt,Aplite,52,"Pyrite,  chalcopyrite  and  bornite  are  disseminated 
throughout  the  rocks  and  typically  constitute  an  approximately  1  %  modal  abundance. However, 
chalcostibite  occurs  with  chalcopyrite  intergrowths  within  Sample  G12-02-122  (Figure  5.6a). The 
chalcostibite has a modal abundance of 10 % and measures between 2 and 5 mm in size. The sulphide 
is characterized by triangular pits, a moderate reflection and a soft texture as shown by scratch and pit 
marks on the polished surface. 5.3.2. Aplite dykes 
Aplite  dykes  in  the  study  area  contain  plagioclase,  quartz,  orthoclase  and  microcline,  with 
accessory biotite and muscovite (Figure.",rules
2013_Peters.txt,ArcGIS,20,"It includes 
field work techniques, laboratory processes, data procurement and data analyses. Some of these 
processes  include  petrography,  geochemical  analyses  and  interpretations,  and  the  use  of 
ArcGIS®, Google Earth® and CorelDraw®. 20",rules
2013_Peters.txt,Archaean,22,"2. REVIEW OF WEST AFRICAN GEOLOGY 
2.1. Stratigraphy 
The West African Craton (WAC) is made up of Archaean and Palaeoproterozoic rocks and is 
divided  into  the  Reguibat  Rise  in  the  north  and  the  Leo-Man  Rise  in  the  south  (Thiéblemont  et  al., 
2004)  (Figure  1.1). The  Leo-Man  consists  of  two  domains,  namely  the  Archaean  Kénema-Man 
domain  (3.54  Ga)  in  the  southwest  and the  Palaeoproterozoic  Baoulé-Mossi  domain  (2.3-1.8  Ga)  in 
the  east  (Feybesse  et  al.,  2006),  with  the  exception  of  the  Kénieba-  Kédougou  and  Kayes  Inliers, 
located  between  Mali  and  Senegal  (Figure  1.1). The  Birimian  Supergroup  makes  up  part  of  the 
Baoulé-Mossi  domain  and  was  deposited  ca. 2.3  Ga  (Feybesse  et  al.,  2006;  Pawlig  et  al.,  2006).",rules
2013_Peters.txt,Archaean Barberton greenstone belt,74,"Although  considered  rare  in  mafic,  non-viscous  lavas,  flow 
banding has been recorded in the Archaean Barberton greenstone belt of South Africa (Robbins et al., 
2010) and occurs in the southern Bouroum belt in Burkina Faso (WAXI, 2013) (Figure 1.1). The  coherent  and  autoclastic  units  of  the  study  area  formed  as  a  result  of  effusive  eruptions. Effusive eruptions are typical of basaltic liquids, particularly when submerged beneath the confining 
water column. Effusive eruptions are characterized by the ability of lava to flow (low viscosity) rather 
than explode (Parfitt and Wilson, 2008) because volatiles escape passively through vesicle formation 
(McPhie et al., 1993; Bardintzeff and McBirney, 2000; Parfitt and Wilson, 2008). The  coherent  and  autoclastic  facies  are  interpreted  to  have  formed  proximally  to  the  volcanic 
source. However, because basaltic lavas have low viscosities, they are able to flow laterally between 
tens and hundreds of metres before solidification.",rules
