filename,location,pages,mentions,source
2015_LeBrun_Siguiri.txt,30 km north of the district,35,"Two  main  regions  were  targeted  for  structural  and 
lithostratigraphic 
observations and sampling: the Maléa monzogranite region, ~30 km north of the district, and 
the  Saraya  greenfield  project  ~50 km to the  west of  the  district. The  Maléa  site  was  chosen 
because  this  monzogranite  represents  the  closest  and  largest  mapped  pluton  intruding  the 
sediments  of  the  Siguiri  Basin. Dating  of  this  intrusive  hence  gives  a  minimum  age  for  the 
Siguiri  Basin  sediments. Additionally,  structural  observations  from  this  site  would  get  an 
35",llm
2015_LeBrun_Siguiri.txt,50 km north of the Siguiri district,31,"To the south, the Siguiri Basin is bordered by a series of 
late  Eburnean intrusives (ca. 2090-2070 Ma) and by the Sassandra fault separating the Basin 
sediments from the Archean Kénéma-Man gneiss (Egal et al., 2002). The Archean banded iron 
formations of the Simandou also outcrop south of the Siguiri Basin (Egal et al., 1999). Finally, to 
the north, the Siguiri Basin is unconformably overlain by the Neoproterozoic sediments of the 
Taoudeni  Basin. The  Siguiri  Basin  sediments  are  intruded  by  a  number  of  late  Eburnean 
monzogranite  and  biotite  granite  intrusions  dated  at  ca. 2090-2070  Ma  such  as  the  Malea 
monzogranite, outcropping in the northernmost part of the Basin, 50 km north of the Siguiri 
district  (Egal  et  al.,  2002;  Parra-Avila,  2015).",llm
2015_LeBrun_Siguiri.txt,50 km to the west of the district,35,"Two  main  regions  were  targeted  for  structural  and 
lithostratigraphic 
observations and sampling: the Maléa monzogranite region, ~30 km north of the district, and 
the  Saraya  greenfield  project  ~50 km to the  west of  the  district. The  Maléa  site  was  chosen 
because  this  monzogranite  represents  the  closest  and  largest  mapped  pluton  intruding  the 
sediments  of  the  Siguiri  Basin. Dating  of  this  intrusive  hence  gives  a  minimum  age  for  the 
Siguiri  Basin  sediments. Additionally,  structural  observations  from  this  site  would  get  an 
35",llm
2015_LeBrun_Siguiri.txt,50 km west of the Siguiri district,61,"The  Saraya  area  is  located  ~50  km  west  of  the  Siguiri  district  (area  around  sample 
Si327 on Figure  3B). The  lithostratigraphy in the Saraya  area is similar to that of the district, 
displaying  fine  micaceous  greywacke,  siltstone  and  shale  beds  alike  of  those  of  the  Balato, 
Fatoya and Kintinian Formations. In AEM, the Saraya area shows a low response similar to that 
of the Fatoya Formation. The Saraya metasediments are however overlain unconformably by 
67",llm
2015_LeBrun_Siguiri.txt,A Dextral Ne-sw Shear Zone,21,"THE  NORTHERN  PART  OF  THE  DEPOSIT  (CENTRE)  HOSTS  A  BEDDING  PARALLEL  THRUST  FAULT  THAT 
DEVELOP INTENSE V3S VEINING (B). B) VEINING DEVELOPED IN THE NORTHERN PART OF THE DEPOSIT. THE V3B VEINS 
ARE  STRATIGRAPHICALLY CONTROLLED  AND  MAINLY HOSTED  IN THE  GREYWACKE AND  SANDSTONE  BEDS. C) CLOSE-UP 
PHOTOGRAPH  OF  ONE  OF  THE  RARE  DISCRETE  STRUCTURES  CONTROLLING  GOLD  GRADES  IN  THE  SIGUIRI  DISTRICT,  A 
DEXTRAL NE-SW SHEAR ZONE. GOLD GRADES ACROSS THIS SHEAR ZONE ARE OVER 100 G/T AU. D) SIDERITE NODULES 
DEVELOPED AROUND THE ORE SHOOTS.",rules
2015_LeBrun_Siguiri.txt,ABSTRACT The West African Craton,5,"ABSTRACT 
The West African Craton hosts some of the biggest gold deposits in the world such as 
Obuasi,  Sadiola,  Morila  or  Siguiri. However,  the  Craton  is  still  largely  unexplored  and  its 
formation,  evolution  and  how  and  when  the  gold  deposits  it  hosts  developed  during  the 
Eburnean  orogeny  remain  unclear. The  Siguiri  district  is  one  of  West  Africa's  largest 
Paleoproterozoic  sedimentary  basins  and  sits  in  the  northern  part  of  the  Siguiri  Basin. The 
district and its hosting Basin have received limited attention from the scientific community to 
date. This  thesis  makes  use  of  a  multi-scale  and  multi-disciplinary  approach  in  order  to 
constrain the evolution of the  Siguiri district and Siguiri Basin architecture and hydrothermal 
activity through time. The objective is to provide the backbone of future exploration strategies 
for orogenic gold deposits in the Siguiri Basin and, potentially, in the rest of the West African 
Craton.",rules
2015_LeBrun_Siguiri.txt,AND KNOWLEDGE GAPS The West African Craton,29,"CHAPTER 1: INTRODUCTION 
4D EVOLUTION OF THE OROGENIC GOLD DISTRICT OF 
SIGUIRI, GUINEA (WEST AFRICA) 
PREAMBLE AND KNOWLEDGE GAPS 
The West African Craton (WAC) is also known as the Leo-Man Shield. It is made of two 
distinct  terranes:  the  Archean  Kénéma-Man  domain  to  the  south-west,  and  the 
Paleoproterozoic  Baoulé-Mossi  domain  (Figure  1A). The  Archean  domain  is  dominated  by 
gneiss  dated  between  ca. 3540  and  2750  Ma  (Kouamelan  et  al.,  1997;  Thiéblemont  et  al., 
2001) while the Paleoproterozoic domain displays an assemblage of volcano-sedimentary belts 
and felsic intrusives, ranging in age from ca. 2250 to 2040 Ma (Davis et al., 2015; Parra-Avila, 
2015;  Tshibubudze  et  al.,  2013). A  large  part  of  the  Baoulé-Mossi  domain  is  overlain 
unconformably  by  the  Neoproterozoic  sediments  of  the  Taoudeni  Basin  (Begg  et  al.,  2009; 
Lawrence et al., 2013a; Villeneuve and Cornée, 1994).",rules
2015_LeBrun_Siguiri.txt,Africa,5,"ABSTRACT 
The West African Craton hosts some of the biggest gold deposits in the world such as 
Obuasi,  Sadiola,  Morila  or  Siguiri. However,  the  Craton  is  still  largely  unexplored  and  its 
formation,  evolution  and  how  and  when  the  gold  deposits  it  hosts  developed  during  the 
Eburnean  orogeny  remain  unclear. The  Siguiri  district  is  one  of  West  Africa's  largest 
Paleoproterozoic  sedimentary  basins  and  sits  in  the  northern  part  of  the  Siguiri  Basin. The 
district and its hosting Basin have received limited attention from the scientific community to 
date. This  thesis  makes  use  of  a  multi-scale  and  multi-disciplinary  approach  in  order  to 
constrain the evolution of the  Siguiri district and Siguiri Basin architecture and hydrothermal 
activity through time. The objective is to provide the backbone of future exploration strategies 
for orogenic gold deposits in the Siguiri Basin and, potentially, in the rest of the West African 
Craton.",rules
2015_LeBrun_Siguiri.txt,"Agnew Gold Camp, Yilgarn Craton, Western Australia",137,"Steyn,  J. G.,  2012,  Structural  geology  and  controls of  gold  mineralization  in  the  Siguiri  Mine, 
Guinea, West Africa: MSc thesis, Stellenbosch University. Taylor,  R.,  2010,  Ore  textures:  recognition  and  interpretation,  Springer  Science  &  Business 
Media. Thébaud, N., Miller, J., McCuaig, C., Fisher, L. and Sonntag, I., 2013, The orogenic and not so 
orogenic gold deposits of the Agnew Gold Camp (Yilgarn Craton, Western Australia), v. 3, p.",llm
2015_LeBrun_Siguiri.txt,Alaska,133,"Goldfarb, R. J., Newberry, R. J., Pickthorn, W. J., and Gent, C. A., 1991, Oxygen, hydrogen, and 
sulfur isotope studies in the Juneau gold belt, southeastern Alaska; constraints on the 
origin of hydrothermal fluids: Economic Geology, v. 86, p.",rules
2015_LeBrun_Siguiri.txt,Albany,26,"In  addition  to  these  colleagues  and  fellow  researchers,  the  admin  and  research 
staff/student  at  the  CET  were  an  irreplaceable  support  in  the  success  of  this  project. Specifically, Matt Hill, Luis Parra, Quentin Masurel, Thomas Angerer, Ana-Sophie Hensler and 
Christian  Schindler  are  thanked  for  reminding  me  that  a  PhD  was  also the  occasion  to meet 
great  people  and  share  good  moments  around  a  beer  (or  two  maybe). Cindy  Dunjey,  Susie 
Cass,  Estelle  Dawes,  Emily  Denham,  Wendy  Carter,  Gillian  Evans  and  Hayley  Newberry  are 
thanked for handling the financial and administrative side of the research. Regarding financial support, this project is funded by AngloGold Ashanti, which I thank, 
and  is  associated  with  an  ARC  Linkage  Grant:  “Four  dimensional  lithospheric  evolution  and 
controls  on  mineral  system  distribution 
in  Neoarchean  to  Paleoproterozoic  terranes"" 
(LP110100667), and in collaboration with the AMIRA P934A project “West African Exploration 
Initiative- Stage 2”. Outside  the  academic  world,  my  friends  and  family  were  the  strong  pillars  that 
supported me all along, cheered me up when things were looking dire and have always been a 
welcomed  distraction when I was  meant to work  hard. In particular, I thank  my spearfishing 
buddies and dear friends Mael Coret, Craig McPhilimey and Jacques Wittig for accompanying 
me on our regular underwater escapes in the cold waters around Albany and the warm depths 
26","llm,rules"
2015_LeBrun_Siguiri.txt,Allibone,88,"Introduction 
Orogenic gold mineralization is common across the Paleoproterozoic Birimian rocks of 
the West African Craton e.g. Lawrence et al., (2013a); Milési et al. (1989); Milési et al., (1992). The  location  of  orogenic  gold  deposits  is  typically  controlled  by  complex  regional-scale  fault 
networks (Goldfarb et al., 2001; Groves et al., 2000). In West Africa, the Ashanti fault system in 
Ghana, is one example of such a network, and its many faults host some of the biggest vein-
hosted  and  fault-vein-hosted  orogenic  gold  deposits  (e.g.,  Obuasi,  Allibone  et  al.,  2002; 
Fougerouse  et  al.,  this  volume). The  Siguiri  district  (240  t/7.9  Moz;  AngloGold  Ashanti  Ltd., 
2013;  AngloGold  Ashanti  Ltd.,  n.d.)  is  unusual  in  West  Africa  because  it  is  not  located  on  a 
recognized  large  regional  scale  fault  system.",rules
2015_LeBrun_Siguiri.txt,Alpine Schists,194,"A., Craw, D., Olivo, G. R., Kerrich, R., and  Brewer, T. S., 2006, Sources 
of metals and fluids in orogenic gold deposits: insights from the Otago and Alpine Schists, 
New Zealand: Economic Geology, v. 101, p. 1525-1546. Price,  R.",llm
2015_LeBrun_Siguiri.txt,Alps,80,"The Kintinian Formation – a Tarkwa Group sequence? With  the  sole  base  of  the  geochronological  record  it  remains  difficult  to  determine 
wether the Siguiri district sediments  belong to the Upper Birimian or Tarka Group. The first 
detailed  study  of  the  Tarkwaian  sedimentary  rocks  lithotype  in  Ghana,  defining  the  Tarkwa 
Group,  was  conducted  over  40  years  ago  by  Sestini  (1973). The  Tarkwaian  consists  of 
intercalations  of  conglomerates,  sandstones  and  phyllites. The  conglomeratic  layers  display 
Birimian quartz pebbles and volcanic clasts and were interpreted to represent piedmont-type 
deposits (short transport in an environment of active continental erosion; Bossière et al., 1996; 
Mueller et al., 1996), similar to that found on the southern foot of the Alps and the Himalayas 
(Hirdes  and  Nunoo,  1994;  Sestini,  1973). Since  this  early  work,  sedimentary  rocks  from  the 
Tarkwa Group have been described in other parts of the West African Craton.",rules
2015_LeBrun_Siguiri.txt,Alteration,17,"E) CORE  FROM  THE BIDINI  DEPOSIT  DISPLAYING 
METER-WIDE  CARBONATE  ALTERATION  HALOES  (BLEACHED)  AROUND  V3B  VEINS;  F)  MICROPHOTOGRAPH  OF  A  SANU 
TINTI  DISSEMINATED  PYRITE. FREE  GOLD  IS  ASSOCIATED  WITH  CHALCOPYRITE  AND  DISPLAYS  TRIANGULAR  TEXTURES 
CHARACTERISTIC OF INFILL CRYSTALLIZATION (TAYLOR, 2010). G) PLAN VIEW OF C/C' STRUCTURES AFFECTING THE S4S 
17",rules
2015_LeBrun_Siguiri.txt,Amanor,193,"363-371. Oberthür,  T.,  Vetter,  U.,  Davis,  D. W.,  and  Amanor,  J. A.,  1998,  Age  constraints  on  gold 
mineralization  and  Paleoproterozoic  crustal  evolution  in  the  Ashanti  belt  of  southern 
Ghana: Precambrian Research, v. 89, p. 129-143.",rules
2015_LeBrun_Siguiri.txt,And Lithostratigraphy Of The Siguiri District,43,"CHAPTER 2: PAPER ONE 
GEOCHRONOLOGY AND LITHOSTRATIGRAPHY OF THE 
SIGUIRI DISTRICT: IMPLICATIONS FOR GOLD 
MINERALISATION IN THE SIGUIRI BASIN (GUINEA, WEST 
AFRICA) 
The Siguiri district sits alone in the central Siguiri Basin, one of the biggest sedimentary 
basins  of  the  West  African  Craton. The  following  paper  presents  the  lithostratigraphy  and 
geochronology of the central part of the Siguiri Basin. The study is based on field observations 
and  geophysical  datasets  from  the  whole  Siguiri  Basin. This  work  constitutes  the  first 
integrated study of the Siguiri Basin lithostratigraphy and geochronology. A total of six new U-
Pb  ages  were  determined  from  three  sedimentary  Formations  (four  ages)  and  two  igneous 
rocks. The  Siguiri  Basin  sediments  were  deposited  around  ca.",rules
2015_LeBrun_Siguiri.txt,Anderson,124,"Stress-field evolution during D2S and early-D3S 
Based  on  the  structural  elements  observed,  and  their  relative  timing,  a  stress-field 
reconstruction was undertaken in the Siguiri district for the syn-D2S ductile and early- to late-
D3S brittle part of the deformation history. Paleo-stress reconstruction for the syn-D2S ductile 
part  of  the  deformation  history,  was  based  on  the  geometry  of  the  F2S  folds  and  the 
orientations  of  their  axial  planes. The  reconstruction  of  the  paleo-stress  orientations  for  the 
D3S  brittle  part  of  the  deformation  history  was  based  on  fault  and  V3B  conjugate  vein 
orientations  assuming  that  locally,  the  Andersonian  fault  and  Mohr-Coulomb  failure  models 
prevailed at the time of faulting and that all V3B conjugate veins were not following pre-existing 
structures. The orientation of σ1 was reconstructed as bisecting the acute angle between two 
conjugate  veins,  while  σ2  lays  at  their  intersection  and  σ3  bisects  the  obtuse  angle  the 
conjugate  makes  (Anderson,  1951;  McClay,  1992). This  analysis  was  only  based  on  V3B 
conjugate sets across the whole district since data from the V3A vein set were insufficient. The D2S E-W compressional event, highlighted by the N-S trending F2S fold axial planes, 
indicates it was related to a horizontal main stress axis (σ1) and a vertical σ3, or overburden 
pressure  (Figure  29A).",rules
2015_LeBrun_Siguiri.txt,Ant Hill,47,"As an example, numerous orogenic gold deposits hosted in sedimentary basins around 
the  world  are  interpreted  to  be  sitting  on  early  structures  highlighted  in  the  field  through 
lithofacies  variations. For  example,  the  Kirkland  Lake  deposit  hosted  along  the  Kirkland-Lake 
Cadillac fault that marks the unconformity between the Timiskaming sediments and the Abitibi 
Supergroup  in  Canada  (Hyde,  1980). Similarly  in  the  Western  Australian  Yilgarn  craton,  gold 
deposits such as Ant Hill, Bullant, Porphyry and Wattlebird are hosted along the Ballard-Zuleika 
Shear Zone and highlighted by the Kurrawang Group sediments (Robert et al., 2005; Mueller et 
al., 1996; Weinberg et al., n.d.). In the West African Craton, the giant Obuasi deposit in Ghana 
is hosted along the  Ashanti fault separating the Birimian sediments from the ""late orogenic"" 
Tarkwaian sediments of the Ashanti Belt (Perrouty et al., 2012; Sestini, 1973). Also located in the West African Craton, the world-class orogenic gold district of Siguiri 
(Steyn, 2012; Lebrun et al., in review 2015; Chapter 3) is hosted in the north of the Siguiri Basin 
(Guinea), about 200 km south-west of Bamako in Mali and 150 km north of Kankan, the second 
53",rules
