filename,page,mention,location,label,source
2007_Tshibubudze_THE MARKOYE FAULT_2007.txt,6,"Structural  studies  indicate  that  the  NE-trending  Markoye  fault,  which  is  the  first-order 
crustal-scale  structure,  have  undergone  at  least  two  phases  of  deformation,  D1  and  D2, 
with reactivation during the late phase of D2. D1 resulted in formation of NW-trending 
asymmetric folds and thrusts at Essakane, and the displacement along the Markoye fault 
was dextral reverse. D2 is a period of SE-NW crustal shortening that formed NE-trending 
folds,  and  NE-trending  regional  foliation. The  NE-trending  mylonite  to  ultramylonite 
zone, pseudotachylyte veins, buck quartz-carbonate (± tourmaline) veins and quartz iron-
rich catalasite vein, and late quartz-chlorite shears formed during D2. D1 is interpreted to pre-date the Eburnean Orogeny, and D2 is correlated to the Eburnean 
Orogeny ~2.1 G.a. The name ‘Markoye Fault’ should be changed to Markoye Shear Zone 
(MSZ) to reflect the complex nature of the structure and tectonic history.",Markoye,GPE,spacy
2007_Tshibubudze_THE MARKOYE FAULT_2007.txt,7,"Chapter 1: Introduction 
1.1 Preamble 
The  NE-trending  Markoye  fault  in  Burkina  Faso  is  a  first-order  crustal  scale  structure 
located in the north-eastern part of Burkina Faso, between the towns of Dori and Tambão 
by the boarder with Mali and Niger (Fig. 1). The structure has been interpreted as a major 
westerly-dipping  thrust  (Milési  et  al.,  1992;  Hottin  and  Ouedraogo,  1992). Delfour  and 
Jeabrum (1970) in Rogers and Dong (2000) defined the structure as an east-verging thrust 
and  BHP  geologists  interpreted  the  structure  as  part  of  a  regional  dextral  strike-slip 
system. Castaing  et  al. (2003)  interpreted  the  same  structure  as  a  sinistral  fault  system, 
and  Milési  et  al.",Burkina,GPE,spacy
2007_Tshibubudze_THE MARKOYE FAULT_2007.txt,7,"(1991,  1992),  Hirdes  and  Davis  (1998),  and  Hirdes  et  al. (1996) 
interpreted that the Markoye fault formed during the Eburnean Orogeny at 2150 to 2095 
Ma. However  little  field  data  has  been  presented  to  quantify  the  tectonic  history  of  the 
structure and thus tectonic interpretation are contradictory. The  focus  of  this  research  is  the  Markoye  fault  and  its  tectonic  history. Added  to  this, 
field studies test the possibility that the Markoye fault is a Pan African structure and that 
gold  metallogenesis  is  associated  with  late  Neo-Proterozoic  Pan  African  tectonics  (c.f. Liégeois  et  al.,  2003)  through  development  of  a  relative  chronology  of  structural  and 
metallogenic events.",Eburnean Orogeny,LOC,spacy
2007_Tshibubudze_THE MARKOYE FAULT_2007.txt,7,"Since the completion of geological mapping of the West African Craton in the 1980s by 
the BRGM, geological mapping has been focused in areas with potential mineral deposits 
including  gold  deposits  in  the  Ashanti  Belt  and  Tarkwa  Basin  in  Ghana  (Milési  et  al., 
1989, 1991; Feybesse et al., 2006). In Burkina Faso studies completed by Feybesse et al. (1990), Lompo et al. (1991, Béziat et al. (2000) and Hein et al. (2004) have focused on 
the Boromo-Goren Greenstone belt and associated gold mineralization.",Ghana,GPE,spacy
2007_Tshibubudze_THE MARKOYE FAULT_2007.txt,7,"Since the completion of geological mapping of the West African Craton in the 1980s by 
the BRGM, geological mapping has been focused in areas with potential mineral deposits 
including  gold  deposits  in  the  Ashanti  Belt  and  Tarkwa  Basin  in  Ghana  (Milési  et  al., 
1989, 1991; Feybesse et al., 2006). In Burkina Faso studies completed by Feybesse et al. (1990), Lompo et al. (1991, Béziat et al. (2000) and Hein et al. (2004) have focused on 
the Boromo-Goren Greenstone belt and associated gold mineralization.",Burkina Faso,GPE,spacy
2007_Tshibubudze_THE MARKOYE FAULT_2007.txt,8,"1.2 Location and physiography 
The area of study is located ±250 km NE of the capital city, Ouagadougou, Burkina Faso 
(Fig. 1). Burkina  Faso  is  a  landlocked  country  in  West  Africa. The  neighbouring 
countries  include  Mali,  Niger,  Benin,  Togo,  Ghana  and  Côte  d`Ivoire. The  official 
language is French. Other languages, local languages include Mooré and Dioula.",Ouagadougou,GPE,spacy
2007_Tshibubudze_THE MARKOYE FAULT_2007.txt,8,"1.2 Location and physiography 
The area of study is located ±250 km NE of the capital city, Ouagadougou, Burkina Faso 
(Fig. 1). Burkina  Faso  is  a  landlocked  country  in  West  Africa. The  neighbouring 
countries  include  Mali,  Niger,  Benin,  Togo,  Ghana  and  Côte  d`Ivoire. The  official 
language is French. Other languages, local languages include Mooré and Dioula.",West Africa,GPE,spacy
2007_Tshibubudze_THE MARKOYE FAULT_2007.txt,8,"Islam is 
the  dominate  religion  with  more  than  half  of  the  country’s  population  being  Muslim,  a 
small group being Christian, with the remainder practicing indigenous African religions. The land surface is defined by alluvial plains, low hills, and sand dunes of the Sahara in 
the north. The area of study is situated in the margin of the Sahara desert or Sahel region. In  this  region  more  than  60%  of  the  land  surface  is  covered  by  sand. The  dominate 
vegetation is short-tall grass, with less than 10% cover due to trees. The  climate  is  variable  between  two  seasons,  the  wet  (rainy)  and  dry  season.",Sahara,LOC,spacy
2007_Tshibubudze_THE MARKOYE FAULT_2007.txt,10,"Chapter 2: Regional Geology 
2.1 Preamble 
The  West  African  Craton  is  composed  of an Archaean and Palaeoproterozoic basement 
that  is  divided  into  the  Reguibat  Rise  in  the  north  and  the  Leo-Man  Rise  in  the  south 
(Thiéblemont et al., 2004). These two are separated by the Taoudeni basin, which is of 
upper  Proterozoic  to  Devonian  age  (Fig. 1). The  Leo-Man  Rise  is  composed  of  two 
domains, the Kénéma-Man domain in the south west and the Baoule-Mossi domain in the 
east (Feybesse et al., 2006). The area of study is situated within the Leo-Man Rise in the 
Palaeoproterozoic  Baoule-Mossi  domain. The  Kénéma-Man  domain  is  Archaean  in  age 
and dated at 3542-3535 Ma (U-Pb zircon, Thiéblemont et al., 2001, 2004).",Thiéblemont,GPE,spacy
2007_Tshibubudze_THE MARKOYE FAULT_2007.txt,10,"The Baoule-
Mossi domain is Palaeoproterozoic in age and consists of Birimian sequences that where 
accreted  at  around  2100  Ma  during  the  Eburnean  Orogeny  (Milési  et  al.,  1991,  1992; 
Boher  et  al.,  1992). The  syn-tectonic  emplacement  of  granitoids  during  accretion 
occurred  at  around  2190-2108  Ma  during  the  Eburnean  orogeny  (Hirdes  and  Davis, 
2002). The  Tarkwa  Group  which  unconformably  overlies  the  Birimian  sequences  is 
regarded  by  some  as  the  erosional  product  of  the  Birimian  sequences  and  granitoids 
(Hastings, 1982; Leube et al., 1990; Milési et al., 1992; Castaing et al., 2003). 2.2 Stratigraphy 
The area of study is situated in the NE of Burkina Faso. The overall stratigraphy of the 
eastern part of Burkina Faso is established by the Palaeoproterozoic basement. The NE-
trending  Birimian  meta-sedimentary  and  meta-volcanic  sequences  (2238-2170  Ma) 
unconformably  overlie  the  basement.",Castaing,GPE,spacy
2007_Tshibubudze_THE MARKOYE FAULT_2007.txt,10,"The  NE-trending  Tarkwa  Group  (2150-2130  Ma) 
meta-sedimentary  sequence  overlie  the  Birimian  sequences  and  they  are  intruded  by 
Eburnean granitoids (2150-2095 Ma) (Leube et al., 1990; Milési et al., 1991; Bossière et 
al., 1996; Castaing et al 2003; Naba et al., 2004). Both sequences were deformed during 
the  Eburnean  Orogeny  at  2100  Ma  -  2000  Ma  (Milési  et  al.,  1991,  1992;  Ledru  et  al 
1994). There  is  a  school  of  thought  that  acknowledges  a  well  established  unconformity 
4",Naba,GPE,spacy
2007_Tshibubudze_THE MARKOYE FAULT_2007.txt,12,"al., 1995; Naba et al., 2004; Pawlig et al., 2006). The tecto-magmatic event related to the 
intrusion of the granitoids is dated at 2200 Ma – 2070 Ma (U-Pb dating) (Liégois et al., 
1991). The  granitoids  cover  50-70%  of  the  Palaeoproterozoic  basement  of  West  Africa 
(Milési et al., 1989; Naba et al., 2004). Two emplacement events have been established 
(Castaing  et  al.,  2003;  Naba  et  al.,  2004). A  TTG  Suite  which  is  composed  of 
granodiorite,  tonalite  and  quartz-diorite  was  emplaced  between  2210  and  2160  Ma 
(Castaing  et  al.,  2003). The  tonalite  suite  intrudes  and  contact  metamorphoses  the 
Birimian  sequences,  and  is  banded  (layered)  and  foliated  in  places  (Hein  et  al.,  2004; 
Naba et al., 2004).",West,LOC,spacy
2007_Tshibubudze_THE MARKOYE FAULT_2007.txt,12,"al., 1995; Naba et al., 2004; Pawlig et al., 2006). The tecto-magmatic event related to the 
intrusion of the granitoids is dated at 2200 Ma – 2070 Ma (U-Pb dating) (Liégois et al., 
1991). The  granitoids  cover  50-70%  of  the  Palaeoproterozoic  basement  of  West  Africa 
(Milési et al., 1989; Naba et al., 2004). Two emplacement events have been established 
(Castaing  et  al.,  2003;  Naba  et  al.,  2004). A  TTG  Suite  which  is  composed  of 
granodiorite,  tonalite  and  quartz-diorite  was  emplaced  between  2210  and  2160  Ma 
(Castaing  et  al.,  2003). The  tonalite  suite  intrudes  and  contact  metamorphoses  the 
Birimian  sequences,  and  is  banded  (layered)  and  foliated  in  places  (Hein  et  al.,  2004; 
Naba et al., 2004).",Africa,LOC,spacy
2007_Tshibubudze_THE MARKOYE FAULT_2007.txt,12,"A granite suite which is localized along shear zones, intrudes both the 
Birimian and the TTG suite and was emplaced between 2150 and 2130 Ma (Castaing et 
al., 2003). Gabbro, meta-gabbro, diorite and trondhjemite intrusions are syn-tectonic with 
emplacement of Birimian meta-volcanic sequences (Béziat et al., 2000; Hein et al., 2004) 
and co-magmatic (Béziat et al., 2000). NE-trending dolerite dykes crosscut all Birimian, 
Tarkwa and intrusive complexes in the NE of Burkina Faso and are dated at 250±13 Ma 
(K-Ar whole rock dating) (Hottin and Ouedraogo, 1992). 2.5 Metamorphism 
The Birimian sequences were metamorphosed during the Eburnean Orogeny with further 
metamorphism  related  to  intrusion  of  granitoids. Metamorphic  grade  is  to  greenschist 
facies  (Milési  et  al.,  1989,  1991;  Bossière  et  al.,  1996;  Hirdes  et  al.,  1996),  with 
formation of chlorite and muscovite dominant mineral assemblages, and low to medium 
grade amphibolite facies, with hornblende and andalusite dominant mineral assemblages 
(Bossière  et  al.,  1996;  Béziat  et  al.,  2000;  Naba  et  al.,  2004)  particularly  in  the  contact 
aureole  of  granitoids  (Pawlig  et  al.,  2006). The  Tarkwa  Group  is  metamorphosed  to 
greenschist facies with development of chlorite and sericite (Milési et al., 1989, 1991).",Tarkwa,GPE,spacy
