filename,page,mention,location,label,source
2011_Peters_East Markoye_2011.txt,5,"2.0. Introduction 
2.1. Preamble 
The  study  area  is  situated  in  the  Oudalan-Gourouol  Greenstone  Belt  (OGGB)  in  north-east 
Burkina  Faso  (Fig. 1). Besides  the  research  completed  by  Tshibubudze  et  al. (2009)  which 
only encompassed a minor portion to the north of the study area, the study area has not been 
previously  mapped  or  described.",Burkina,GPE,spacy
2011_Peters_East Markoye_2011.txt,6,"2.2. Location and Physiography 
The study area is situated approximately 2 km east of the town of Markoye and is located 12 
km west of the international border of Niger and 38 km south of the border of Mali (Fig. 2). The town of Markoye is located at the divide between the Sahel and the Sahara; everything 
north of the town is considered to be the Sahara Desert. Thus, the field area is an arid and hot 
environment with much of the surface covered with sand and loose gravels making outcrop 
difficult to find in the low-lying areas. The areas of high relief however, are desert mountains 
that contain a large amount of rock which, unfortunately, was dominated by  loose boulders 
and very little in situ-outcrop.",Markoye,GPE,spacy
2011_Peters_East Markoye_2011.txt,6,"2.2. Location and Physiography 
The study area is situated approximately 2 km east of the town of Markoye and is located 12 
km west of the international border of Niger and 38 km south of the border of Mali (Fig. 2). The town of Markoye is located at the divide between the Sahel and the Sahara; everything 
north of the town is considered to be the Sahara Desert. Thus, the field area is an arid and hot 
environment with much of the surface covered with sand and loose gravels making outcrop 
difficult to find in the low-lying areas. The areas of high relief however, are desert mountains 
that contain a large amount of rock which, unfortunately, was dominated by  loose boulders 
and very little in situ-outcrop.",Niger,GPE,spacy
2011_Peters_East Markoye_2011.txt,6,"2.2. Location and Physiography 
The study area is situated approximately 2 km east of the town of Markoye and is located 12 
km west of the international border of Niger and 38 km south of the border of Mali (Fig. 2). The town of Markoye is located at the divide between the Sahel and the Sahara; everything 
north of the town is considered to be the Sahara Desert. Thus, the field area is an arid and hot 
environment with much of the surface covered with sand and loose gravels making outcrop 
difficult to find in the low-lying areas. The areas of high relief however, are desert mountains 
that contain a large amount of rock which, unfortunately, was dominated by  loose boulders 
and very little in situ-outcrop.",Sahara,LOC,spacy
2011_Peters_East Markoye_2011.txt,6,"2.2. Location and Physiography 
The study area is situated approximately 2 km east of the town of Markoye and is located 12 
km west of the international border of Niger and 38 km south of the border of Mali (Fig. 2). The town of Markoye is located at the divide between the Sahel and the Sahara; everything 
north of the town is considered to be the Sahara Desert. Thus, the field area is an arid and hot 
environment with much of the surface covered with sand and loose gravels making outcrop 
difficult to find in the low-lying areas. The areas of high relief however, are desert mountains 
that contain a large amount of rock which, unfortunately, was dominated by  loose boulders 
and very little in situ-outcrop.",Sahara Desert,LOC,spacy
2011_Peters_East Markoye_2011.txt,9,"3.0. Literature Review/Regional Geology 
3.1. Stratigraphy 
According to Harcöuet et al. (2007) in Hein (2010), the West African Craton (WAC) is made 
up  of  Palaeoproterozoic  volcaniclastics  and  metasediments  that  overlie  an  inferred  granite 
basement that is Archaean in age. Tshibubudze et al. (2009) and Hirdes et al.",Archaean,GPE,spacy
2011_Peters_East Markoye_2011.txt,9,"(1996) followed 
Junner’s (1935) subdivision to classify the rock formations so that the Birimian sequence is 
made up of two units; the Lower Birimian and the Upper Birimian. These authors stated that 
the  Lower  Birimian  consists  of  dacite,  meta-volcaniclastics,  greywacke  sequences 
interbedded  with  siltstone,  chert,  shale  and  chemical  sediments  which  have  undergone 
regional  metamorphism. The  Upper  Birimian  comprises  tholeitic  basalts,  granitoidal  lavas 
and pyroclastic rocks. Milesi et al. (1991) and Leube et al. (1990) described the Tarkwa Group as clastic sediments 
that  have  undergone  regional  metamorphism.",Lower Birimian,LOC,spacy
2011_Peters_East Markoye_2011.txt,9,"(1996) followed 
Junner’s (1935) subdivision to classify the rock formations so that the Birimian sequence is 
made up of two units; the Lower Birimian and the Upper Birimian. These authors stated that 
the  Lower  Birimian  consists  of  dacite,  meta-volcaniclastics,  greywacke  sequences 
interbedded  with  siltstone,  chert,  shale  and  chemical  sediments  which  have  undergone 
regional  metamorphism. The  Upper  Birimian  comprises  tholeitic  basalts,  granitoidal  lavas 
and pyroclastic rocks. Milesi et al. (1991) and Leube et al. (1990) described the Tarkwa Group as clastic sediments 
that  have  undergone  regional  metamorphism.",Upper Birimian,GPE,spacy
2011_Peters_East Markoye_2011.txt,9,"These  authors  mentioned  that  the  Tarkwa 
Group formed as a result of erosion of Birimian rocks and overlies the Birimian Supergroup 
unconformably. Milesi  et  al. (1989,  1992)  stated  that  the  region  to  the  east  of  the  town  of 
Markoye  is  made  up  Tarkwa  Group  sediments. Tshibubudze  et  al. (2009)  disagreed  with 
these conclusions as the stratigraphy does not match the type section for the Tarkwa Group in 
Ghana (Milesi et al., 1989, 1991; Bossiere et al., 1996). Brown  et  al.",Ghana,GPE,spacy
2011_Peters_East Markoye_2011.txt,10,"according to Leube et al. (1990) and Milesi et al. (1991) is classified as being predominantly 
conglomerate units with smaller sandstone and phyllite units. The  formation  of  thick  greywacke  sequences  generally  relates  to  rapid  deposition  as  to 
disallow  sorting  of  material. In  review  of  large  greywacke  units  in  modern  day  or  recent 
geological  environments,  the  Wanganui  Basin  in  New  Zealand  is  described  by  Carter  and 
Naish  (1998)  and  Proust  et  al. (2005)  as  a  shallow  marine  environment  that  is  Plio-
Pleistocene  in  age.",New Zealand,GPE,spacy
