filename,page,mention,location,label,source
2013_Peters.txt,3,"ABSTRACT 
The  Palaeoproterozoic  southern  Goren  volcano-sedimentary  belt  of  northeast  Burkina  Faso 
represents a sequence/package of rocks formed in a back-arc basin environment. Evidence is based on 
a conformable sequence of basalts that have geochemical affinities of normal mid-oceanic ridge style 
basalts (N-MORB) as well as arc-related magmas. Tholeiitic compositions, determined by major and 
trace element geochemistry, are exclusive to the study area, which is unique to northeast Burkina Faso. Flat,  chondrite-normalised  REE  patterns  suggest  dominantly  N-MORB  compositions,  with  the 
occasional  elevated  Th  and  Al2O3  values,  suggestive  of  arc  basalts. Depleted  chondrite-normalised 
concentrations  of  phosphorus  (0.5-0.03  times  lower  than  chondrite)  and  Ti  (1-5  times  chondrite)  as 
well as anomalous concentrations of N-MORB-normalised Ta (80-120 times greater) are characteristic 
of the tholeiitic basalts of the Goren belt. The  volcanic  rocks  are  intercalated  with  a  succession  of  volcanogenic  manganese  deposits, 
siltstone, volcaniclastite, volcanogenic greywacke and a discrete pyroclastic breccia deposit composed 
of lapilli- to bomb-sized  volcanic debris, indicative of bimodal volcanism.",Burkina,GPE,spacy
2013_Peters.txt,5,"Most importantly, I wish to thank WAXI (West African Exploration Initiative), the AMIRA and 
its sponsors, without whom this research would not have been possible. I  wish  to  gratefully  acknowledge  AMIRA  International  and  the  industry  sponsors,  including 
AusAid and the ARC Linkage Project LP110100667, for their support of the WAXI Project (P934A). I am also appreciative of the contribution of the various Geological Surveys/Department of Mines in 
West Africa as sponsors in-kind of WAXI. Finally, I wish to recognize our WAXI research colleagues 
from the various Institutions from around the world. I would like to thank the National Research Foundation for providing funding for this research 
in 2012. 5",West Africa,GPE,spacy
2013_Peters.txt,8,"LIST OF FIGURES 
Figure  1.1. Volcano-sedimentary  belts  of  southeast  and  northeast  Burkina  Faso  and  northwestern 
Ghana. Volcano-sedimentary belts from the northeast Burkina Faso are modified after Hein et 
al. (2004);  the  study  area  is  located  in  the  Goren  belt  and  expanded  in  Inset  A. Location  of 
Tiebélé  dome  of  southern  Burkina  Faso  with  Zn  anomalies  as  defined  by  Ilboudo  (2010)  is 
presented in Inset B. The Perkoa and Gaoua deposits are located in the Boromo belt in Burkina 
Faso, southwest of Ouagadougou.",Ghana,GPE,spacy
2013_Peters.txt,8,"LIST OF FIGURES 
Figure  1.1. Volcano-sedimentary  belts  of  southeast  and  northeast  Burkina  Faso  and  northwestern 
Ghana. Volcano-sedimentary belts from the northeast Burkina Faso are modified after Hein et 
al. (2004);  the  study  area  is  located  in  the  Goren  belt  and  expanded  in  Inset  A. Location  of 
Tiebélé  dome  of  southern  Burkina  Faso  with  Zn  anomalies  as  defined  by  Ilboudo  (2010)  is 
presented in Inset B. The Perkoa and Gaoua deposits are located in the Boromo belt in Burkina 
Faso, southwest of Ouagadougou.",Ilboudo,GPE,spacy
2013_Peters.txt,8,"LIST OF FIGURES 
Figure  1.1. Volcano-sedimentary  belts  of  southeast  and  northeast  Burkina  Faso  and  northwestern 
Ghana. Volcano-sedimentary belts from the northeast Burkina Faso are modified after Hein et 
al. (2004);  the  study  area  is  located  in  the  Goren  belt  and  expanded  in  Inset  A. Location  of 
Tiebélé  dome  of  southern  Burkina  Faso  with  Zn  anomalies  as  defined  by  Ilboudo  (2010)  is 
presented in Inset B. The Perkoa and Gaoua deposits are located in the Boromo belt in Burkina 
Faso, southwest of Ouagadougou.",Ouagadougou,GPE,spacy
2013_Peters.txt,8,"The Essakane, Falagountou, Taparko and Inata goldfields are 
represented in north-northeast of Burkina Faso. The Billiata and Tambão Mn deposits and the 
Tin Edia Mn-Fe-V deposit are located on the western margin of the Oudalan-Gorouol belt. The 
Barsalogo diamond fields are located north of the Goren belt. Figure 2.1. The Goren volcano-sedimentary belt is presented showing the locations of Kaya, Mané, 
Guilla, Korsimoro, Sirgui artisanal mine and Tangapella hill. Northwest and northeast trending 
shears  and  thrusts  are  represented  as  well  as  WNW  trending  shears  of  the  Wabo-Tampelse 
Event.",Falagountou,GPE,spacy
2013_Peters.txt,8,"The Essakane, Falagountou, Taparko and Inata goldfields are 
represented in north-northeast of Burkina Faso. The Billiata and Tambão Mn deposits and the 
Tin Edia Mn-Fe-V deposit are located on the western margin of the Oudalan-Gorouol belt. The 
Barsalogo diamond fields are located north of the Goren belt. Figure 2.1. The Goren volcano-sedimentary belt is presented showing the locations of Kaya, Mané, 
Guilla, Korsimoro, Sirgui artisanal mine and Tangapella hill. Northwest and northeast trending 
shears  and  thrusts  are  represented  as  well  as  WNW  trending  shears  of  the  Wabo-Tampelse 
Event.",Taparko,GPE,spacy
2013_Peters.txt,8,"The Essakane, Falagountou, Taparko and Inata goldfields are 
represented in north-northeast of Burkina Faso. The Billiata and Tambão Mn deposits and the 
Tin Edia Mn-Fe-V deposit are located on the western margin of the Oudalan-Gorouol belt. The 
Barsalogo diamond fields are located north of the Goren belt. Figure 2.1. The Goren volcano-sedimentary belt is presented showing the locations of Kaya, Mané, 
Guilla, Korsimoro, Sirgui artisanal mine and Tangapella hill. Northwest and northeast trending 
shears  and  thrusts  are  represented  as  well  as  WNW  trending  shears  of  the  Wabo-Tampelse 
Event.",Guilla,GPE,spacy
2013_Peters.txt,8,"The Essakane, Falagountou, Taparko and Inata goldfields are 
represented in north-northeast of Burkina Faso. The Billiata and Tambão Mn deposits and the 
Tin Edia Mn-Fe-V deposit are located on the western margin of the Oudalan-Gorouol belt. The 
Barsalogo diamond fields are located north of the Goren belt. Figure 2.1. The Goren volcano-sedimentary belt is presented showing the locations of Kaya, Mané, 
Guilla, Korsimoro, Sirgui artisanal mine and Tangapella hill. Northwest and northeast trending 
shears  and  thrusts  are  represented  as  well  as  WNW  trending  shears  of  the  Wabo-Tampelse 
Event.",Korsimoro,GPE,spacy
2013_Peters.txt,8,"The Essakane, Falagountou, Taparko and Inata goldfields are 
represented in north-northeast of Burkina Faso. The Billiata and Tambão Mn deposits and the 
Tin Edia Mn-Fe-V deposit are located on the western margin of the Oudalan-Gorouol belt. The 
Barsalogo diamond fields are located north of the Goren belt. Figure 2.1. The Goren volcano-sedimentary belt is presented showing the locations of Kaya, Mané, 
Guilla, Korsimoro, Sirgui artisanal mine and Tangapella hill. Northwest and northeast trending 
shears  and  thrusts  are  represented  as  well  as  WNW  trending  shears  of  the  Wabo-Tampelse 
Event.",Sirgui,GPE,spacy
