filename,location,pages,mentions,source,location_type,geocode_lat,geocode_lon,geocode_str,geocode_type
2011_Peters_East Markoye_2011.txt,12 km west of the international border of Niger,6,"2.2. Location and Physiography 
The study area is situated approximately 2 km east of the town of Markoye and is located 12 
km west of the international border of Niger and 38 km south of the border of Mali (Fig. 2). The town of Markoye is located at the divide between the Sahel and the Sahara; everything 
north of the town is considered to be the Sahara Desert. Thus, the field area is an arid and hot 
environment with much of the surface covered with sand and loose gravels making outcrop 
difficult to find in the low-lying areas. The areas of high relief however, are desert mountains 
that contain a large amount of rock which, unfortunately, was dominated by  loose boulders 
and very little in situ-outcrop.",llm,APPROXIMATE,no-geocode-result,no-geocode-result,no-geocode-result,no-geocode-result
2011_Peters_East Markoye_2011.txt,2 km east of the town of Markoye,6,"2.2. Location and Physiography 
The study area is situated approximately 2 km east of the town of Markoye and is located 12 
km west of the international border of Niger and 38 km south of the border of Mali (Fig. 2). The town of Markoye is located at the divide between the Sahel and the Sahara; everything 
north of the town is considered to be the Sahara Desert. Thus, the field area is an arid and hot 
environment with much of the surface covered with sand and loose gravels making outcrop 
difficult to find in the low-lying areas. The areas of high relief however, are desert mountains 
that contain a large amount of rock which, unfortunately, was dominated by  loose boulders 
and very little in situ-outcrop.",llm,APPROXIMATE,no-geocode-result,no-geocode-result,no-geocode-result,no-geocode-result
2011_Peters_East Markoye_2011.txt,38 km south of the border of Mali,6,"2.2. Location and Physiography 
The study area is situated approximately 2 km east of the town of Markoye and is located 12 
km west of the international border of Niger and 38 km south of the border of Mali (Fig. 2). The town of Markoye is located at the divide between the Sahel and the Sahara; everything 
north of the town is considered to be the Sahara Desert. Thus, the field area is an arid and hot 
environment with much of the surface covered with sand and loose gravels making outcrop 
difficult to find in the low-lying areas. The areas of high relief however, are desert mountains 
that contain a large amount of rock which, unfortunately, was dominated by  loose boulders 
and very little in situ-outcrop.",llm,APPROXIMATE,no-geocode-result,no-geocode-result,no-geocode-result,no-geocode-result
2011_Peters_East Markoye_2011.txt,Amsterdam,52,"Bouma,  A. H.,  (1962). Sedimentology  of  some  flysch  deposits:  A  graphic  approach  to 
facies interpretation, Elsevier, Amsterdam, 168pp. 51",rules,PLACE,52.3730796,4.8924534,"Amsterdam, North Holland, Netherlands",APPROXIMATE
2011_Peters_East Markoye_2011.txt,Archaean,9,"3.0. Literature Review/Regional Geology 
3.1. Stratigraphy 
According to Harcöuet et al. (2007) in Hein (2010), the West African Craton (WAC) is made 
up  of  Palaeoproterozoic  volcaniclastics  and  metasediments  that  overlie  an  inferred  granite 
basement that is Archaean in age. Tshibubudze et al. (2009) and Hirdes et al.",rules,PLACE,51.7560205,-1.2449451,"Figure (Archaean), Manor Road, Holywell, East Oxford, Oxford, Oxfordshire, England, OX1 3UJ, United Kingdom",APPROXIMATE
2011_Peters_East Markoye_2011.txt,"Ashanti, Ghana",54,"P.,  (2007). Geological and thermal conditions before the major Palaeoproterozoic goldmineralization 
event  at  Ashanti,  Ghana,  as  inferred  from  improved  thermal  modelling. Precambrian 
Research, 154, 71–87. Hein, K. A. A., (2003).",llm,PLACE,6.8003319,-1.5188142,"Ashanti Region, Ghana",APPROXIMATE
2011_Peters_East Markoye_2011.txt,Australia,"10,54","According to Proust et 
al. (2005) the basin has a depth of 5 km; the sedimentary fill overlies basement rock which 
consists of a thick unit of greywacke that is Mesozoic in age. Reviewing 
literature 
that  describes  greywacke 
formation 
from 
the  Archaean  or 
Palaeoproterozoic is significant. Similar processes of formation could have occurred owing to 
the  same  environment  at  that  point  in  earth’s  history. The  Pine  Creek  Inlier  of  northern 
Australia contains rocks  which are Palaeoproterozoic in age. It consists of metasedimentary 
rocks  and  volcanic  units  that  overlie  Archaean  granite  basement  (Needham  et  al.,  1988). || Relative timing of deformational, metamorphic and 
mineralisation events at the Mt. Todd (Yimuyn Manjerr) Mine, Pine Creek Inlier, 
Northern Territory, Australia. Ore Geology Reviews, 22, 143-175. Hein,  K. A. A.,  Morel,  V.,  Kagone,  O.,  Kiemde,  F.,  Mayes,  K.,  (2004).","llm,rules",PLACE,-24.7761086,134.755,Australia,APPROXIMATE
2011_Peters_East Markoye_2011.txt,Australian Plate,10,"The  basin  demonstrates  a  full  range  of  sedimentary  facies. Carter  and 
Naish  (1998)  identified  that  equal  amounts  of  sedimentation  and  subsidence  are  necessary. Uplift  and  subsidence  were,  in  the  case  of  the  Wanganui  Basin,  controlled  by  eustatic 
changes which created an environment prone to rapid deposition. The Wanganui Basin sits in 
a  back-arc  setting  at  the  convergence  of  the  Pacific  Plate  with  the  Australian  Plate. It  is 
possible  that  its  formation  occurred  in  the  same  environment. Lithospheric  loading  and 
downwarping created by adjacent subduction is credited with basin formation.",llm,PLACE,-35.2769708,149.1208812,"China Plate, University Avenue, Acton, Canberra, District of Canberra Central, Australian Capital Territory, 2601, Australia",APPROXIMATE
2011_Peters_East Markoye_2011.txt,Beauvais,9,"(1994)  in  Tshibubudze  et  al. (2009)  calculated  through  istotopic  studies  that 
there  is  a  major  unconformity  between  the  Tarkwa  Group  sediments  and  the  overlying 
laterite,  which  formed  during  the  Cretaceous  but  was  eroded  to  form  glacis  in  the  Eocene-
Miocene (Beauvais et al., 2008). 3.2. Sedimentology 
The Birimian Supergroup is described by Feybesse et al. (1990), Leube et al. (1990), Hirdes 
et  al.",rules,PLACE,49.4300997,2.0823355,"Beauvais, Oise, Hauts-de-France, Metropolitan France, 60000, France",APPROXIMATE
2011_Peters_East Markoye_2011.txt,Bergen,57,"J., (2005). Sedimentary architecture 
of a Plio-Pleistocene proto-back-arc basin: Wanganui Basin, New Zealand. Sedimentary 
Geology, 181, 107-145. Ravanas,  R.,  (1991). A  sedimentological,  geochemical  and  provenance  study  of  the 
Kalvag  Melange,  western  Norwegian  Caledonides,  Thesis  (unpublished). University  of 
Bergen, 212 pp.",rules,PLACE,60.3943055,5.3259192,"Bergen, Vestland, Norway",APPROXIMATE
