filename,location,pages,mentions,source,location_type
2013_FUNYUFUNYU.txt,111p,75,"The Faculty of the Graduate College of the University of Vermont 
111p. Manning,  M. P.,  Reid,  R. C.,  1977. C-H-0  Systems  in  the  Presence  of  an  Iron  Catalyst,  Industrial 
Engineering Chemistry and Process Design Development 16, 23p. Masonen,  P.,  1997.",rules,PLACE
2013_FUNYUFUNYU.txt,17 km north-northwest of the town of Kaya,15,"The  tuyere  is  clearly  visible. A  goat  skin  bellows  would  have  been 
placed over the bellows hole to pump air into the tuyere. This particular working forge is on exhibition at the 
Museum of Kaya and is presented with the permission of the Museum. The Dem region is situated 17 km north-northwest of the town of Kaya in Burkina Faso (Figure 
1.2). Burkina  Faso’s  rural  economy  is  dependent  on  agriculture,  and  seasonal  artisanal  small  and 
medium-scale  mining  (ASM)  for  livelihoods. According  to  the  National  Museum  of  Burkina  Faso 
there have been no studies of ASM for iron in Burkina Faso, and there are no records of iron mining 
and processing for the Dem region.",llm,APPROXIMATE
2013_FUNYUFUNYU.txt,17 km northwest of Kaya,"16,8","Figure 1.2: Location of the study area in Burkina Faso, northeast of the capital city of Ouagadougou 
and 17 km northwest of the regional centre of Kaya. The study area is located near the village 
of Dem and west of the Lac (Lake) Dem in the Goren greenstone belt. Figure  1.3:  Photographs  of  the  elders  of  the  village  of  Liligomde  who  provided  the  ethnographic 
background to this study (a, b, e). Their information indicated that no artisanal mining for iron 
had taken place at Dem in their lifetimes. The senior elders ranged in age from 75-104 and they 
were  the  senior  blacksmiths  of  the  Chief  Naba  of  the  Mossi  people. Consequently,  it  can  be 
reasonably  assumed  that  the  Dem  site  is  older  than  80  years. || tradition of significant elders of the Mossi people. The Dem site is thus an archaeological curiosity 
and may provide a link with the historic mining history of the people of West Africa. Figure 1.2: Location of the study area in Burkina Faso, northeast of the capital city of Ouagadougou and 17 km 
northwest of the regional centre of Kaya. The study area is located near the village of Dem and west of the Lac 
(Lake) Dem in the Goren greenstone belt. 16",llm,PLACE
2013_FUNYUFUNYU.txt,19 km southeast of Kaya,15,"Consultations with senior elders in the village of Liligomde near 
Kaya (Figure 1.3), who were the chief blacksmiths of the Chief Naba of the Mossi people (the Chief 
Naba’s  residence  is  in  the  village  of  Boussouma,  19  km  southeast  of  Kaya),  clearly  argued  that 
mining of iron in the Dem region, or for any metal commodity, or any artisanal mining in the Dem 
region, had not occurred in the last 80 years, i.e., mining in the Dem region is not recorded in oral 
15",llm,PLACE
2013_FUNYUFUNYU.txt,2CO,26,"The chemical reactions in the smelting process include: 
C + O2 CO2 + furnace heat (1200 ºC) 
CO2 + C  2CO + furnace heat (1200 ºC) 
3Fe2O3(s) + 3C  2Fe (iron metal) + 3CO 
Fe3O4 + 4CO  3Fe (iron metal) + 4CO2 
CO2 + C  2CO 
Fe2O3 + 3CO  2Fe (iron metal) + 3CO2 
CaCO3  CaO + CO2 
CaO + SiO2  CaSiO3 (slag) 
During  the  reducing  conditions,  iron  oxides  changes  from  hematite  to  magnetite,  from 
magnetite to wüstite (FeO) and from wüstite to metal iron (Tylecote et al., 1971, Doherty et al., 1985). Ulvospinel (Fe2TiO4) may also be formed by the reaction between magnetite and titanium in the host 
rocks at high temperature under reducing conditions (Verhoogen, 1962; Ivanyuk et al., 2012). At high temperature, any silica present in the furnace is likely to combine with some of the iron 
oxide  to  form  fayalite  (Fe2SiO4). Fayalite  and  the  oxides  combine  to  form  slag  with  a  melting 
temperature below 1400 °C (Paynter, 2006). Fe3O4 + TiO2  FeTiO3 + Fe2O3 
2FeO + SiO2 Fe2SiO4 (Fayalite) 
Based on the conditions inside the furnace, the reduction of iron oxide may take place in stages within 
the slag, or independently within the individual ore particles. The phase relations and the thermodynamics properties have been studied by Schuhmann et al.",rules,PLACE
2013_FUNYUFUNYU.txt,2km west of the Dem village,48,"In summary, the above evidence clearly shows that mining in the study area was important. It 
must also have been economically  viable because a considerable amount of human capital and skill 
was expended at the site. Ore dressing and processing extended over a considerable area of the study 
site. 4.5. The greater mining footprint 
The  Dem  ASM  site  is  located  2km  west  of  the  Dem  village,  which  is  situated  at  latitude 
13°11'17.528"" and longitude 1°10'43.199""W. According to Haaland et al.",llm,APPROXIMATE
2013_FUNYUFUNYU.txt,360 km west of Dem,64,"Interestingly,  although  quite  limited  in  number,  the  ages  correspond  broadly  with  the  rapid 
expansion  of  iron  technology  from  1400-1600  AD  in  West  Africa  (Todd,  1979). They  correspond 
with the rise of the Songhai Empire in the 15th century, and slavery in the 17-18th centuries and/or the 
first European exploration into West Africa. Thus the radiocarbon ages may represent historical ages 
of iron working in West Africa; a fuller investigation of the Dem site is thus needed. Certainly, there is currently little evidence of iron smelting for the period 1430 to 1480 AD for 
in  the  northeast  Burkina  Faso. However,  Insol  (2000)  indicated  that  iron  technology  in  the  period 
1400-1600 AD was one of a series of fundamental social assets that assisted the growth of significant 
centralized kingdoms, particularly the Songhay Empire (under the rule of Sonni Ali) which was seated 
in  Djenne  or Timbuktu  or  Gao. These  towns  are  respectively  situated  360  km  west,  450  km  north-
northwest and 370 km northeast of Dem across the international border of present day Burkina Faso 
and Mali.",llm,APPROXIMATE
2013_FUNYUFUNYU.txt,370 km northeast of Dem,64,"Interestingly,  although  quite  limited  in  number,  the  ages  correspond  broadly  with  the  rapid 
expansion  of  iron  technology  from  1400-1600  AD  in  West  Africa  (Todd,  1979). They  correspond 
with the rise of the Songhai Empire in the 15th century, and slavery in the 17-18th centuries and/or the 
first European exploration into West Africa. Thus the radiocarbon ages may represent historical ages 
of iron working in West Africa; a fuller investigation of the Dem site is thus needed. Certainly, there is currently little evidence of iron smelting for the period 1430 to 1480 AD for 
in  the  northeast  Burkina  Faso. However,  Insol  (2000)  indicated  that  iron  technology  in  the  period 
1400-1600 AD was one of a series of fundamental social assets that assisted the growth of significant 
centralized kingdoms, particularly the Songhay Empire (under the rule of Sonni Ali) which was seated 
in  Djenne  or Timbuktu  or  Gao. These  towns  are  respectively  situated  360  km  west,  450  km  north-
northwest and 370 km northeast of Dem across the international border of present day Burkina Faso 
and Mali.",llm,PLACE
2013_FUNYUFUNYU.txt,450 km north-northwest of Dem,64,"Interestingly,  although  quite  limited  in  number,  the  ages  correspond  broadly  with  the  rapid 
expansion  of  iron  technology  from  1400-1600  AD  in  West  Africa  (Todd,  1979). They  correspond 
with the rise of the Songhai Empire in the 15th century, and slavery in the 17-18th centuries and/or the 
first European exploration into West Africa. Thus the radiocarbon ages may represent historical ages 
of iron working in West Africa; a fuller investigation of the Dem site is thus needed. Certainly, there is currently little evidence of iron smelting for the period 1430 to 1480 AD for 
in  the  northeast  Burkina  Faso. However,  Insol  (2000)  indicated  that  iron  technology  in  the  period 
1400-1600 AD was one of a series of fundamental social assets that assisted the growth of significant 
centralized kingdoms, particularly the Songhay Empire (under the rule of Sonni Ali) which was seated 
in  Djenne  or Timbuktu  or  Gao. These  towns  are  respectively  situated  360  km  west,  450  km  north-
northwest and 370 km northeast of Dem across the international border of present day Burkina Faso 
and Mali.",llm,APPROXIMATE
2013_FUNYUFUNYU.txt,67m SSE of UG1,43,"Underground  mine  2  (UG2)  is  situated  67m  SSE  of  UG1  at  latitude  13°  10'  55.107""  N, 
longitude  1°  11'  28.759""  W. These  two  underground  mines  are  characterised  by  quartz  vein-hosted 
iron ore with magnetite and hematite hosted in shale and siltstone units. 43",llm,PLACE
