filename,location,pages,mentions,source,location_type
2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt,"0805000 E, 1594000 N",6,"The  field  area,  which  is  approximately  30km2,  hosts  two  east-west  trending  ridges  that 
expose a portion of the KEMB  (Fig. 1.1b). The  UTM coordinates of the extent of the field 
area  are:    30  P  (Northern  Hemisphere)  0805000  E,  1600000  N;  0805000  E,  1594000  N; 
0810000 E, 1594000 N; 0810000 E, 1600000 N. This region of Burkina Faso is situated in 
the Sahel, just south of the Sahara Desert. Climatic conditions are arid, that is very hot and 
dry. Field  work  was  carried  out  in  January  which  is  the  coolest  time  of  the  year  although 
daily  temperatures  exceeded  30  ⁰C.",llm,APPROXIMATE
2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt,"0810000 E, 1594000 N",6,"The  field  area,  which  is  approximately  30km2,  hosts  two  east-west  trending  ridges  that 
expose a portion of the KEMB  (Fig. 1.1b). The  UTM coordinates of the extent of the field 
area  are:    30  P  (Northern  Hemisphere)  0805000  E,  1600000  N;  0805000  E,  1594000  N; 
0810000 E, 1594000 N; 0810000 E, 1600000 N. This region of Burkina Faso is situated in 
the Sahel, just south of the Sahara Desert. Climatic conditions are arid, that is very hot and 
dry. Field  work  was  carried  out  in  January  which  is  the  coolest  time  of  the  year  although 
daily  temperatures  exceeded  30  ⁰C.",llm,APPROXIMATE
2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt,"0810000 E, 1600000 N",6,"The  field  area,  which  is  approximately  30km2,  hosts  two  east-west  trending  ridges  that 
expose a portion of the KEMB  (Fig. 1.1b). The  UTM coordinates of the extent of the field 
area  are:    30  P  (Northern  Hemisphere)  0805000  E,  1600000  N;  0805000  E,  1594000  N; 
0810000 E, 1594000 N; 0810000 E, 1600000 N. This region of Burkina Faso is situated in 
the Sahel, just south of the Sahara Desert. Climatic conditions are arid, that is very hot and 
dry. Field  work  was  carried  out  in  January  which  is  the  coolest  time  of  the  year  although 
daily  temperatures  exceeded  30  ⁰C.",llm,APPROXIMATE
2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt,20km ESE of the field,4,"The  Essakane  gold  mine  and  Tambão  manganese  deposit  are  situated  approximately 
20km ESE and 40km NNE of the field area, respectively, and similar styles of mineralisation 
may occur in the field area. 1.2 Location and physiography 
The KEMB is located in the northeast of Burkina Faso, approximately 275km to the northeast 
of Ouagadougou and east of the town of Gorom Gorom (Fig. 1.1a & 1.1b). 3",llm,PLACE
2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt,275km to the northeast of Ouagadougou,4,"The  Essakane  gold  mine  and  Tambão  manganese  deposit  are  situated  approximately 
20km ESE and 40km NNE of the field area, respectively, and similar styles of mineralisation 
may occur in the field area. 1.2 Location and physiography 
The KEMB is located in the northeast of Burkina Faso, approximately 275km to the northeast 
of Ouagadougou and east of the town of Gorom Gorom (Fig. 1.1a & 1.1b). 3",llm,PLACE
2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt,"30 P 0805000 E, 1600000 N",6,"The  field  area,  which  is  approximately  30km2,  hosts  two  east-west  trending  ridges  that 
expose a portion of the KEMB  (Fig. 1.1b). The  UTM coordinates of the extent of the field 
area  are:    30  P  (Northern  Hemisphere)  0805000  E,  1600000  N;  0805000  E,  1594000  N; 
0810000 E, 1594000 N; 0810000 E, 1600000 N. This region of Burkina Faso is situated in 
the Sahel, just south of the Sahara Desert. Climatic conditions are arid, that is very hot and 
dry. Field  work  was  carried  out  in  January  which  is  the  coolest  time  of  the  year  although 
daily  temperatures  exceeded  30  ⁰C.",llm,APPROXIMATE
2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt,40km NNE of the field,4,"The  Essakane  gold  mine  and  Tambão  manganese  deposit  are  situated  approximately 
20km ESE and 40km NNE of the field area, respectively, and similar styles of mineralisation 
may occur in the field area. 1.2 Location and physiography 
The KEMB is located in the northeast of Burkina Faso, approximately 275km to the northeast 
of Ouagadougou and east of the town of Gorom Gorom (Fig. 1.1a & 1.1b). 3",llm,PLACE
2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt,Ashworth,47,"Another process by which a migmatite can form is during metasomatism (Sawyer, 2008). The 
presence of fluids is known to act as a flux and thus can reduce the melting temperature (Fig. 7.4) by changing the solidus (Ashworth, 1985;Sawyer, 2008; Vernon and Clarke, 2008). Fluid interaction, to induce melting, can take place in two ways: 
1. Metasomatism  before  melting  (Sawyer,  2008). The  infiltration  of  metasomatic 
fluids  from  an  outside  source  involves  the  enrichment  of  the  rock  by  improving 
the  rock  fertility  (Vernon  and  Clarke,  2008)  thus  making  it  more  susceptible  to 
melting.",rules,PLACE
2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt,Banding,30,"5.1 Unit descriptions 
Amphibolite 
Amphibolite  samples  consist  of  fine-grained  and  equigranular  minerals  up  to  0.3  mm  (Fig. 5.1). The  amphibolite  is  dominated  by  quartz  and  hornblende,  with  plagioclase  in  low 
concentrations. Mineral  proportions  of  the  whole  rock  are  approximately  hornblende:  54%; 
quartz: 40% and plagioclase 6%. The amphibolite is host to a compositional banding texture 
which is exhibited by the presence of compositional banding. Banding comprises hornblende- 
and quartz-rich bands.",rules,PLACE
2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt,Beauvais,9,"Specifically  the  Oudalan-Gorouol  Greenstone  Belt  has  undergone  greenschist-
facies  metamorphism  (Tshibubudze  et  al.,  2009). Regional  metamorphism  to  greenschist 
facies is associated to north-south crustal shortening during the Eburnean Orogeny (Vidal et 
al., 1996, Beziat et al., 2000, Hein et al., 2004 and Naba et al., 2004). Contact metamorphism 
of  these  rocks  occurred  due  to  the  emplacement  of  granitoids  which  include  granite-
adamellite,  granite  and  granodiorite  compositions  (Pons  et  al.,  1995;  Debat  et  al.,  2003; 
Tshibubudze et al., 2009). Metamorphism of the surrounding units to the granitoids occurred 
to  amphibolite-facies  (Pons  et  al.,  1995;  Tshibubudze  et  al.,  2009;  Tshibubudze  and  Hein, 
submitted)  and  granulite  facies  (Tshibubudze  and  Hein,  submitted).. Through  hornblende 
barometric estimates, shallow crust (3-4 kbar) emplacement of plutons has been established 
(Pons et al., 1992). Gold and manganese mineralisation as well as pegamatite veins are present in the Oudalan-
Gorouol  greenstone  belt  (Milési  et  al.,  1992;  Nikiéma,  1992;  Beauvais  et  al.,  2008 
Tshibubudze, et al., 2009; Tshibubudze and Hein, submitted).",rules,PLACE
2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt,Beziat,9,"Specifically  the  Oudalan-Gorouol  Greenstone  Belt  has  undergone  greenschist-
facies  metamorphism  (Tshibubudze  et  al.,  2009). Regional  metamorphism  to  greenschist 
facies is associated to north-south crustal shortening during the Eburnean Orogeny (Vidal et 
al., 1996, Beziat et al., 2000, Hein et al., 2004 and Naba et al., 2004). Contact metamorphism 
of  these  rocks  occurred  due  to  the  emplacement  of  granitoids  which  include  granite-
adamellite,  granite  and  granodiorite  compositions  (Pons  et  al.,  1995;  Debat  et  al.,  2003; 
Tshibubudze et al., 2009). Metamorphism of the surrounding units to the granitoids occurred 
to  amphibolite-facies  (Pons  et  al.,  1995;  Tshibubudze  et  al.,  2009;  Tshibubudze  and  Hein, 
submitted)  and  granulite  facies  (Tshibubudze  and  Hein,  submitted).. Through  hornblende 
barometric estimates, shallow crust (3-4 kbar) emplacement of plutons has been established 
(Pons et al., 1992). Gold and manganese mineralisation as well as pegamatite veins are present in the Oudalan-
Gorouol  greenstone  belt  (Milési  et  al.,  1992;  Nikiéma,  1992;  Beauvais  et  al.,  2008 
Tshibubudze, et al., 2009; Tshibubudze and Hein, submitted).",rules,PLACE
2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt,Billiata,9,"Gold mineralisation, found at 
many locations, is hosted in shear zones as structural hosted lode-gold associated with NW-
SE structures (Nikiéma, 1992; Tshibubudze et al., 2009; Tshibubudze and Hein, submitted). Manganese  mineralisation  is  situated  NE  and  SW  of  the  KEMB  at  Tambăo  and  Billiata 
(Tshibubudze and Hein, submitted) and pegamatite veins are situated NE at Tambăo. 8",llm,PLACE
