filename,location,pages,mentions,source,location_type
"2012_Simoko_Petrology, geochemistry and structure of the Pissila batholith and the Saaba Zone gneiss.txt",Baoule-Mossi domain,6,"2. Regional Geology 
The West African Craton consists of several shields. The Archean-Palaeoproterozoic Leo-
Man  rise  in  the  south  and  the  Reguibat  rise  in  the  north,  which  are  separated  by  the 
Phanerozoic Toudeni basin. The Leo-Man rise consists of the Archean Kénéma-Man domain 
and the Palaeoproterozoic Baoulé-Mossi domain (Fig 2.1) (Cahen et al., 1984). Fig 2.1. The West African Craton consists of the Archean and Palaeoproterozoic Reguibat in the north 
and the Leo-Man in the south (Béziat et al., 2008).",llm,GEOLOGICAL_UNIT
"2012_Simoko_Petrology, geochemistry and structure of the Pissila batholith and the Saaba Zone gneiss.txt",Bauole-Mossi domain,5,"1. Introduction 
The Bauolé-Mossi domain consists of predominately Palaeoproterozoic calc-alkaline and 
alkaline granitoid intrusions. Theses rocks were emplaced between ca 2.1 to 1.8 Ga (Vega et 
al.,  2008). The  presence  of  terranes  that  predates  and  may  act  as  basement  rocks  to  the 
Birimian granitoids has been the subject of debate. Basement rocks are typically gneissic to 
migmatitic,  thus  the  granitoid-gneissic  terranes  in  the  West  African  Craton  became  the 
subject of a number of studies (Eisenhohr and Hirdes, 1992, Pons et al., 1995, Hirdes et al., 
1996,  Gasquet  et  al.,  2003). Lemoine,  1988  in  Gasquet  et  al.,  2003  introduced  the  term 
Burkinian,  which  corresponds  to  reworking  of  Archean  rocks  and  formed  the  gneissic 
terrance  in  Côte  d’lvoire.",llm,GEOLOGICAL_UNIT
"2012_Simoko_Petrology, geochemistry and structure of the Pissila batholith and the Saaba Zone gneiss.txt",Birim River Valley,7,"The Kénéma-Man domain  was deformed and  metamorphosed during two major tectonic 
events. The Leonean cycle, ca 3.0 Ga is associated with north-south trending structures and 
metamorphism of basement rocks to granulite- facies (Cahen et al., 1984; Thieblemont et al., 
2004). The  Liberian  event,  ca  2.7  Ga  resulted  in  N-S  to  NNE-SSW  trending  structures 
(Thieblemont  et  al.,  2004). The  Liberian  event  culminated  with  TTG  batholith  intrusions 
(Skinner et al., 2004). 2.2. Palaeoproterozoic Baoulé-Mossi domain 
The  Birimian  was  first  described  by  Kitsh  from  outcrops  in  the  Birim  River  Valley  in 
southern  Ghana  (Pohl,  1998).","llm,rules",PLACE
"2012_Simoko_Petrology, geochemistry and structure of the Pissila batholith and the Saaba Zone gneiss.txt",Burkina,7,"Shales, quartzite and meta-conglomerates of the Banket Group. III. Overlying the Banket Group are shales and phyllites of the Tarkwa formation (Cahen 
et al., 1984; Tshibubudze et al., 2009). The above Anglophone Birimian sequence was inverted by the Francophone school. The 
predominately  volcanic  units  were  interpreted  as  being  younger  than  the  metasedimentary 
units (Milési et al., 1992).However, during a study of the Goren-greenstone belt in Burkina 
7",rules,PLACE
"2012_Simoko_Petrology, geochemistry and structure of the Pissila batholith and the Saaba Zone gneiss.txt",Burkina Faso,10,"Comparison of the petrographic and geochemical data obtained for the two areas. III. Comparison batholith and the gneiss with other granitoids in Burkina Faso and similar 
granitoids in the West African Craton. 10",rules,PLACE
"2012_Simoko_Petrology, geochemistry and structure of the Pissila batholith and the Saaba Zone gneiss.txt",Ce anomaly,26,"The presence of garnet in the source 
would  have  produced  a  depleted  HREE  pattern  relative  to  LREE. Similar  to  gneisses  the 
sample exhibits a negative Eu anomaly. The migmatite exhibits a positive Ce anomaly and a 
negative  Eu  anomaly. Similar  to  the  above  samples,  the  migmatite  is  enriched  in  LILE 
relative to HFSE. The K-rich vein is depleted in LREE relative to HREE (Fig 6.2.1). The sample exhibits a 
negative Eu anomaly and a slight negative Ce anomaly.",rules,PLACE
"2012_Simoko_Petrology, geochemistry and structure of the Pissila batholith and the Saaba Zone gneiss.txt",Clarke,29,"The  samples  are  depleted  in  HREE  relative  to  LREE,  which  indicates  a  garnet  and 
amphibolite-bearing  source  rock  or  residuum  (Holland  &  Turekian,  2003). Migmatites 
exhibits a flat REE slope, which may suggests that garnet and amphiboles had a minor role 
melt production. 7.2. Gneiss and migmatite 
The migmatites exhibit some similarities to Archean TTG. The samples exhibit SiO2> 70 
wt%,  Na2O/K2O>0.5,  K2O/Na2O<0.5,  which  is  characteristic  of  Archean  TTG  (Clarke, 
1992). Thus the gneiss and migmatite may have formed from processes similar to those that 
form  Archean  TTG.",rules,PLACE
"2012_Simoko_Petrology, geochemistry and structure of the Pissila batholith and the Saaba Zone gneiss.txt",Cote d'Ivoire,"35,4,5","1. Introduction 
The Bauolé-Mossi domain consists of predominately Palaeoproterozoic calc-alkaline and 
alkaline granitoid intrusions. Theses rocks were emplaced between ca 2.1 to 1.8 Ga (Vega et 
al.,  2008). The  presence  of  terranes  that  predates  and  may  act  as  basement  rocks  to  the 
Birimian granitoids has been the subject of debate. Basement rocks are typically gneissic to 
migmatitic,  thus  the  granitoid-gneissic  terranes  in  the  West  African  Craton  became  the 
subject of a number of studies (Eisenhohr and Hirdes, 1992, Pons et al., 1995, Hirdes et al., 
1996,  Gasquet  et  al.,  2003). Lemoine,  1988  in  Gasquet  et  al.,  2003  introduced  the  term 
Burkinian,  which  corresponds  to  reworking  of  Archean  rocks  and  formed  the  gneissic 
terrance  in  Côte  d’lvoire. || Granitoids  that  are  associated  with  gneisses  and  migmatites  were  previously 
described in north eastern Burkina Faso, Côte d’lvoire and Senegal. These studies concluded 
that the granitoids intruded into the pre-existing gneissic terrane. This study suggests that the 
Saaba  zone  and  Pissila  batholith  are  geochemically  and  petrological  different  from  each 
other. The Saaba zone gneiss does not  represent  a deformed region  of the Pissila batholith. Based on similarities of the study area to other granitoid-gneissic terrane, the Saaba zone may 
predate the Pissila batholith. It is also proposed that the gneiss preserve an older deformation 
event  D1,  which  lead  to  amphibolite  facies  metamorphism. || The  Pissila  batholith  and  the  Saaba  zone  exhibit  some  similarities  to  granitoid-gneissic 
terranes  in  Côte  d’lvoire,  NE  Burkina  Faso  and  Senegal. The  study  area  may  have  formed 
under  processes  similar  to  those  that  formed  granitoid-gneisses  in  the  above  countries. Therefore, the Saaba zone was possibly intruded by the Pissila batholith. The intrusion leads 
to partial melting and migmatization of the gneisses. Analysis of microstructures in the Pissila batholith and the Saaba zone gneiss suggests the 
rocks were subjected to two deformation events. The Saaba zone gneiss and migmatites was 
deformed to amphibolites facies during D1 deformation event.",llm,PLACE
"2012_Simoko_Petrology, geochemistry and structure of the Pissila batholith and the Saaba Zone gneiss.txt",Dabakala,5,"Hirdes  et  al.,  1996  proposed  the  gneissic  terrane  in  the  Dabakala 
predate 2.1 Ga batholith intrusions. This was rejected by Gasquet et al., 2003 who concluded 
the gneiss were syntectonic despite zircons recovered at 2.3 Ga. 5",rules,PLACE
"2012_Simoko_Petrology, geochemistry and structure of the Pissila batholith and the Saaba Zone gneiss.txt",Dabakala region in Cote d'Ivoire,"26,31,37","Appendix 1 
REE diagrams of the Dabakala region in Côte d’lvoire (Gasquet et al., 2003) 
Spider diagram of the Dabakala region in Côte d’lvoire (Gasquet et al., 2003) 
37 || The  samples  are  enriched  in  LILE  relative  to 
HFSE  (Fig  6.2.3). The  spider  plot  exhibit  similarities  with  the  samples  from  the  Dabakala 
region in Côte d’lvoire that were described by Gasquet et al., 2003 (Fig 6.2.2 and appendix 
1). The gneisses in the spider plot exhibit a prominent negative Ti and P anomaly. The migmatite exhibit a REE pattern that is relatively flat (Fig 6.2.1). The sample’s REE 
pattern is depleted relative to the granodiorite, gneisses and K-rich vein. The flat REE pattern 
suggests that the migmatite’s source rock lacked garnet. || The spider diagram of the studied granodiorite is comparable with spider diagrams for the 
Dabakala region in Côte d’lvoire  (appendix 1) (Gasquet et al., 2003). The diagrams exhibit 
negative  Ta,  Ti  and  Nb,  which  are  usually  associated  with  titaniferous  minerals  retained  in 
the  residuum  (White,  2012). A  negative  Ce  and  Nb  anomaly  is  generally  regarded  as  an 
indicator  of  crustal  contamination  (fig  6.2.2.)  (Rollinson,  1993). The  positive  Sr  anomaly 
attests to  declining role of plagioclase in  melt  production (Holland &  Turekian, 2003). The 
positive  Sr  coupled  with  Eu  anomaly,  indicates  that  plagioclase  was  not  retained  in  the 
residuum  during  partial  melting  or  fractionated  during  magma  differentiation  (Rollinson, 
1993; Holland & Turekian, 2003). 7.4.",llm,GEOLOGICAL_UNIT
"2012_Simoko_Petrology, geochemistry and structure of the Pissila batholith and the Saaba Zone gneiss.txt","Dabakala region, Cote d'Ivoire",34,"7.5. Comparison other regions in the craton similar to the study area 
Granitoid  intrusion  associated  with  orthogneiss  and  migmatites  where  previously 
described by Hirdes et al., 1996, Doumbia et al., 1998, Gasquet et al., 2003, Naba et al., 2004 
and Vegas et al., 2008. The Pissila batholith and the Saaba zone gneiss are petrologically and 
geochemically  similar  to  gneissic  terranes  in  the  sodic  calc-alkaline  granitoids  in  the 
Dabakala region, Côte d’lvoire and the batholiths in north eastern Burkina Faso (appendix 1). Therefore,  the  Pissila  batholith  and  the  Saaba  zone  were  possibly  derived  from  similar 
processes  that  formed  the  above  regions. In  both  regions  the  granitoids  are  associated  with 
first  group  of  granitoid  intrusion  ca  2.1  Ga,  which  is  similar  to  the  age  (2143  ±12  Ma  and 
2117 ±17Ma) of the Pissila batholith (Gasquet et al., 2003, Vegas et al., 2008). In  a  study  of  granitoid-gneissic  terrane  in  the  Dabakala  region,  Hirdes  et  al.,  1996 
proposed  that  the  gneisses  where  intruded  by  younger  batholiths.",llm,GEOLOGICAL_UNIT
"2012_Simoko_Petrology, geochemistry and structure of the Pissila batholith and the Saaba Zone gneiss.txt",Doumbia,30,"Archean TTG are thought to have formed by partial melting of a hydrated oceanic crust or 
partial  melting of a thickened crust, leaving  a  garnet-bearing  amphibolite residuum (Martin 
and Moyen, 2002). The latter is not favoured to produce Archean TTG (Martin et al., 2005). The TTG are thought to represent felsic melt that interacted with  the mantle during diapiric 
ascent (Clarke, 1992). Partial melting of the lower thickened crust could not have allowed the 
melt to interact with the mantle prior to emplacement (Smithes, 2000). According to Doumbia et al., 1998, the concave up HREE end is typical of Archean TTG 
and  of  calc-alkaline  granitoids  in  the  region. Depletion  of  HREE  relative  to  LREE  is 
controlled by garnet and amphiboles retained in the residuum (Rollinson, 1993).",rules,PLACE
"2012_Simoko_Petrology, geochemistry and structure of the Pissila batholith and the Saaba Zone gneiss.txt",Eburnean orogeny,4,"Abstract  
The  Pissila  batholith  is  a  foliated  coarse-grained  granodiorite,  which  is  located  in  north 
eastern Burkina Faso. The batholith was emplaced at 2143 ±12 Ma and 2117 ±17Ma, coeval 
with  the  Eburnean  orogeny. The  Eburnean  orogeny  represents  a  period  of  major  crustal 
growth in an island arc setting. The batholith is geochemically similar to other calc-alkaline 
granitoids in the domain. The Saaba zone gneiss, which is locally migmatitic is located within 
the  Pissila  batholith. Geochemically,  the  gneiss  and  migmatites  have  some  Archean  TTG 
affiliations.",rules,PLACE
"2012_Simoko_Petrology, geochemistry and structure of the Pissila batholith and the Saaba Zone gneiss.txt",Egal,8,"The granitoids intruded into meta-volcanic and meta-sedimentary rocks during the Eburnean 
orogeny  (Egal  et  al.,  2002). The  Eburnean  orogeny  marks  a  major  period  of  crustal 
thickening 2.1 to 2.0 Ga (Pons et al., 1995). The  granitoids  are  calc-alkaline  and  locally  alkaline  in  composition  with  minor  crustal 
component  (Gasquet  et  al.,  2003). The  granitoids  are  divided  into  three  groups,  unfoliated 
hornblende-bearing,  foliated  biotite-bearing  and  alkaline  granitoids  (Dioh  et  al.,  2006). Gasquet et al., (2003), Naba et al., (2004) and Agbossoumonde et al., (2007) observed that 
the granitoids grade into gneissic and migmatitic structures. 2.4.",rules,PLACE
"2012_Simoko_Petrology, geochemistry and structure of the Pissila batholith and the Saaba Zone gneiss.txt",Ghana,7,"The  Upper  Birimian  consists  of  tholeiitic  lavas,  which  are  locally  pillowed, 
intercalated with  turbidites and  meta-volcanoclastic sedimentary  rocks  (Debat  et  al., 
2003). The Tarkwaian  unconformably overlies the Upper Birimian  and  consist  of coarse  clastic 
sedimentary  unit  (Tshibubudze  et  al.,  2009). The  description  of  the  unit  is  based  on  work 
done in Ghana (Eisenlohr and Hirdes, 1992). I. The Tarkwaian includes basal conglomerates from the Kewese Group (Pohl, 1998). II. || The Kénéma-Man domain  was deformed and  metamorphosed during two major tectonic 
events. The Leonean cycle, ca 3.0 Ga is associated with north-south trending structures and 
metamorphism of basement rocks to granulite- facies (Cahen et al., 1984; Thieblemont et al., 
2004). The  Liberian  event,  ca  2.7  Ga  resulted  in  N-S  to  NNE-SSW  trending  structures 
(Thieblemont  et  al.,  2004). The  Liberian  event  culminated  with  TTG  batholith  intrusions 
(Skinner et al., 2004). 2.2. Palaeoproterozoic Baoulé-Mossi domain 
The  Birimian  was  first  described  by  Kitsh  from  outcrops  in  the  Birim  River  Valley  in 
southern  Ghana  (Pohl,  1998).","llm,rules",PLACE
"2012_Simoko_Petrology, geochemistry and structure of the Pissila batholith and the Saaba Zone gneiss.txt",Google Earth,11,"The 
location map of the study area was created using Expert GPS 4.57. The data from Expert GPS 
was exported to Google Earth. Petrography  
Seven  polished  thin  sections  were  used  for  petrography. Reflected  light  was  used  to 
examine  the  oxide  mineralization. Five  of  the  seven  thin  sections  were  used  for  point 
counting. An  average  of  500  minerals  in  each  samples  were  counted  using  Petrog  JVC 
V2.42.15.",rules,PLACE
"2012_Simoko_Petrology, geochemistry and structure of the Pissila batholith and the Saaba Zone gneiss.txt",Goren-greenstone belt in Burkina,7,"Shales, quartzite and meta-conglomerates of the Banket Group. III. Overlying the Banket Group are shales and phyllites of the Tarkwa formation (Cahen 
et al., 1984; Tshibubudze et al., 2009). The above Anglophone Birimian sequence was inverted by the Francophone school. The 
predominately  volcanic  units  were  interpreted  as  being  younger  than  the  metasedimentary 
units (Milési et al., 1992).However, during a study of the Goren-greenstone belt in Burkina 
7",llm,GEOLOGICAL_UNIT
"2012_Simoko_Petrology, geochemistry and structure of the Pissila batholith and the Saaba Zone gneiss.txt",Hastings,8,"Faso, Hein et al., (2004) concluded that sub-dividing the Birimian into two units did not fit 
the conformable nature of the sequence. Instead, they found three intercalated meta-volcanic 
and  meta-volcanic  sequences  (Tshibubudze  et  al.,  2009). According  to  Tagini,  (1971)  in 
Hastings,  (1982),  the  Birimian  was  deposited  in  an  intra-continental  rift  basin,  followed  by 
sedimentation  and  localized  volcanism. The  Birimian  and  the  Tarkwaian  are  considered  to 
represent  transition  from  a  deep  marine  to  sub-aerial  depositional  environment  caused  by 
uplift during craton accretion (Pohl, 1998). 2.3. Magmatic Intrusions  
Granitoids  cover  approximately  70%  of  the  Baoulé-Mossi  domain  (Debat  et  al.,  2003).",rules,PLACE
"2012_Simoko_Petrology, geochemistry and structure of the Pissila batholith and the Saaba Zone gneiss.txt",Holland,29,"The  samples  are  depleted  in  HREE  relative  to  LREE,  which  indicates  a  garnet  and 
amphibolite-bearing  source  rock  or  residuum  (Holland  &  Turekian,  2003). Migmatites 
exhibits a flat REE slope, which may suggests that garnet and amphiboles had a minor role 
melt production. 7.2. Gneiss and migmatite 
The migmatites exhibit some similarities to Archean TTG. The samples exhibit SiO2> 70 
wt%,  Na2O/K2O>0.5,  K2O/Na2O<0.5,  which  is  characteristic  of  Archean  TTG  (Clarke, 
1992). Thus the gneiss and migmatite may have formed from processes similar to those that 
form  Archean  TTG.",rules,PLACE
"2012_Simoko_Petrology, geochemistry and structure of the Pissila batholith and the Saaba Zone gneiss.txt",Kenema-Man domain,"6,7","2. Regional Geology 
The West African Craton consists of several shields. The Archean-Palaeoproterozoic Leo-
Man  rise  in  the  south  and  the  Reguibat  rise  in  the  north,  which  are  separated  by  the 
Phanerozoic Toudeni basin. The Leo-Man rise consists of the Archean Kénéma-Man domain 
and the Palaeoproterozoic Baoulé-Mossi domain (Fig 2.1) (Cahen et al., 1984). Fig 2.1. The West African Craton consists of the Archean and Palaeoproterozoic Reguibat in the north 
and the Leo-Man in the south (Béziat et al., 2008). || The Kénéma-Man domain  was deformed and  metamorphosed during two major tectonic 
events. The Leonean cycle, ca 3.0 Ga is associated with north-south trending structures and 
metamorphism of basement rocks to granulite- facies (Cahen et al., 1984; Thieblemont et al., 
2004). The  Liberian  event,  ca  2.7  Ga  resulted  in  N-S  to  NNE-SSW  trending  structures 
(Thieblemont  et  al.,  2004). The  Liberian  event  culminated  with  TTG  batholith  intrusions 
(Skinner et al., 2004). 2.2. Palaeoproterozoic Baoulé-Mossi domain 
The  Birimian  was  first  described  by  Kitsh  from  outcrops  in  the  Birim  River  Valley  in 
southern  Ghana  (Pohl,  1998).",llm,GEOLOGICAL_UNIT
