filename,location,pages,mentions,source,location_type,geocode_lat,geocode_lon,geocode_str,geocode_type,accuracy
2007_Tshibubudze_THE MARKOYE FAULT_2007.txt,0184836-1587581,25,"sequence west of Essakane. GPS, 0184836- 1587581 (c) Preserved primary sedimentary 
structure, ripple marks above the red arrow head and sour and fill texture. GPS, N 14 38 
03 3 E 00 03 32 8. The arrows indicates the facing direction (d) Photomicrograph (plane 
polarised light, X4 magnification), of meta-volcanoclastic greywacke (sample 005). The 
greywacke  is  poorly  sorted  and  contains  rock  fragments,  anhedral  quartz,  plagioclase 
grains, and isotropic minerals in a fine to medium grained quartz-feldspar-chlorite matrix. 19",llm,GPS,14.34235129135816,-5.921694236439622,"GPS: 14.342351, -5.921694",utm_heuristic,EXTRACTED
2007_Tshibubudze_THE MARKOYE FAULT_2007.txt,14 36 37 8 E 00 00 12 1,40,"Figure 15. Mylonite with well developed asymmetric flow folds that developed during a 
sinistral  displacement  on  the  MMZ. The  folds  are  synchronous  with  the  horizontal 
stretching lineation. GPS, 14 36 37 8 E 00 00 12 1. 34",llm,GPS,,,no-geocode-result,no-geocode-result,
2007_Tshibubudze_THE MARKOYE FAULT_2007.txt,"250 km NE of Ouagadougou, Burkina Faso",8,"1.2 Location and physiography 
The area of study is located ±250 km NE of the capital city, Ouagadougou, Burkina Faso 
(Fig. 1). Burkina  Faso  is  a  landlocked  country  in  West  Africa. The  neighbouring 
countries  include  Mali,  Niger,  Benin,  Togo,  Ghana  and  Côte  d`Ivoire. The  official 
language is French. Other languages, local languages include Mooré and Dioula.",llm,APPROXIMATE,12.0753083,-1.6880314,Burkina Faso,APPROXIMATE,
2007_Tshibubudze_THE MARKOYE FAULT_2007.txt,Ashanti Belt,7,"Since the completion of geological mapping of the West African Craton in the 1980s by 
the BRGM, geological mapping has been focused in areas with potential mineral deposits 
including  gold  deposits  in  the  Ashanti  Belt  and  Tarkwa  Basin  in  Ghana  (Milési  et  al., 
1989, 1991; Feybesse et al., 2006). In Burkina Faso studies completed by Feybesse et al. (1990), Lompo et al. (1991, Béziat et al. (2000) and Hein et al. (2004) have focused on 
the Boromo-Goren Greenstone belt and associated gold mineralization.","llm,rules",GEOLOGICAL_UNIT,,,no-geocode-result,no-geocode-result,
2007_Tshibubudze_THE MARKOYE FAULT_2007.txt,Baoule-Mossi domain,10,"Chapter 2: Regional Geology 
2.1 Preamble 
The  West  African  Craton  is  composed  of an Archaean and Palaeoproterozoic basement 
that  is  divided  into  the  Reguibat  Rise  in  the  north  and  the  Leo-Man  Rise  in  the  south 
(Thiéblemont et al., 2004). These two are separated by the Taoudeni basin, which is of 
upper  Proterozoic  to  Devonian  age  (Fig. 1). The  Leo-Man  Rise  is  composed  of  two 
domains, the Kénéma-Man domain in the south west and the Baoule-Mossi domain in the 
east (Feybesse et al., 2006). The area of study is situated within the Leo-Man Rise in the 
Palaeoproterozoic  Baoule-Mossi  domain. The  Kénéma-Man  domain  is  Archaean  in  age 
and dated at 3542-3535 Ma (U-Pb zircon, Thiéblemont et al., 2001, 2004). || The Baoule-
Mossi domain is Palaeoproterozoic in age and consists of Birimian sequences that where 
accreted  at  around  2100  Ma  during  the  Eburnean  Orogeny  (Milési  et  al.,  1991,  1992; 
Boher  et  al.,  1992). The  syn-tectonic  emplacement  of  granitoids  during  accretion 
occurred  at  around  2190-2108  Ma  during  the  Eburnean  orogeny  (Hirdes  and  Davis, 
2002). The  Tarkwa  Group  which  unconformably  overlies  the  Birimian  sequences  is 
regarded  by  some  as  the  erosional  product  of  the  Birimian  sequences  and  granitoids 
(Hastings, 1982; Leube et al., 1990; Milési et al., 1992; Castaing et al., 2003). 2.2 Stratigraphy 
The area of study is situated in the NE of Burkina Faso. The overall stratigraphy of the 
eastern part of Burkina Faso is established by the Palaeoproterozoic basement. The NE-
trending  Birimian  meta-sedimentary  and  meta-volcanic  sequences  (2238-2170  Ma) 
unconformably  overlie  the  basement.",llm,GEOLOGICAL_UNIT,,,no-geocode-result,no-geocode-result,
2007_Tshibubudze_THE MARKOYE FAULT_2007.txt,Benin,8,"1.2 Location and physiography 
The area of study is located ±250 km NE of the capital city, Ouagadougou, Burkina Faso 
(Fig. 1). Burkina  Faso  is  a  landlocked  country  in  West  Africa. The  neighbouring 
countries  include  Mali,  Niger,  Benin,  Togo,  Ghana  and  Côte  d`Ivoire. The  official 
language is French. Other languages, local languages include Mooré and Dioula.","llm,rules",PLACE,9.5293472,2.2584408,Benin,APPROXIMATE,
2007_Tshibubudze_THE MARKOYE FAULT_2007.txt,Birimian sequences,11,"between the West African Craton and the Birimian sequences (Milési et al., 1989; Davis 
et  al.,  1994;  Feybesse  and  Milési.,  1994). Furthermore  Milési  et  al. (1992)  determined 
that an unconformity exists between the lower and the upper Birimian series in the type 
locality in the Goren Greenstone Belt. However Hein et al. (2004) demonstrated that the 
discordance  was  structural  and  that  the  lower  and  upper  Birimian  series  are,  instead, 
interbedded. An  unconformity  also  exists  between  the  Birimian  sequences  and  the 
overlying Tarkwa Group sequences (Leube et al., 1990; Milési et al., 1992; Castaing et 
al., 2003).",llm,PLACE,,,no-geocode-result,no-geocode-result,
2007_Tshibubudze_THE MARKOYE FAULT_2007.txt,Booysens Johannesburg,17,"All samples where transported to Orezone Resources main office 
in  Ouagadougou,  and  then  transported  to  Johannesburg  by  Air  France  flight. Samples 
were  catalogued  and  submitted  to  SGS  laboratories  in  Booysens  Johannesburg  to  make 
polished  thin  sections  (PTS). Oriented  samples  were  referenced  to  magnetic  north,  and 
marked with horizontal and vertical orientation lines. 11","llm,rules",PLACE,-26.2291667,28.0247222,"Booysens, Johannesburg Ward 124, Johannesburg, City of Johannesburg Metropolitan Municipality, Gauteng, 2001, South Africa",APPROXIMATE,
2007_Tshibubudze_THE MARKOYE FAULT_2007.txt,Boromo-Goren Greenstone Belt,14,"(2004)  in  the  Boromo-Goren  Greenstone  Belt,  four  deformational  events  are  currently 
recognised. D1,  represented  by  isoclinal  folds  (F1)  which  are  synchronous  with 
development  of  foliation. D2,  represented  by  formation  of  N,  NE  and  NW-trending 
sinistral faults that are synchronous with low-grade metamorphism. D3 is represented by 
NE-trending  dextral  or  dextral  reverse  faults,  also  synchronous  with  low-grade 
metamorphism. D3 event is associated with the development F3 folds during E-W crustal 
shortening. D4, which is represented by NW-trending Wabi-Tampelse Shear Zone which 
crosscuts the Goren Greenstone Belt is associated with development of mesoscopic folds 
(F4) during N-S crustal shortening (Hein et al., 2004).",llm,GEOLOGICAL_UNIT,,,no-geocode-result,no-geocode-result,
2007_Tshibubudze_THE MARKOYE FAULT_2007.txt,Boromo-Goren Greenstone belt,7,"Since the completion of geological mapping of the West African Craton in the 1980s by 
the BRGM, geological mapping has been focused in areas with potential mineral deposits 
including  gold  deposits  in  the  Ashanti  Belt  and  Tarkwa  Basin  in  Ghana  (Milési  et  al., 
1989, 1991; Feybesse et al., 2006). In Burkina Faso studies completed by Feybesse et al. (1990), Lompo et al. (1991, Béziat et al. (2000) and Hein et al. (2004) have focused on 
the Boromo-Goren Greenstone belt and associated gold mineralization.","llm,rules",GEOLOGICAL_UNIT,,,no-geocode-result,no-geocode-result,
2007_Tshibubudze_THE MARKOYE FAULT_2007.txt,Burkina Faso,"21,7,8,9,7","1.2 Location and physiography 
The area of study is located ±250 km NE of the capital city, Ouagadougou, Burkina Faso 
(Fig. 1). Burkina  Faso  is  a  landlocked  country  in  West  Africa. The  neighbouring 
countries  include  Mali,  Niger,  Benin,  Togo,  Ghana  and  Côte  d`Ivoire. The  official 
language is French. Other languages, local languages include Mooré and Dioula. || Figure 1. Simplified geological map of the West African Craton after Thièblemont et al. (2004), and the geological map of the study area modified 
after  Castaing  et  al. (2003). The  study  area 
is  situated 
in 
the  Palaeoproterozoic  Baoule-Mossi  Domain 
in  Burkina  Faso. || Since the completion of geological mapping of the West African Craton in the 1980s by 
the BRGM, geological mapping has been focused in areas with potential mineral deposits 
including  gold  deposits  in  the  Ashanti  Belt  and  Tarkwa  Basin  in  Ghana  (Milési  et  al., 
1989, 1991; Feybesse et al., 2006). In Burkina Faso studies completed by Feybesse et al. (1990), Lompo et al. (1991, Béziat et al. (2000) and Hein et al. (2004) have focused on 
the Boromo-Goren Greenstone belt and associated gold mineralization. || concluded  that  in-situ  laterite  in  Burkina  Faso  formed  during  the  upper  Cretaceous  to 
Eocene. The laterite is randomly distributed in the northern part of the study area. 4.6 Alluvial profile 
The alluvial profile in the area of study is dominated by light coloured, fine to medium 
sand  with  fragments  of  siltstone  and  quartz-vein  material. The  alluvial  profile  covers 
most of the landscape in Burkina Faso. 4.7 Intrusions 
4.7.1 Biotite Granite/ Adamellite  
A biotite granite/adamellite crops out west of the Markoye fault (Fig. 2). || Chapter 1: Introduction 
1.1 Preamble 
The  NE-trending  Markoye  fault  in  Burkina  Faso  is  a  first-order  crustal  scale  structure 
located in the north-eastern part of Burkina Faso, between the towns of Dori and Tambão 
by the boarder with Mali and Niger (Fig. 1). The structure has been interpreted as a major 
westerly-dipping  thrust  (Milési  et  al.,  1992;  Hottin  and  Ouedraogo,  1992). Delfour  and 
Jeabrum (1970) in Rogers and Dong (2000) defined the structure as an east-verging thrust 
and  BHP  geologists  interpreted  the  structure  as  part  of  a  regional  dextral  strike-slip 
system. Castaing  et  al. (2003)  interpreted  the  same  structure  as  a  sinistral  fault  system, 
and  Milési  et  al.","llm,rules",PLACE,12.0753083,-1.6880314,Burkina Faso,APPROXIMATE,
2007_Tshibubudze_THE MARKOYE FAULT_2007.txt,Cote d'Ivoire,8,"1.2 Location and physiography 
The area of study is located ±250 km NE of the capital city, Ouagadougou, Burkina Faso 
(Fig. 1). Burkina  Faso  is  a  landlocked  country  in  West  Africa. The  neighbouring 
countries  include  Mali,  Niger,  Benin,  Togo,  Ghana  and  Côte  d`Ivoire. The  official 
language is French. Other languages, local languages include Mooré and Dioula.",llm,PLACE,7.9897371,-5.5679458,Côte d'Ivoire,APPROXIMATE,
2007_Tshibubudze_THE MARKOYE FAULT_2007.txt,Essakane,"14,16,17,36,37,47,6","Calculated fold axis 
Figure  12. Equal  area  stereographic  projection  of  the  poles  to  bedding  at  Essakane 
exploration  trenches. The  calculated  mean  strike  and  dip  is  343°/27°E. The  calculated 
best  fit  girdle  is  078°/88°S. The  spread  of  the  poles  along  the  girdle  indicates  that  the 
bedding has been folded; the calculated mean strike and dip is inferred to parallel the fold 
axes. The  fold  is  asymmetric  with  the  fold  vergence  to  the  SW  indicating  that  the 
transport direction is toward the SW. || Chapter 3: Methodology 
3.1 Data collection 
In  January  2007  a  detailed  structural  mapping  project  was  conducted  in  the  study  area 
over  a  period  of  20  days,  including  days  allocated  to  logistics  and  camp  management. Geology  and  topographic  maps,  and  airborne  magnetic  data  were  used  to  delineate  the 
Markoye  fault. Geographic  and  geologic  reconnaissance  studies  of  the  region  were 
conducted  before  the  actual  field  work  commenced. Several  east-west  traverses  were 
conducted  across  the  Markoye  fault  between  Essakane  and  Tambăo  (Fig.1  and  2). For 
each station point mapped, lithological and structural data was recorded, a photographic 
record was made, GPS position was established using UTM grid co-ordinates (WGS 84), 
and if appropriate, samples were collected for petrographic studies. The  data  was  captured  using  a  northern  hemisphere  compass  clinometer,  and  the 
geographic  coordinates  were  recorded  using  Garmin  Geographic  Positioning  System 
(GPS) instrument. || Figure  11. Photographic  mosaic  of  Essakane  exploration  trench  number  1. This  trench 
wall  is  southeast  facing,  and  the  pictures  were  taken  facing  to  the  northwest. The 
Essakane  prospect  is  hosted  by  an  asymmetric  open  anticline. The  stockwork,  breccia, 
and  sheeted  quartz-carbonate  veins  are  concentrated  (hosted)  in  the  eastern  limb,  the 
west-dipping cavities on the NE limb where produced by orpailleurs who excluded west-
dipping, gold bearing veins. 30 || Figure  2. Schematic  interpretation  of  LANDSAT  image,  modified  after  Hein  and 
Tshibubudze, 2007 showing locations of villages, orpaillage (             ) and traverse lines 
(     ). The villages are: Salmossi (S), Essakane (E), Tin Agadel (TA), Tin Taradat (TT), 
Markoye (M), and Gorom-Gorom (GG). The (YMC) Yacouba Mafic Complex      . 10 || In  Milési  et  al. (1989,  1991,  1992)  and  Hottin  and 
Ouedraogo  (1992),  the  Markoye  fault  is  recorded  as  a  westerly-dipping  thrust  but  field 
data was not presented. Unpublished structural studies completed for Goldfields Mining 
Pty, Ltd, Ore Zone Resources and BHP Billiton concluded that the Markoye fault is an 
east-verging  thrust  (Rogers  and  Dong,  2000)  and  that  it  is  a  part  of  a  regional  dextral 
strike-slip system. 2.9 Regional metallogeny 
The West African Craton hosts many mineral deposits, for example, gold, diamond, iron, 
and  manganese,  silver,  lead  and  zinc  (Hastings,  1982;  Milési  et  al.,  1992). Several 
deposits and deposit styles occur in the study area including; (1) The manganese deposit 
at  Tambăo  close  to  border  with  Niger  (Fig. 2),  (2)  gold  mineralization  at  Essakane, 
Gosséy, Koiréziéna, Falagountou (Fig. || Structural  studies  indicate  that  the  NE-trending  Markoye  fault,  which  is  the  first-order 
crustal-scale  structure,  have  undergone  at  least  two  phases  of  deformation,  D1  and  D2, 
with reactivation during the late phase of D2. D1 resulted in formation of NW-trending 
asymmetric folds and thrusts at Essakane, and the displacement along the Markoye fault 
was dextral reverse. D2 is a period of SE-NW crustal shortening that formed NE-trending 
folds,  and  NE-trending  regional  foliation. The  NE-trending  mylonite  to  ultramylonite 
zone, pseudotachylyte veins, buck quartz-carbonate (± tourmaline) veins and quartz iron-
rich catalasite vein, and late quartz-chlorite shears formed during D2. D1 is interpreted to pre-date the Eburnean Orogeny, and D2 is correlated to the Eburnean 
Orogeny ~2.1 G.a. The name ‘Markoye Fault’ should be changed to Markoye Shear Zone 
(MSZ) to reflect the complex nature of the structure and tectonic history. || The presence of black shale and siltstone at Essakane provides evidence of fine material 
deposited  by  suspension  settling  at  the  delta  front  (Eriksson  et  al.,  1998;  Sultan  and 
Björklund,  2006). The  meta-volcanoclastic  greywackes  host  thin  intercalated  layers  of 
fuchsite  and  mud-cracks. Fuchsite  layers  and  mud-cracks  can  form  in  lagoonal 
(continental  shelf)  environments  were  temperature  and  availability  of  water  is  the 
controlling  factors  (Sultan  and  Björklund,  2006). The  meta-conglomerate  contains  sub-
rounded to rounded clasts indicating a local origin and short transportation distance. The 
conglomerate  units  were  probably  deposited  proximal  to  the  source  in  a  deltaic 
environment  (Eriksson  et  al.,  1998). The  presence  of  stromatolites  in  greywacke 
41",llm,PLACE,16.781011,-3.6346771,"Essakane, Goundam Cercle, Timbuktu, Mali",APPROXIMATE,
2007_Tshibubudze_THE MARKOYE FAULT_2007.txt,Essakane Orpaillage,32,"F1 and F2 are crosscut by faults and quartz-chlorite shears associated with the 
development of quartz-carbonate veins during reactivation of the Markoye fault. 5.2 D1 
D1 is associated with the formation of NW-trending folds (F1) that are clearly evident in 
the exploration trenches at Essakane Orpaillage (Fig. 11). An equal area projection of the 
poles to bedding exposed in the trenches in the southern part of the Essakane Orpaillage 
is  presented  in  Figure  12. The  mean  strike  and  dip  is  343°/27°E. Calculated  fold  axes 
plunge  2°  towards  348°.",llm,PLACE,,,no-geocode-result,no-geocode-result,
