filename,location,pages,mentions,source,location_type,geocode_lat,geocode_lon,geocode_str,geocode_type,accuracy
2011_Peters_East Markoye_2011.txt,12 km west of the international border of Niger,6,"2.2. Location and Physiography 
The study area is situated approximately 2 km east of the town of Markoye and is located 12 
km west of the international border of Niger and 38 km south of the border of Mali (Fig. 2). The town of Markoye is located at the divide between the Sahel and the Sahara; everything 
north of the town is considered to be the Sahara Desert. Thus, the field area is an arid and hot 
environment with much of the surface covered with sand and loose gravels making outcrop 
difficult to find in the low-lying areas. The areas of high relief however, are desert mountains 
that contain a large amount of rock which, unfortunately, was dominated by  loose boulders 
and very little in situ-outcrop.",llm,APPROXIMATE,,,no-geocode-result,no-geocode-result,
2011_Peters_East Markoye_2011.txt,2 km east of the town of Markoye,6,"2.2. Location and Physiography 
The study area is situated approximately 2 km east of the town of Markoye and is located 12 
km west of the international border of Niger and 38 km south of the border of Mali (Fig. 2). The town of Markoye is located at the divide between the Sahel and the Sahara; everything 
north of the town is considered to be the Sahara Desert. Thus, the field area is an arid and hot 
environment with much of the surface covered with sand and loose gravels making outcrop 
difficult to find in the low-lying areas. The areas of high relief however, are desert mountains 
that contain a large amount of rock which, unfortunately, was dominated by  loose boulders 
and very little in situ-outcrop.",llm,APPROXIMATE,,,no-geocode-result,no-geocode-result,
2011_Peters_East Markoye_2011.txt,38 km south of the border of Mali,6,"2.2. Location and Physiography 
The study area is situated approximately 2 km east of the town of Markoye and is located 12 
km west of the international border of Niger and 38 km south of the border of Mali (Fig. 2). The town of Markoye is located at the divide between the Sahel and the Sahara; everything 
north of the town is considered to be the Sahara Desert. Thus, the field area is an arid and hot 
environment with much of the surface covered with sand and loose gravels making outcrop 
difficult to find in the low-lying areas. The areas of high relief however, are desert mountains 
that contain a large amount of rock which, unfortunately, was dominated by  loose boulders 
and very little in situ-outcrop.",llm,APPROXIMATE,,,no-geocode-result,no-geocode-result,
2011_Peters_East Markoye_2011.txt,"Ashanti, Ghana",54,"P.,  (2007). Geological and thermal conditions before the major Palaeoproterozoic goldmineralization 
event  at  Ashanti,  Ghana,  as  inferred  from  improved  thermal  modelling. Precambrian 
Research, 154, 71–87. Hein, K. A. A., (2003).",llm,PLACE,6.8003319,-1.5188142,"Ashanti Region, Ghana",APPROXIMATE,
2011_Peters_East Markoye_2011.txt,Australia,"10,54","According to Proust et 
al. (2005) the basin has a depth of 5 km; the sedimentary fill overlies basement rock which 
consists of a thick unit of greywacke that is Mesozoic in age. Reviewing 
literature 
that  describes  greywacke 
formation 
from 
the  Archaean  or 
Palaeoproterozoic is significant. Similar processes of formation could have occurred owing to 
the  same  environment  at  that  point  in  earth’s  history. The  Pine  Creek  Inlier  of  northern 
Australia contains rocks  which are Palaeoproterozoic in age. It consists of metasedimentary 
rocks  and  volcanic  units  that  overlie  Archaean  granite  basement  (Needham  et  al.,  1988). || Relative timing of deformational, metamorphic and 
mineralisation events at the Mt. Todd (Yimuyn Manjerr) Mine, Pine Creek Inlier, 
Northern Territory, Australia. Ore Geology Reviews, 22, 143-175. Hein,  K. A. A.,  Morel,  V.,  Kagone,  O.,  Kiemde,  F.,  Mayes,  K.,  (2004).","llm,rules",PLACE,-24.7761086,134.755,Australia,APPROXIMATE,
2011_Peters_East Markoye_2011.txt,Australian Plate,10,"The  basin  demonstrates  a  full  range  of  sedimentary  facies. Carter  and 
Naish  (1998)  identified  that  equal  amounts  of  sedimentation  and  subsidence  are  necessary. Uplift  and  subsidence  were,  in  the  case  of  the  Wanganui  Basin,  controlled  by  eustatic 
changes which created an environment prone to rapid deposition. The Wanganui Basin sits in 
a  back-arc  setting  at  the  convergence  of  the  Pacific  Plate  with  the  Australian  Plate. It  is 
possible  that  its  formation  occurred  in  the  same  environment. Lithospheric  loading  and 
downwarping created by adjacent subduction is credited with basin formation.",llm,PLACE,-35.2769708,149.1208812,"China Plate, University Avenue, Acton, Canberra, District of Canberra Central, Australian Capital Territory, 2601, Australia",APPROXIMATE,
2011_Peters_East Markoye_2011.txt,Boromo-Goren,53,"Dott, R. H., (1964). Wacke, Graywacke and matrix-what approach to immature sandstone 
classification? Journal of Sedimentary Petrology, 34, 625-632. Feybesse,  J.-L.,  Milesi,  J.-P.,  Ouedraogo,  M.F.,  Prost,  A.,  (1990). La  ‘‘ceinture’’ 
Proterozoıque  inferieur  de  Boromo–Goren  (Burkina  Faso):  un  exemple  d’interference 
entre  deux  phases  transcurrentes  eburneenes.",llm,PLACE,,,no-geocode-result,no-geocode-result,
2011_Peters_East Markoye_2011.txt,Boromo-Goren Greenstone Belt,54,"Birimian 
lithological  succession  and  structural  evolution  in  the  Goren  Segment  of  the  Boromo-
Goren Greenstone Belt, Burkina Faso. Journal of African Earth Sciences, 39, 1–23. Hein,  K. A. A.,  (2010). Succession  of  structural  events  in  the  Goren  greenstone  belt 
(Burkina  Faso):  Implications  for  West  African  tectonics.",llm,GEOLOGICAL_UNIT,,,no-geocode-result,no-geocode-result,
2011_Peters_East Markoye_2011.txt,Boulder Batholith,28,"This type 
of  alteration  is  common  and  can  affect  mafic  to  felsic  rocks  during  crystallisation. An 
example  where  deuteric  alteration  affects  quartz  monzonites,  similar  in  composition  to  the 
dykes  of  the  field  area,  is  from  the  Boulder  Batholith  in  Montana,  USA. In  this  case,  the 
alteration is related to the formation of ore deposits hosted within the intrusion (Neuerburg, 
1958). 27",llm,GEOLOGICAL_UNIT,,,no-geocode-result,no-geocode-result,
2011_Peters_East Markoye_2011.txt,"Boulder Batholith, Montana",56,"Introduction  to  mineralogy. Oxford  University  Press,  Oxford,  pg 
92, 442 pp. Neuerburg,  G. J.,  (1958). Deuteric  alteration  of  some  aplite-pegmatities  of  the  Boulder 
Batholith,  Montana,  and  its  possible  significance  to  ore  deposition. Economic  Geology, 
53, 287-299.",llm,GEOLOGICAL_UNIT,47.3752671,-109.638757,"Montana, United States",APPROXIMATE,
2011_Peters_East Markoye_2011.txt,Brazil,55,"Hirdes, W., Davis, D. W., (2002). U-Pd geochronology of Palaeoproterozoic rocks in the 
southern  part  of  the  Kedougou-Kenieba  Inlier,  Senegal,  West  Africa:  Evidence  for 
diachronous accretionary development of the Eburnean province. Precambrian Research, 
118, 83-99. Klein, E.L., Moura, C.A.V., (2009). São Luis craton and Gurupi belt (Brazil): possible 
links with the West African craton and surroundings Pan-African belts.","llm,rules",PLACE,-10.3333333,-53.2,Brazil,APPROXIMATE,
2011_Peters_East Markoye_2011.txt,Burkina Faso,"11,52,53,54","Birimian 
lithological  succession  and  structural  evolution  in  the  Goren  Segment  of  the  Boromo-
Goren Greenstone Belt, Burkina Faso. Journal of African Earth Sciences, 39, 1–23. Hein,  K. A. A.,  (2010). Succession  of  structural  events  in  the  Goren  greenstone  belt 
(Burkina  Faso):  Implications  for  West  African  tectonics. || Dott, R. H., (1964). Wacke, Graywacke and matrix-what approach to immature sandstone 
classification? Journal of Sedimentary Petrology, 34, 625-632. Feybesse,  J.-L.,  Milesi,  J.-P.,  Ouedraogo,  M.F.,  Prost,  A.,  (1990). La  ‘‘ceinture’’ 
Proterozoıque  inferieur  de  Boromo–Goren  (Burkina  Faso):  un  exemple  d’interference 
entre  deux  phases  transcurrentes  eburneenes. || Principles of Sedimentology and stratigraphy: Fourth Edition, Pearson 
Prentice Hall, New Jersey, 662 pp. Bossiere,  G.,  Bonkoungou,  I.,  Peucat,  J. J.,  Pupin,  J. P.,  (1996). Origin  and  age  of 
Palaeoproterozoic  conglomerates  and  sandstones  of  the  Tarkwaian  Group  in  Burkina 
Faso, West Africa. Precambrian Research, 80, 153-172. || The  tonalite  intruded  a  granite  adamellite 
west of the Markoye Shear Zone. To the east, it intrudes Palaeoproterozoic sedimentary and 
volcanic sequences (Tshibubudze and Hein, in review). A swarm of late dolerite dykes which 
trend WNW and NW cross-cut the supracrustal rocks of the Birimian Supergroup. They are 
dated at 250 Ma. Tshibubudze et al. (2009) classified dolerite dykes with the same trend in 
the north-east of Burkina Faso, at Essakane, which also cross-cut supracrustal rocks including 
greywacke and siltstone.","llm,rules",PLACE,12.0753083,-1.6880314,Burkina Faso,APPROXIMATE,
2011_Peters_East Markoye_2011.txt,Cambridge,"52,58","12.0. References  
Albarede,  F.,  (2003). Geochemistry:  An  Introduction. Cambridge  University  Press, 
Cambridge, 248 pp. Anders,  E.,  and  Grevesse,  N.,  (1989). Abundances  of  the  elements:  Meteoric  and  solar. || Cambridge 
University Press, Cambridge, 446. 57","llm,rules",PLACE,52.2055314,0.1186637,"Cambridge, Cambridgeshire, Cambridgeshire and Peterborough, England, United Kingdom",APPROXIMATE,
2011_Peters_East Markoye_2011.txt,East Markoye,10,"This resulted 
in thick units of greywacke being deposited which is similar and therefore significant for the 
East  Markoye  region. The  tectonic  setting  of  the  Wanganui  Basin  is  described  in  detail  by 
Proust  et  al. (2005). They  explained  that  the  basin  is  situated  on  the  Australian  Plate 
approximately  200  km  behind  an  active  zone  of  subduction. In  this  subduction  zone,  the 
Pacific  Plate  is  thrust  beneath  the  Australian  Plate  obliquely. The  angle  of  subduction  has 
remained constant for about 25 million years and is responsible for the creation of large fault 
systems that lie between the fore-arc basin and the Wanganui Basin.","llm,rules",PLACE,14.7095001,0.0948661,"Markoye, Oudalan, Sahel, Burkina Faso",APPROXIMATE,
2011_Peters_East Markoye_2011.txt,Eastern Senegal,57,"Pawlig, S., Gueye, M., Klischies, R., Schwarz, S., Wemmer, K., Siegesmund, S., (2006). Geochemical and Sr–Nd isotopic data on the Birimian of the Kedougou-Kenieba Inlier 
(Eastern Senegal): implications on the Palaeoproterozoic evolution of the West African 
Craton. South African Journal of Geology, 109, 411–427. Proust, J. N., Lamarche, G., Nodder, S., Kamp, P. J.",llm,PLACE,14.6661109,121.1096537,"Senegal Street, Marikina Greenheigts, Nangka, District II, Marikina, Eastern Manila District, Metro Manila, 1800, Philippines",APPROXIMATE,
2011_Peters_East Markoye_2011.txt,Eburnean province,55,"Hirdes, W., Davis, D. W., (2002). U-Pd geochronology of Palaeoproterozoic rocks in the 
southern  part  of  the  Kedougou-Kenieba  Inlier,  Senegal,  West  Africa:  Evidence  for 
diachronous accretionary development of the Eburnean province. Precambrian Research, 
118, 83-99. Klein, E.L., Moura, C.A.V., (2009). São Luis craton and Gurupi belt (Brazil): possible 
links with the West African craton and surroundings Pan-African belts.",llm,GEOLOGICAL_UNIT,,,no-geocode-result,no-geocode-result,
2011_Peters_East Markoye_2011.txt,Essakane,"11,12","The  tonalite  intruded  a  granite  adamellite 
west of the Markoye Shear Zone. To the east, it intrudes Palaeoproterozoic sedimentary and 
volcanic sequences (Tshibubudze and Hein, in review). A swarm of late dolerite dykes which 
trend WNW and NW cross-cut the supracrustal rocks of the Birimian Supergroup. They are 
dated at 250 Ma. Tshibubudze et al. (2009) classified dolerite dykes with the same trend in 
the north-east of Burkina Faso, at Essakane, which also cross-cut supracrustal rocks including 
greywacke and siltstone. || Tshibubudze  et  al. (2009)  described 
gold mineralisation at Essakane and observed that it exists in stockwork veins that are made 
up  of  quartz  and  carbonate  material. Tshibubudze  et  al. (2009)  explained  that  Essakane 
goldfield hosts gold-bearing veins in an anticline that formed in D1 and was dilated in D2. 11",llm,PLACE,16.781011,-3.6346771,"Essakane, Goundam Cercle, Timbuktu, Mali",APPROXIMATE,
2011_Peters_East Markoye_2011.txt,Essakane gold mine,38,"sequence  with  occasional  mud  drapes  making  up  the  Bouma  Te/f  layer  of  the  sequence. Layers A and B often occur together in coarser grained sediments which is the case for the 
greywackes (Boggs, 2004) as shown by Figure 14. Figure 14: Classic model of the Bouma Cycle (Shanmugam, 1997). Stratigraphically, the entire field area was previously assigned to the metasedimentary rocks 
of the Tarkwa Group (Milesi et al., 1989, 1992; Castaing et al., 2003) which represents the 
erosional  product  of  the  Birimian  Supergroup. The  correlation  with  the  Tarkwa  Group  was 
based on the single conglomerate unit in the study area and several conglomerate bands near 
the  Essakane  gold  mine  (Milesi  et  al.,  1989,  1991;  Bossiere  et  al.,  1996). The  Tarkwaian 
conglomerates in the type section in Ghana consist mostly of quartz vein clasts and a minor 
proportion  of  quartzite  pebbles  in  a  dark,  fine-grained,  sandy  matrix.",llm,GEOLOGICAL_UNIT,16.781011,-3.6346771,"Essakane, Goundam Cercle, Timbuktu, Mali",APPROXIMATE,
