filename,pages,location,geocode_str,geocode_lat,geocode_lon,source,location_type,doc_id,gold_decision,gold_canon,gold_country,notes
2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt,6,"0805000 E, 1594000 N",no-geocode-result,no-geocode-result,no-geocode-result,llm,APPROXIMATE,2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt|6,correct,,,
2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt,6,"0810000 E, 1594000 N",no-geocode-result,no-geocode-result,no-geocode-result,llm,APPROXIMATE,2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt|6,correct,,,
2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt,6,"0810000 E, 1600000 N",no-geocode-result,no-geocode-result,no-geocode-result,llm,APPROXIMATE,2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt|6,correct,,,
2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt,4,275km to the northeast of Ouagadougou,"Ouagadougou, Kadiogo, Centre, Burkina Faso",12.3681873,-1.5270944,llm,PLACE,2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt|4,correct,,,
2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt,6,"30 P 0805000 E, 1600000 N",no-geocode-result,no-geocode-result,no-geocode-result,llm,APPROXIMATE,2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt|6,correct,,,
2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt,30,Banding,"Banding, Lampung Selatan, Lampung, Sumatra, Indonesia",-5.8098056,105.5929848,rules,PLACE,2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt|30,incorrect,,,
2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt,9,Beauvais,"Beauvais, Oise, Hauts-de-France, Metropolitan France, 60000, France",49.4300997,2.0823355,rules,PLACE,2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt|9,incorrect,,,
2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt,9,Billiata,no-geocode-result,no-geocode-result,no-geocode-result,llm,PLACE,2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt|9,correct,,,
2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt,8,Boromo greenstone belt,"Boromo, Balé, Boucle du Mouhoun, Burkina Faso",11.7447567,-2.9300274,llm,GEOLOGICAL_UNIT,2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt|8,correct,,,
2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt,49,Burke,"Burke County, North Carolina, United States",35.7270403,-81.6632108,rules,PLACE,2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt|49,incorrect,,,
2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt,43,Clarke,"Clarke County, Georgia, United States",33.9458693,-83.3557816,rules,PLACE,2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt|43,incorrect,,,
2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt,"47,5",Dori,"Dori, Séno, Sahel, Burkina Faso",14.0327651,-0.0348286,"llm,rules",PLACE,"2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt|47,5",correct,,,
2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt,8,Eburnean Orogeny,no-geocode-result,no-geocode-result,no-geocode-result,rules,PLACE,2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt|8,incorrect,,,
2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt,4,Essakane gold mine,"Essakane, Goundam Cercle, Timbuktu, Mali",16.781011,-3.6346771,llm,GEOLOGICAL_UNIT,2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt|4,correct,,,
2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt,47,France,France,46.603354,1.8883335,rules,PLACE,2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt|47,correct,,,
2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt,5,Google Earth,"Cooperativa de Transporte Crucitahttps://earth.google.com/web/@-0.95852507,-80.69145646,21.64961062a,790.08329147d,35y,-0.00000005h,0.11675768t,-0r/data=CgRCAggBOgMKATBCAggASg0I____________ARAA, José Joaquín Olmedo, Rocafuerte, Parroquia Rocafuerte, Rocafuerte, Manabí, Ecuador",-0.9191736,-80.4496163,rules,PLACE,2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt|5,correct,,,
2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt,8,Goren greenstone belt,"Goren, Maale Yosef Regional Council, Acre Subdistrict, North District, Israel",33.0563927,35.2369919,llm,GEOLOGICAL_UNIT,2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt|8,correct,,,
2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt,47,Granite,"Granite County, Montana, United States",46.3944149,-113.4687025,rules,PLACE,2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt|47,incorrect,,,
2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt,"4,42,46,47,48,49,8",KEMB,"Kembach, Wertheim, Main-Tauber-Kreis, Baden-Württemberg, 97277, Germany",49.742803,9.6275081,llm,PLACE,"2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt|4,42,46,47,48,49,8",correct,,,
2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt,"13,5",Kel Enguef,"Kel Enguef, Téra, Tillabéri Region, Niger",14.6610476,0.8014577,llm,PLACE,"2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt|13,5",correct,,,
2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt,"2,30,5",Kel Enguef metamorphic belt,"Kel Enguef, Téra, Tillabéri Region, Niger",14.6610476,0.8014577,llm,GEOLOGICAL_UNIT,"2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt|2,30,5",correct,,,
2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt,10,March,"March, Czechia",49.3597062,17.3094202,rules,PLACE,2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt|10,incorrect,,,
