filename,pages,location,geocode_str,geocode_lat,geocode_lon,source,location_type,doc_id,gold_decision
"2012_Simoko_Petrology, geochemistry and structure of the Pissila batholith and the Saaba Zone gneiss.txt",6,Baoule-Mossi domain,no-geocode-result,no-geocode-result,no-geocode-result,llm,GEOLOGICAL_UNIT,"2012_Simoko_Petrology, geochemistry and structure of the Pissila batholith and the Saaba Zone gneiss.txt|6",correct
"2012_Simoko_Petrology, geochemistry and structure of the Pissila batholith and the Saaba Zone gneiss.txt",5,Bauole-Mossi domain,no-geocode-result,no-geocode-result,no-geocode-result,llm,GEOLOGICAL_UNIT,"2012_Simoko_Petrology, geochemistry and structure of the Pissila batholith and the Saaba Zone gneiss.txt|5",correct
"2012_Simoko_Petrology, geochemistry and structure of the Pissila batholith and the Saaba Zone gneiss.txt",7,Birim River Valley,no-geocode-result,no-geocode-result,no-geocode-result,"llm,rules",PLACE,"2012_Simoko_Petrology, geochemistry and structure of the Pissila batholith and the Saaba Zone gneiss.txt|7",correct
"2012_Simoko_Petrology, geochemistry and structure of the Pissila batholith and the Saaba Zone gneiss.txt",7,Burkina,Burkina Faso,12.0753083,-1.6880314,rules,PLACE,"2012_Simoko_Petrology, geochemistry and structure of the Pissila batholith and the Saaba Zone gneiss.txt|7",correct
"2012_Simoko_Petrology, geochemistry and structure of the Pissila batholith and the Saaba Zone gneiss.txt",26,Ce anomaly,"Anomaly Road, Lake Telemark, Rockaway Township, Morris County, New Jersey, 07842, United States",40.9474536,-74.5127736,rules,PLACE,"2012_Simoko_Petrology, geochemistry and structure of the Pissila batholith and the Saaba Zone gneiss.txt|26",incorrect
"2012_Simoko_Petrology, geochemistry and structure of the Pissila batholith and the Saaba Zone gneiss.txt",29,Clarke,"Clarke County, Georgia, United States",33.9458693,-83.3557816,rules,PLACE,"2012_Simoko_Petrology, geochemistry and structure of the Pissila batholith and the Saaba Zone gneiss.txt|29",incorrect
"2012_Simoko_Petrology, geochemistry and structure of the Pissila batholith and the Saaba Zone gneiss.txt","35,4,5",Cote d'Ivoire,Côte d'Ivoire,7.9897371,-5.5679458,llm,PLACE,"2012_Simoko_Petrology, geochemistry and structure of the Pissila batholith and the Saaba Zone gneiss.txt|35,4,5",correct
"2012_Simoko_Petrology, geochemistry and structure of the Pissila batholith and the Saaba Zone gneiss.txt",5,Dabakala,"Dabakala, Hambol, Vallée du Bandama, Côte d'Ivoire",8.363238,-4.428486,rules,PLACE,"2012_Simoko_Petrology, geochemistry and structure of the Pissila batholith and the Saaba Zone gneiss.txt|5",correct
"2012_Simoko_Petrology, geochemistry and structure of the Pissila batholith and the Saaba Zone gneiss.txt","26,31,37",Dabakala region in Cote d'Ivoire,Côte d'Ivoire,7.9897371,-5.5679458,llm,GEOLOGICAL_UNIT,"2012_Simoko_Petrology, geochemistry and structure of the Pissila batholith and the Saaba Zone gneiss.txt|26,31,37",correct
"2012_Simoko_Petrology, geochemistry and structure of the Pissila batholith and the Saaba Zone gneiss.txt",34,"Dabakala region, Cote d'Ivoire","Dabakala, Hambol, Vallée du Bandama, Côte d'Ivoire",8.363238,-4.428486,llm,GEOLOGICAL_UNIT,"2012_Simoko_Petrology, geochemistry and structure of the Pissila batholith and the Saaba Zone gneiss.txt|34",correct
"2012_Simoko_Petrology, geochemistry and structure of the Pissila batholith and the Saaba Zone gneiss.txt",4,Eburnean orogeny,no-geocode-result,no-geocode-result,no-geocode-result,rules,PLACE,"2012_Simoko_Petrology, geochemistry and structure of the Pissila batholith and the Saaba Zone gneiss.txt|4",correct
"2012_Simoko_Petrology, geochemistry and structure of the Pissila batholith and the Saaba Zone gneiss.txt",8,Egal,"Langford Lodge, Largy Road, Antrim and Newtownabbey District, County Antrim, Northern Ireland, BT29 4RS, United Kingdom",54.6231003,-6.3000002,rules,PLACE,"2012_Simoko_Petrology, geochemistry and structure of the Pissila batholith and the Saaba Zone gneiss.txt|8",incorrect
"2012_Simoko_Petrology, geochemistry and structure of the Pissila batholith and the Saaba Zone gneiss.txt",7,Ghana,Ghana,8.0300284,-1.0800271,"llm,rules",PLACE,"2012_Simoko_Petrology, geochemistry and structure of the Pissila batholith and the Saaba Zone gneiss.txt|7",correct
"2012_Simoko_Petrology, geochemistry and structure of the Pissila batholith and the Saaba Zone gneiss.txt",11,Google Earth,"Cooperativa de Transporte Crucitahttps://earth.google.com/web/@-0.95852507,-80.69145646,21.64961062a,790.08329147d,35y,-0.00000005h,0.11675768t,-0r/data=CgRCAggBOgMKATBCAggASg0I____________ARAA, José Joaquín Olmedo, Rocafuerte, Parroquia Rocafuerte, Rocafuerte, Manabí, Ecuador",-0.9191736,-80.4496163,rules,PLACE,"2012_Simoko_Petrology, geochemistry and structure of the Pissila batholith and the Saaba Zone gneiss.txt|11",correct
"2012_Simoko_Petrology, geochemistry and structure of the Pissila batholith and the Saaba Zone gneiss.txt",7,Goren-greenstone belt in Burkina,Burkina Faso,12.0753083,-1.6880314,llm,GEOLOGICAL_UNIT,"2012_Simoko_Petrology, geochemistry and structure of the Pissila batholith and the Saaba Zone gneiss.txt|7",correct
"2012_Simoko_Petrology, geochemistry and structure of the Pissila batholith and the Saaba Zone gneiss.txt",8,Hastings,"Hastings, East Sussex, England, United Kingdom",50.8553888,0.5824703,rules,PLACE,"2012_Simoko_Petrology, geochemistry and structure of the Pissila batholith and the Saaba Zone gneiss.txt|8",incorrect
"2012_Simoko_Petrology, geochemistry and structure of the Pissila batholith and the Saaba Zone gneiss.txt",29,Holland,Netherlands,52.2434979,5.6343227,rules,PLACE,"2012_Simoko_Petrology, geochemistry and structure of the Pissila batholith and the Saaba Zone gneiss.txt|29",incorrect
"2012_Simoko_Petrology, geochemistry and structure of the Pissila batholith and the Saaba Zone gneiss.txt",13,KS-2012,no-geocode-result,no-geocode-result,no-geocode-result,rules,PLACE,"2012_Simoko_Petrology, geochemistry and structure of the Pissila batholith and the Saaba Zone gneiss.txt|13",incorrect
"2012_Simoko_Petrology, geochemistry and structure of the Pissila batholith and the Saaba Zone gneiss.txt","6,7",Kenema-Man domain,"Ray and Man's Bar, Bo- Kenema Highway, Goma Town, Bo, Bo District, Sierra Leone",7.9450752,-11.727446,llm,GEOLOGICAL_UNIT,"2012_Simoko_Petrology, geochemistry and structure of the Pissila batholith and the Saaba Zone gneiss.txt|6,7",correct
"2012_Simoko_Petrology, geochemistry and structure of the Pissila batholith and the Saaba Zone gneiss.txt",6,Leo-Man rise,"Leo man, Calle Burgo Nuevo, Centro, León, Castile and León, 24004, Spain",42.5968863,-5.5719594,llm,PLACE,"2012_Simoko_Petrology, geochemistry and structure of the Pissila batholith and the Saaba Zone gneiss.txt|6",correct
"2012_Simoko_Petrology, geochemistry and structure of the Pissila batholith and the Saaba Zone gneiss.txt",26,Lree,no-geocode-result,no-geocode-result,no-geocode-result,rules,PLACE,"2012_Simoko_Petrology, geochemistry and structure of the Pissila batholith and the Saaba Zone gneiss.txt|26",incorrect
"2012_Simoko_Petrology, geochemistry and structure of the Pissila batholith and the Saaba Zone gneiss.txt","10,35",NE Burkina Faso,"Ne, Niangoloko, Comoé, Waterfalls, Burkina Faso",10.3777812,-4.6882653,llm,PLACE,"2012_Simoko_Petrology, geochemistry and structure of the Pissila batholith and the Saaba Zone gneiss.txt|10,35",correct
"2012_Simoko_Petrology, geochemistry and structure of the Pissila batholith and the Saaba Zone gneiss.txt",10,Pissila,"Pissila, Sanmatenga, Central-North, Burkina Faso",13.1658394,-0.8287661,rules,PLACE,"2012_Simoko_Petrology, geochemistry and structure of the Pissila batholith and the Saaba Zone gneiss.txt|10",correct
"2012_Simoko_Petrology, geochemistry and structure of the Pissila batholith and the Saaba Zone gneiss.txt",6,Regional Geology The West African Craton,no-geocode-result,no-geocode-result,no-geocode-result,rules,APPROXIMATE,"2012_Simoko_Petrology, geochemistry and structure of the Pissila batholith and the Saaba Zone gneiss.txt|6",correct
