filename,pages,location,geocode_str,geocode_lat,geocode_lon,source,location_type,doc_id,gold_decision
2007_Tshibubudze_THE MARKOYE FAULT_2007.txt,25,0184836-1587581,no-geocode-result,no-geocode-result,no-geocode-result,llm,GPS,2007_Tshibubudze_THE MARKOYE FAULT_2007.txt|25,incorrect
2007_Tshibubudze_THE MARKOYE FAULT_2007.txt,40,14 36 37 8 E 00 00 12 1,no-geocode-result,no-geocode-result,no-geocode-result,llm,GPS,2007_Tshibubudze_THE MARKOYE FAULT_2007.txt|40,correct
2007_Tshibubudze_THE MARKOYE FAULT_2007.txt,8,"250 km NE of Ouagadougou, Burkina Faso",Burkina Faso,12.0753083,-1.6880314,llm,APPROXIMATE,2007_Tshibubudze_THE MARKOYE FAULT_2007.txt|8,incorrect
2007_Tshibubudze_THE MARKOYE FAULT_2007.txt,7,Ashanti Belt,no-geocode-result,no-geocode-result,no-geocode-result,"llm,rules",GEOLOGICAL_UNIT,2007_Tshibubudze_THE MARKOYE FAULT_2007.txt|7,correct
2007_Tshibubudze_THE MARKOYE FAULT_2007.txt,10,Baoule-Mossi domain,no-geocode-result,no-geocode-result,no-geocode-result,llm,GEOLOGICAL_UNIT,2007_Tshibubudze_THE MARKOYE FAULT_2007.txt|10,correct
2007_Tshibubudze_THE MARKOYE FAULT_2007.txt,7,Basin,"Basin, Big Horn County, Wyoming, 82410, United States",44.379956,-108.038989,rules,GEOLOGICAL_UNIT,2007_Tshibubudze_THE MARKOYE FAULT_2007.txt|7,incorrect
2007_Tshibubudze_THE MARKOYE FAULT_2007.txt,8,Benin,Benin,9.5293472,2.2584408,"llm,rules",PLACE,2007_Tshibubudze_THE MARKOYE FAULT_2007.txt|8,correct
2007_Tshibubudze_THE MARKOYE FAULT_2007.txt,47,Björklund,"Björklund, Huddinge, Huddinge kommun, Stockholm County, 141 92, Sweden",59.2055357,18.005738,rules,PLACE,2007_Tshibubudze_THE MARKOYE FAULT_2007.txt|47,incorrect
2007_Tshibubudze_THE MARKOYE FAULT_2007.txt,17,Booysens Johannesburg,"Booysens, Johannesburg Ward 124, Johannesburg, City of Johannesburg Metropolitan Municipality, Gauteng, 2001, South Africa",-26.2291667,28.0247222,"llm,rules",PLACE,2007_Tshibubudze_THE MARKOYE FAULT_2007.txt|17,correct
2007_Tshibubudze_THE MARKOYE FAULT_2007.txt,14,Boromo-Goren Greenstone Belt,no-geocode-result,no-geocode-result,no-geocode-result,llm,GEOLOGICAL_UNIT,2007_Tshibubudze_THE MARKOYE FAULT_2007.txt|14,correct
2007_Tshibubudze_THE MARKOYE FAULT_2007.txt,7,Boromo-Goren Greenstone belt,no-geocode-result,no-geocode-result,no-geocode-result,"llm,rules",GEOLOGICAL_UNIT,2007_Tshibubudze_THE MARKOYE FAULT_2007.txt|7,correct
2007_Tshibubudze_THE MARKOYE FAULT_2007.txt,10,Bossière,"Bossière, 113, Route de Bossières, La Croix (Lutry), Lutry, District de Lavaux-Oron, Vaud, 1095, Switzerland",46.5098574,6.6991577,rules,PLACE,2007_Tshibubudze_THE MARKOYE FAULT_2007.txt|10,incorrect
2007_Tshibubudze_THE MARKOYE FAULT_2007.txt,8,Cote d'Ivoire,Côte d'Ivoire,7.9897371,-5.5679458,llm,PLACE,2007_Tshibubudze_THE MARKOYE FAULT_2007.txt|8,correct
2007_Tshibubudze_THE MARKOYE FAULT_2007.txt,32,Delisle,"Delisle, Darke County, Ohio, United States",40.0194943,-84.5741202,rules,PLACE,2007_Tshibubudze_THE MARKOYE FAULT_2007.txt|32,correct
2007_Tshibubudze_THE MARKOYE FAULT_2007.txt,9,Domain,"Domain, Ko Chiu Road, Yau Tong Industrial Area, Yau Tong, Kwun Tong District, Kowloon, Hong Kong, China",22.2962992,114.2386059,rules,GEOLOGICAL_UNIT,2007_Tshibubudze_THE MARKOYE FAULT_2007.txt|9,incorrect
2007_Tshibubudze_THE MARKOYE FAULT_2007.txt,7,Dori,"Dori, Séno, Sahel, Burkina Faso",14.0327651,-0.0348286,rules,PLACE,2007_Tshibubudze_THE MARKOYE FAULT_2007.txt|7,correct
2007_Tshibubudze_THE MARKOYE FAULT_2007.txt,7,Eburnean Orogeny,no-geocode-result,no-geocode-result,no-geocode-result,rules,PLACE,2007_Tshibubudze_THE MARKOYE FAULT_2007.txt|7,correct
2007_Tshibubudze_THE MARKOYE FAULT_2007.txt,"14,16,17,36,37,47,6",Essakane,"Essakane, Goundam Cercle, Timbuktu, Mali",16.781011,-3.6346771,llm,PLACE,"2007_Tshibubudze_THE MARKOYE FAULT_2007.txt|14,16,17,36,37,47,6",correct
2007_Tshibubudze_THE MARKOYE FAULT_2007.txt,32,Essakane Orpaillage,no-geocode-result,no-geocode-result,no-geocode-result,llm,PLACE,2007_Tshibubudze_THE MARKOYE FAULT_2007.txt|32,correct
2007_Tshibubudze_THE MARKOYE FAULT_2007.txt,"22,50,52,54,6,7,52",Essakane goldfield,"Essakane, Goundam Cercle, Timbuktu, Mali",16.781011,-3.6346771,"llm,rules",PLACE,"2007_Tshibubudze_THE MARKOYE FAULT_2007.txt|22,50,52,54,6,7,52",correct
2007_Tshibubudze_THE MARKOYE FAULT_2007.txt,"19,20",Essakane orpaillage,"Essakane, Goundam Cercle, Timbuktu, Mali",16.781011,-3.6346771,llm,PLACE,"2007_Tshibubudze_THE MARKOYE FAULT_2007.txt|19,20",correct
2007_Tshibubudze_THE MARKOYE FAULT_2007.txt,14,Falagountou,"Falagountou, Séno, Sahel, Burkina Faso",14.3738506,0.1457981,"llm,rules",PLACE,2007_Tshibubudze_THE MARKOYE FAULT_2007.txt|14,correct
2007_Tshibubudze_THE MARKOYE FAULT_2007.txt,17,France,France,46.603354,1.8883335,rules,PLACE,2007_Tshibubudze_THE MARKOYE FAULT_2007.txt|17,correct
2007_Tshibubudze_THE MARKOYE FAULT_2007.txt,30,GPS 14 35 05 7 W 00 00 05 4,"Seymour Galapagos Ecological Airport, Vía Aeropuerto, Parroquia Santa Rosa, Cantón Santa Cruz, Galápagos, Ecuador",-0.4548118,-90.2651111,llm,GPS,2007_Tshibubudze_THE MARKOYE FAULT_2007.txt|30,incorrect
2007_Tshibubudze_THE MARKOYE FAULT_2007.txt,29,GPS N 14 30 27 7 E 00 00 16 2,"Seymour Galapagos Ecological Airport, Vía Aeropuerto, Parroquia Santa Rosa, Cantón Santa Cruz, Galápagos, Ecuador",-0.4548118,-90.2651111,llm,GPS,2007_Tshibubudze_THE MARKOYE FAULT_2007.txt|29,incorrect
2007_Tshibubudze_THE MARKOYE FAULT_2007.txt,"14,22",Gossey,"Gossey, Markoye, Oudalan, Sahel, Burkina Faso",14.515532,0.102903,llm,PLACE,"2007_Tshibubudze_THE MARKOYE FAULT_2007.txt|14,22",correct
2007_Tshibubudze_THE MARKOYE FAULT_2007.txt,17,Johannesburg,"Johannesburg, City of Johannesburg Metropolitan Municipality, Gauteng, 2001, South Africa",-26.205,28.049722,"llm,rules",PLACE,2007_Tshibubudze_THE MARKOYE FAULT_2007.txt|17,correct
2007_Tshibubudze_THE MARKOYE FAULT_2007.txt,10,Kenema-Man domain,"Ray and Man's Bar, Bo- Kenema Highway, Goma Town, Bo, Bo District, Sierra Leone",7.9450752,-11.727446,llm,GEOLOGICAL_UNIT,2007_Tshibubudze_THE MARKOYE FAULT_2007.txt|10,correct
2007_Tshibubudze_THE MARKOYE FAULT_2007.txt,14,Koireziena,"Korizéna, Gorom-Gorom, Oudalan, Sahel, Burkina Faso",14.3629984,-0.0296908,llm,PLACE,2007_Tshibubudze_THE MARKOYE FAULT_2007.txt|14,correct
2007_Tshibubudze_THE MARKOYE FAULT_2007.txt,14,Koiréziéna,"Korizéna, Gorom-Gorom, Oudalan, Sahel, Burkina Faso",14.3629984,-0.0296908,rules,PLACE,2007_Tshibubudze_THE MARKOYE FAULT_2007.txt|14,incorrect
2007_Tshibubudze_THE MARKOYE FAULT_2007.txt,10,Leo-Man Rise,no-geocode-result,no-geocode-result,no-geocode-result,llm,PLACE,2007_Tshibubudze_THE MARKOYE FAULT_2007.txt|10,correct
2007_Tshibubudze_THE MARKOYE FAULT_2007.txt,16,Markoye,"Markoye, Oudalan, Sahel, Burkina Faso",14.7095001,0.0948661,llm,PLACE,2007_Tshibubudze_THE MARKOYE FAULT_2007.txt|16,correct
2007_Tshibubudze_THE MARKOYE FAULT_2007.txt,35,Markoye Fault,no-geocode-result,no-geocode-result,no-geocode-result,llm,GEOLOGICAL_UNIT,2007_Tshibubudze_THE MARKOYE FAULT_2007.txt|35,correct
