filename,pages,location,geocode_str,geocode_lat,geocode_lon,source,location_type,doc_id,gold_decision
2013_Ramabulana_Sadiola Hill petrology.txt,7,77km south of Kayes,"Kayes, Mali",13.8001844,-10.2245548,llm,APPROXIMATE,2013_Ramabulana_Sadiola Hill petrology.txt|7,correct
2013_Ramabulana_Sadiola Hill petrology.txt,12,Alamoutala,"Alamoutala, Communauté rurale de Sinthiou Malème, Arrondissement de Koussanar, Département de Tambacounda, Tambacounda Region, Senegal",14,-13.75,llm,PLACE,2013_Ramabulana_Sadiola Hill petrology.txt|12,correct
2013_Ramabulana_Sadiola Hill petrology.txt,12,Alamoutala-Sekekoto plutonic system,no-geocode-result,no-geocode-result,no-geocode-result,llm,GEOLOGICAL_UNIT,2013_Ramabulana_Sadiola Hill petrology.txt|12,correct
2013_Ramabulana_Sadiola Hill petrology.txt,"37,6",Alamoutala-Sekokoto-Kakadian plutonic system,no-geocode-result,no-geocode-result,no-geocode-result,llm,GEOLOGICAL_UNIT,"2013_Ramabulana_Sadiola Hill petrology.txt|37,6",correct
2013_Ramabulana_Sadiola Hill petrology.txt,7,Algeria,Algeria,28.0000272,2.9999825,"llm,rules",PLACE,2013_Ramabulana_Sadiola Hill petrology.txt|7,correct
2013_Ramabulana_Sadiola Hill petrology.txt,6,Ashanti in Ghana,"Jerusalem In Ghana, Apimpua Road, Adum, Kumasi, Kumasi Metropolitan District, Ashanti Region, Ghana",6.6934721,-1.6225214,llm,PLACE,2013_Ramabulana_Sadiola Hill petrology.txt|6,correct
2013_Ramabulana_Sadiola Hill petrology.txt,7,Bambara,"Bambara, Bo District, Sierra Leone",8.0204494,-11.612127,rules,PLACE,2013_Ramabulana_Sadiola Hill petrology.txt|7,correct
2013_Ramabulana_Sadiola Hill petrology.txt,10,Bassot,"bassot, Alcalà de Xivert, el Baix Maestrat, Castelló / Castellón, Valencian Community, Spain",40.3792763,0.1987092,rules,PLACE,2013_Ramabulana_Sadiola Hill petrology.txt|10,incorrect
2013_Ramabulana_Sadiola Hill petrology.txt,6,Carlin,"Carlin, Elko County, Nevada, 89822, United States",40.713059,-116.1070877,rules,PLACE,2013_Ramabulana_Sadiola Hill petrology.txt|6,incorrect
2013_Ramabulana_Sadiola Hill petrology.txt,36,Chapter,"Chapter, 40, Market Road, Leckwith, Canton, Cardiff, Wales, CF5 1QE, United Kingdom",51.4830336,-3.2035201,rules,PLACE,2013_Ramabulana_Sadiola Hill petrology.txt|36,incorrect
2013_Ramabulana_Sadiola Hill petrology.txt,10,Diale-Dalema Group,no-geocode-result,no-geocode-result,no-geocode-result,llm,GEOLOGICAL_UNIT,2013_Ramabulana_Sadiola Hill petrology.txt|10,correct
2013_Ramabulana_Sadiola Hill petrology.txt,6,Essakane in Burkina Faso,Burkina Faso,12.0753083,-1.6880314,llm,PLACE,2013_Ramabulana_Sadiola Hill petrology.txt|6,correct
2013_Ramabulana_Sadiola Hill petrology.txt,34,Ethendge,no-geocode-result,no-geocode-result,no-geocode-result,rules,PLACE,2013_Ramabulana_Sadiola Hill petrology.txt|34,incorrect
2013_Ramabulana_Sadiola Hill petrology.txt,6,FE2,"Fe2, 34, Hirschhorner Straße, Feudenheim, Mannheim, Baden-Württemberg, 68259, Germany",49.4851001,8.5372716,llm,GPS,2013_Ramabulana_Sadiola Hill petrology.txt|6,incorrect
2013_Ramabulana_Sadiola Hill petrology.txt,6,FE3,"FE3, D 913, Parc d'activités du Plateau, Flavigny-sur-Moselle, Nancy, Meurthe-et-Moselle, Grand Est, Metropolitan France, 54630, France",48.5601724,6.183953,llm,GPS,2013_Ramabulana_Sadiola Hill petrology.txt|6,incorrect
2013_Ramabulana_Sadiola Hill petrology.txt,11,FE3 and FE4 open cast pits,no-geocode-result,no-geocode-result,no-geocode-result,llm,GPS,2013_Ramabulana_Sadiola Hill petrology.txt|11,incorrect
