filename,page,mention,location,source
2009_Bontle Nkuna_0605886P_Honours Report.txt,8,"1.2 Overview of the Study Area 
The  study  area  is  located  in  the  Oudalan-Gorouol  greenstone  belt  ~250km  to  the  north-east  of 
Ouagadougou, Burkina Faso. Burkina Faso is a landlocked country in West Africa which covers 274 
300  square  kilometres  in  area  (Bierschenk,  1968),  and  shares  its  borders  with  Mali,  Togo,  Benin, 
Ghana, Niger and Côte d’Ivoire. The official language is French, with Mooré and Dioula. The religion 
dominantly practised is Islam with >50% of the population being Muslim, the remaining religions are 
Christianity and indigenous African religions. Burkina Faso is defined by low hills and alluvial plains and is covered by an extensive laterite plateau 
located at the southern edge of the Sahara Desert, with sand dunes (desert) to the north (Bierschenk, 
1968). Central Burkina Faso is a savanna plateau and 198-305 metres above sea level.","250 km to the north-east of Ouagadougou, Burkina Faso",llm
2009_Bontle Nkuna_0605886P_Honours Report.txt,12,"Chapter 2: Geology 
2.1 Regional Geology 
The West African craton (WAC) is ~ 4.5 million km2 and comprises two shields, the Reguibat Rise in 
the north and the Leo-Man Rise to the south (Milési et al., 1992; Villeneuve and Cornée, 1994; Attoh 
and Ekwueme, 1997; Potrel et al., 1998). The Taoudeni basin, situated in the central part of the craton, 
separates the two shields and is Neo-Proterozoic to Devonian in age (Dioh et al., 2006). The Leo-Man 
Rise  in  the  south  comprises  two  domains:  the  Archaean  Kenéma-Man  domain  and  the 
Palaeoproterozoic  Baoulé-Mossi  domain. The  Baoulé-Mossi  domain  is  host  to  Birimian  sequences, 
and these include meta-sedimentary and meta-volcanic rocks (Milési et al., 1991; Dzigbodi-Adjimah, 
1993). Based on previous interpretations by Milési et al. (1991), Debat et al.",Archaean Kenema-Man domain,llm
2009_Bontle Nkuna_0605886P_Honours Report.txt,48,"Wall  and  Taylor  (1991)  observed  retrograde  mineralisation  in  the  thermal-
aureole of deposits at Victoria and Elsewhere, Australia. The stockwork vein system and disseminated 
sulphides  (mainly  pyrite-arsenopyrite  (Au))  typify  the  thermal-aureole  gold  deposits  identified  in 
Quigleys  and  Batman,  Australia  (Hein,  2003). The  mineralisation,  i.e. chlorite-epidote-pyrite-
arsenopyrite is located in the lower temperature field of the thermal aureole. The mineralisation in the 
OGGB is tentatively interpreted as orogenic under the subdivision of thermal-aureole gold. 42","Batman, Australia",llm
2009_Bontle Nkuna_0605886P_Honours Report.txt,8,"1.2 Overview of the Study Area 
The  study  area  is  located  in  the  Oudalan-Gorouol  greenstone  belt  ~250km  to  the  north-east  of 
Ouagadougou, Burkina Faso. Burkina Faso is a landlocked country in West Africa which covers 274 
300  square  kilometres  in  area  (Bierschenk,  1968),  and  shares  its  borders  with  Mali,  Togo,  Benin, 
Ghana, Niger and Côte d’Ivoire. The official language is French, with Mooré and Dioula. The religion 
dominantly practised is Islam with >50% of the population being Muslim, the remaining religions are 
Christianity and indigenous African religions. Burkina Faso is defined by low hills and alluvial plains and is covered by an extensive laterite plateau 
located at the southern edge of the Sahara Desert, with sand dunes (desert) to the north (Bierschenk, 
1968). Central Burkina Faso is a savanna plateau and 198-305 metres above sea level.",Benin,llm
2009_Bontle Nkuna_0605886P_Honours Report.txt,12,"(2003), Dioh et al. (2006) 
and  Béziat  et  al. (2008),  the  Birimian  terrains  consists  of  sedimentary  basins,  and  linear  to  arcuate 
volcanic belts that  correspond to the period of accretion during the Eburnean orogeny. The north-eastern Burkina Faso consists of the Palaeoproterozoic metasedimentary and metavolcanic 
Birimian sequences (2184–2135 Ma) (Davis et al., 1994). The sequences are divided into the upper 
and lower Birimian. These are unconformably overlain by the Tarkwa Group (2194-2132 Ma), first 
described  in  the  Birim  River  in  Ghana  and  are  believed  to  be  derivatives  of  the  upper  Birimian 
(Hastings,  1982;  Milési  et  al.,  1992;  Dzigbodi-Adjimah,  1993;  Bossiére  et  al.,  1996;  Davis  et  al., 
1994).",Birim River in Ghana,llm
2009_Bontle Nkuna_0605886P_Honours Report.txt,7,"Chapter 1 
1.1 Introduction 
The Oudalan-Gorouol greenstone belt is located in north-eastern Burkina Faso (Fig. 1.1) in the West 
African  craton,  and  extends  into  the  neighbouring  Niger. The  greenstone  belt  is  characterised  by 
meta-volcanic  and  meta-sedimentary  rocks,  and  intruded  by  various  igneous  rocks  (Tshibubudze  et 
al., 2009). It hosts various Au deposits, notably the Essakane goldfield, but smaller artisanal sites can 
be found throughout the belt (Tshibubudze et al., 2009). The ore genesis of Essakane, Falagountou and Sokadie areas has not been defined. Researchers have 
identified  that    quartz-vein  hosted  gold  in the  Birimian  of  West  African  craton  can  be  attributed  to 
deformation in the Eburnean Orogeny (Hastings, 1982; Milési et al., 1992; Dzigbodi-Adjimah, 1993; 
Béziat et al., 2008).",Birimian of West African craton,llm
2009_Bontle Nkuna_0605886P_Honours Report.txt,17,"Core logging was the other aspect of the field visit. The petrographic component of the project was 
done at the University of the Witwatersrand laboratory. The samples were documented by Professor 
Kim  Hein  and  sent  to  the  SGS  laboratories  in  Booysens,  Johannesburg  to  create  polished  thin 
sections. The  petrography  work  involved  the  use  of  both  transmitted  light  and  reflected  light 
components  of  a  microscope,  to  identify  sulphides  and  minerals  in  the  sections. Photographs  were 
taken of thin sections of interest. 11","Booysens, Johannesburg",llm
2009_Bontle Nkuna_0605886P_Honours Report.txt,46,"(2004)  for  the  Boromo-Goren  Greenstone  belt,  Roddaz  et  al. (2007)  for  the  Upper 
Birimian and Tshibubudze et al. (2009) for the OGGB. 6.1.2 Metamorphism 
The  supracrustal  rocks  were  regionally  metamorphosed  to  greenschist  facies,  characterised  by  the 
development  chlorite,  sericite,  muscovite  and  anhedral  pyrite,  which  formed  due  to  breakdown  of 
feldspars  into  sericite  combined  with  iron  from  iron-silicates  and  sulphur  (Stanton,  1972). The 
supracrustal 
rocks  were  metamorphosed 
to  quartzite,  metavolcaniclastic,  metagreywacke, 
metasiltstone and  greenschists. The supracrustal rocks  are tentatively  interpreted  to  have  undergone 
two phases of deformation.",Boromo-Goren Greenstone belt,llm
2009_Bontle Nkuna_0605886P_Honours Report.txt,46,"(2004)  noted  the  development  of  hornblende-hornfels  facies  around  the  contact  aureole  of 
granitoids in the Boromo-Goren greenstone belt. Data for the size and mineralogy of the plutons was 
not  available,  but  they  are  interpreted  large,  calc-alkaline  plutons. The  absence  of  minerals  kinked, 
40",Boromo-Goren greenstone belt,llm
2009_Bontle Nkuna_0605886P_Honours Report.txt,"10,12,16,7,8","(1990);  quartz-vein  hosted  gold  (QVT)  which  is  associated  with    pyrite  or  tourmaline  and 
disseminated gold (DST) which is commonly associated with sulphides (Fig. 2.1) (Béziat et al., 2008) 
. Figure 2.1: A sketch of the two gold mineralisation styles in Burkina Faso, after Béziat et al., 2008. 10 || 1.2 Overview of the Study Area 
The  study  area  is  located  in  the  Oudalan-Gorouol  greenstone  belt  ~250km  to  the  north-east  of 
Ouagadougou, Burkina Faso. Burkina Faso is a landlocked country in West Africa which covers 274 
300  square  kilometres  in  area  (Bierschenk,  1968),  and  shares  its  borders  with  Mali,  Togo,  Benin, 
Ghana, Niger and Côte d’Ivoire. The official language is French, with Mooré and Dioula. The religion 
dominantly practised is Islam with >50% of the population being Muslim, the remaining religions are 
Christianity and indigenous African religions. Burkina Faso is defined by low hills and alluvial plains and is covered by an extensive laterite plateau 
located at the southern edge of the Sahara Desert, with sand dunes (desert) to the north (Bierschenk, 
1968). Central Burkina Faso is a savanna plateau and 198-305 metres above sea level. || Groves et al. (1998) and Goldfarb et al. (2000) classified gold in West Africa as 
orogenic gold and gold in Burkina Faso has also been classified as orogenic gold (Béziat et al., 2008). Taner  (2004)  recognised  a  relationship  between  the  gold  mineralisation  and  intrusions  in  the 
Falagountou and Essakane deposits. The gold in these deposits can be classified as mesothermal lode 
gold, thermal-aureole gold or intrusion-related gold. 1 || N 
N 
32km 
Essakane 
Falagountou 
Sokadie 
8km 
Figure 1.2: LANDSAT image of the Oudalan-Gorouol Greenstone belt in Burkina Faso and the locations of the deposits 
4 || There  is  a  controversy  on  the  stratigraphic  position  of  the  Birimian  rocks, 
whether the  B1 is  younger  than the  B2  or  vice-versa  (Hirdes  et al. 1996). The Birimian  in  Burkina 
Faso was deposited within an active continental margin/ marginal marine setting in which the detritus 
was  derived  from  an  adjacent  volcanic  arc  (Hein  et  al.,  2004;  Roddaz  et  al.,  2007). 6",Burkina Faso,llm
