filename,page,mention,location,source
2010_Mohale_GIS interpretation of NE Burkina Faso.txt,17,"The  Birimian  Bouroum-Yalogo  greenstone  belt  is  a  Y-shaped  terrane  located  between  large 
Eburnean  granitoid  batholiths  200  km  northeast  of  Ouagadougou  (Ducellier  1963). It  consists  of:  (1) 
metagranites,  metagabbro-diorites  and  metaquartzite  of  the  Bamga  series  (Hottin  and  Ouedraogo  1976; 
Sawadogo 1983; Zonou, 1987) interpreted as early Birimian and dated at 2. 18 Ga (Boher et al. 1992); (2) 
overlying  mafic  lava  flows  and  pillow  lavas  (Zonou  et  al.,1985)  with  associated  pyroclastites, 
volcaniclastic rocks and immature sediments  mainly at lower levels and calc-alkaline andesite, dacite and 
lamprophyre  at  upper  levels,  all  affected  by  a  greenschist-facies  metamorphism;  and  (3)  basic  to 
intermediate plutons later emplaced. Markoye Shear zone 
In  the  NE  Burkina  Faso  the  Palaeoproterozoic  Birimian  Domain  of  the  West  African  Craton  is 
crosscut by the NE-trending Markoye Shear Zone (MSZ) which is a first crustal scale structure. The MSZ 
marks  the  western  boundary  of  the  Oudalan-Gorouol  Greenstone  Belt  which  extends  into  the  Niger 
17",200 km northeast of Ouagadougou,llm
2010_Mohale_GIS interpretation of NE Burkina Faso.txt,17,"Dori Shear Zone, north trending Kargouna Shear Zone, Takabougou Shear Zone and Bom Kodjelé Shear 
Zone (Tshibubudze et al., 2010). The  Goren  Greenstone  Belt  (GGB)  forms  part  of  the  largest  Boromo-Goren  Greenstone  Belt 
(BGGB) .The GGB segment of the BGGB trends SE across the Yatenga, Bam, and Sanmatenga districts 
(Hein et al., 2004). In the GGB there are two Birimian formations: the Lower and Upper Birimian which 
are described based on studies done by Attoh (1982) and Feybesse et al. (1990) and craton-scale studies 
by Milési et al. (1989), Abouchami et al. (1990), Hottin and Ouedraogo (1992)  and Boher et al (1992).",Bam district,llm
2010_Mohale_GIS interpretation of NE Burkina Faso.txt,18,"The  branch  consists  of  an  array  of  interconnected  sub-shears 
trending NE. The sub-shears crosscut and offset all the lithologies, F1 folds and D1 boudins at Tangapella 
area (Hein, 2010). Belahouro Shear Zone 
The Belahouro Shear Zone (BSZ) is a mineralised NNW trending shear zone. It is modelled as a 
back structure to the major NNE trending Markoye Shear Zone (Middleton et al., 1997)). The Belahouro 
Shear  Zone  is  mineralised and  is  considered  a  prospective  exploration  target. Basalt and  volcanoclastic 
within the NE portion of the region have a sheared contact and provide a lithological contrast (Middleton 
et al., 1997).",Belahouro Shear Zone,llm
2010_Mohale_GIS interpretation of NE Burkina Faso.txt,11,"1.2 Location and physiography 
The study area for the project is north east Burkina Faso. Burkina Faso is a landlocked country located in 
western  Africa,  north  of  Ghana  (Fig  1.1). It  shares  borders  with  six  countries  namely  Benin  in  the 
southeast, Ivory Coast in the south west, Togo and Ghana in the south, Mali in the north and Niger in the 
east. It  has  an  area  of  274.200  km2  and  an  annual  population  growth  of  2.7%.The  capital  city  is 
Ouagadougou. The official language is French and regional languages include Dioula and Mooré. 11",Benin,llm
2010_Mohale_GIS interpretation of NE Burkina Faso.txt,17,"The  Birimian  Bouroum-Yalogo  greenstone  belt  is  a  Y-shaped  terrane  located  between  large 
Eburnean  granitoid  batholiths  200  km  northeast  of  Ouagadougou  (Ducellier  1963). It  consists  of:  (1) 
metagranites,  metagabbro-diorites  and  metaquartzite  of  the  Bamga  series  (Hottin  and  Ouedraogo  1976; 
Sawadogo 1983; Zonou, 1987) interpreted as early Birimian and dated at 2. 18 Ga (Boher et al. 1992); (2) 
overlying  mafic  lava  flows  and  pillow  lavas  (Zonou  et  al.,1985)  with  associated  pyroclastites, 
volcaniclastic rocks and immature sediments  mainly at lower levels and calc-alkaline andesite, dacite and 
lamprophyre  at  upper  levels,  all  affected  by  a  greenschist-facies  metamorphism;  and  (3)  basic  to 
intermediate plutons later emplaced. Markoye Shear zone 
In  the  NE  Burkina  Faso  the  Palaeoproterozoic  Birimian  Domain  of  the  West  African  Craton  is 
crosscut by the NE-trending Markoye Shear Zone (MSZ) which is a first crustal scale structure. The MSZ 
marks  the  western  boundary  of  the  Oudalan-Gorouol  Greenstone  Belt  which  extends  into  the  Niger 
17",Birimian Bouroum-Yalogo greenstone belt,llm
2010_Mohale_GIS interpretation of NE Burkina Faso.txt,17,"Dori Shear Zone, north trending Kargouna Shear Zone, Takabougou Shear Zone and Bom Kodjelé Shear 
Zone (Tshibubudze et al., 2010). The  Goren  Greenstone  Belt  (GGB)  forms  part  of  the  largest  Boromo-Goren  Greenstone  Belt 
(BGGB) .The GGB segment of the BGGB trends SE across the Yatenga, Bam, and Sanmatenga districts 
(Hein et al., 2004). In the GGB there are two Birimian formations: the Lower and Upper Birimian which 
are described based on studies done by Attoh (1982) and Feybesse et al. (1990) and craton-scale studies 
by Milési et al. (1989), Abouchami et al. (1990), Hottin and Ouedraogo (1992)  and Boher et al (1992).",Bom Kodjele Shear Zone,llm
2010_Mohale_GIS interpretation of NE Burkina Faso.txt,"17,36,4","Dori Shear Zone, north trending Kargouna Shear Zone, Takabougou Shear Zone and Bom Kodjelé Shear 
Zone (Tshibubudze et al., 2010). The  Goren  Greenstone  Belt  (GGB)  forms  part  of  the  largest  Boromo-Goren  Greenstone  Belt 
(BGGB) .The GGB segment of the BGGB trends SE across the Yatenga, Bam, and Sanmatenga districts 
(Hein et al., 2004). In the GGB there are two Birimian formations: the Lower and Upper Birimian which 
are described based on studies done by Attoh (1982) and Feybesse et al. (1990) and craton-scale studies 
by Milési et al. (1989), Abouchami et al. (1990), Hottin and Ouedraogo (1992)  and Boher et al (1992). || Figure  4.3: The  Boromo–Goren  Greenstone  Belt  (BGGB)  of  Burkina  Faso,  together  with the  Bouroum 
and Yalogo greenstone belts Hein et al. (2004). 36 || Green show area of vegetation. Figure 4.1: Lineaments with E–W (ENE), N–S (NNW) and NE–SW trends. Figure 4.2: Distribution of greenstone belts, laterites and shear zones (Greenstone belts-green, laterites-
purple and shear zones in red). Figure  4.3. The  Boromo–Goren  Greenstone  Belt  (BGGB)  of  Burkina  Faso,  together  with  the  Bouroum 
and Yalogo greenstone belts Hein et al. (2004).",Boromo-Goren Greenstone Belt,llm
2010_Mohale_GIS interpretation of NE Burkina Faso.txt,"36,4,44","Figure  4.3: The  Boromo–Goren  Greenstone  Belt  (BGGB)  of  Burkina  Faso,  together  with the  Bouroum 
and Yalogo greenstone belts Hein et al. (2004). 36 || Green show area of vegetation. Figure 4.1: Lineaments with E–W (ENE), N–S (NNW) and NE–SW trends. Figure 4.2: Distribution of greenstone belts, laterites and shear zones (Greenstone belts-green, laterites-
purple and shear zones in red). Figure  4.3. The  Boromo–Goren  Greenstone  Belt  (BGGB)  of  Burkina  Faso,  together  with  the  Bouroum 
and Yalogo greenstone belts Hein et al. (2004). || zone cuts the Goren greenstone belt and the BSZ cuts the OGGB and this is in accordance with what has 
been documented in literature. Greenstone belts and laterite profiles 
Since no GIS work has been done on the greenstone belts, there is no confirmation of association of 
greenstone  belts  with  laterite  profiles  found  throughout  the  study  area. From  the  interpretation  it  was 
found  that  the  laterite  profiles  have  the  same  orientation  as  the  greenstone  belts  and  cover  most  of  the 
study  area  where  greenstone  belts  are  located. Studies  by  Hein,  (2008)  show  that  dykes  in  northern 
Burkina Faso have laterite skirts and from the interpretation done in this study most of the dolerite dykes 
interpreted  had  the  laterite  skirts. The  four  greenstone  belts  Goren,  Bouroum,  Oudalan-Gorouol,  and 
Yalogo  greenstone  belts  locations  were  defined. A  Goren  Greenstone  Belt  is  cut  by  a  series  of  NE 
trending joint sets and the SSZ.",Bouroum,llm
2010_Mohale_GIS interpretation of NE Burkina Faso.txt,19,"2.3.1  Assessment  of  land  degradation  in  the  save  catchment  of  Zimbabwe  by  Julia  Mambo  and  Emma 
Archer, 2007. Methodology 
The  methodology  involves  Buhera  Straddles  three  landsat  satellite  scenes  namely  169/74,169/73 
and  168/74.Two  sets  of  the  three  Landsat  TM  and  ETM  scenes  for  the  years  1992  and  2002  were 
georeferenced using image to image rectification with SPOT images projected in UTM, (Zone 365) and 
referenced onto the WGS 84 ellipsoid. An average of 12 ground control points per image were used; with 
a  residual  error  of  approximately  2.1  metres. The  three  scenes  were  mosaiced  and  an  image  enclosing 
Buhera  district  was  extracted,  upon  which  subsequent  image  processing  was  undertaken. Two  bands  3 
and 4 were used for change detection analysis. Summary of methodology is displayed in the following diagram 
Figure 2.3.1: Flow diagram showing assessment of severity of degradation in the Save catchment.",Buhera district,llm
2010_Mohale_GIS interpretation of NE Burkina Faso.txt,"11,12,16,36,4,40,5","1.2 Location and physiography 
The study area for the project is north east Burkina Faso. Burkina Faso is a landlocked country located in 
western  Africa,  north  of  Ghana  (Fig  1.1). It  shares  borders  with  six  countries  namely  Benin  in  the 
southeast, Ivory Coast in the south west, Togo and Ghana in the south, Mali in the north and Niger in the 
east. It  has  an  area  of  274.200  km2  and  an  annual  population  growth  of  2.7%.The  capital  city  is 
Ouagadougou. The official language is French and regional languages include Dioula and Mooré. 11 || 2.2 Structures 
In NE Burkina Faso there are four greenstone belts, of which three have been studied, namely, the 
Goren  and  Oudalan-Gorouol  greenstone belts (Fig. 2.1)  which have  been  studied  by  Hein  et  al. (2004) 
Hein  et  al. (2010)  and  Tshibubudze  et  al. (2009)  and  the  Yalogo  greenstone  belt  which  has  not  been 
studied to date. Figure 2.1: Greenstone belts of Burkina Faso after Béziat et al. || As such, remote sensing techniques have great 
utility  in  lithologic  discrimination,  outcrop  delineation  and  production  of  geological  maps  at  different 
scales (Qari et al 2008). This study focused on the identification of various lithological units using Landsat images with the aim of 
using  them  as  part  of  a  dataset for  mineral  (gold and  other  mineral commodities)  potential targeting  in 
Burkina  Faso,  mapping  of  geological  structures  and  also  land  use/cover  data  sets. This  was  completed 
using  six  Landsat  images,  radiometric  and  magnetic  data. The  images  will  be  georeferenced  using 
geographic  coordination  systems  or  projections. Based  on  the  spectral  capabilities  of  Landsat  7  image 
data, the RGB (Red, Green, and Blue) band combination was prepared for discrimination of geological 
features  (lithology,  structure  and  contacts). Although  the  spectral  capabilities  of  Landsat  data  do  not 
provide new information on lithology, they are useful for extracting geological features that might have 
not been defined by field studies and aerial photography or maps in the area. || CHAPTER 1: INTRODUCTION 
1.1 Preamble 
Most geological maps of Burkina Faso are outdated and due to high cost of aerial photography the maps 
have not been updated. There is massive investment in exploration in NE Burkina Faso and there are few 
geological maps that assist in targeting, with the latest being completed by Castaing in 2003. Therefore a 
GIS  interpretation  was  undertaken  to  create  a  strato-tectonic-magmatic  map  for  the  area. GIS 
interpretation has become the most important modern tool for geological interpretation and a fundamental 
approach in grassroots exploration for the delineation of resource potential. It involves the breaking up of 
complex  data  planes  into  simpler  and  more  interpretable  forms  related  to  geological  features. Remote 
sensing analysis from GIS is used to extract drainage and topographic patterns, curvilinear features and 
stands of lithologically related vegetation (Drury, 1987). || Figure  4.3: The  Boromo–Goren  Greenstone  Belt  (BGGB)  of  Burkina  Faso,  together  with the  Bouroum 
and Yalogo greenstone belts Hein et al. (2004). 36 || Figure 4.4: RGB 742 showing sand dunes in light green on the image. Figure 4.5: Outcrop locations in grey. Figure 4.6: Sharp lithological contacts (orange). Figure 4.7: A-RGB 432 false colour composite with areas of healthy and dense vegetation shown in red 
and  areas  of  less  vegetation  shown  in  light  right. Rivers  are  marked  in  blue  and  cities  (City  of 
Ouagadougou) in cyan blue (B) and drainage systems are shown in red indicating that there is vegetation 
along the river (B). Figure 4.8: Locality map of Burkina Faso showing cities, towns, villages and roads. || Figure 4.8: Locality map of Burkina Faso showing cities (dark blue), towns and villages (pink) and roads 
(brown) 
40 || Figure 5.1:  Interpretative geology map of the Markoye Shear Zone based on combined regional magnetic 
data  (RTP  and  RTP  1st  vertical  derivative),  Landsat  imagery,  with  Landsat  image  p194r050_741  as 
underlay (Tshibubudze et al., 2009). Figure 5.2: Strato-tectonic-magmatic map of Burkina Faso with distribution of structures and lithology. 5 || Green show area of vegetation. Figure 4.1: Lineaments with E–W (ENE), N–S (NNW) and NE–SW trends. Figure 4.2: Distribution of greenstone belts, laterites and shear zones (Greenstone belts-green, laterites-
purple and shear zones in red). Figure  4.3. The  Boromo–Goren  Greenstone  Belt  (BGGB)  of  Burkina  Faso,  together  with  the  Bouroum 
and Yalogo greenstone belts Hein et al. (2004). || LIST OF FIGURES 
Figure 1.1: Map of Burkina Faso showing study area. Figure 1.2: Geological map of Burkina Faso showing study area (Hottin & Ouedraogo, 1992). Figure 2.1: Greenstone belts of Burkina Faso after Béziat et al. (2008). Figure 2.3.1: Flow diagram showing assessment of severity of degradation in the Save catchment. Figure  2.3.2:  Updated  national  road  network  map  overlaid  on  mosaiced  SPOT  satellite  images  of  the 
Kingdom of Swaziland. || Land  use  can  be  divided  into  three  sections:  arable  land  (17.66%),  which  is  mainly  land  cultivated  for 
crops  that  are  replanted  after  each  harvest  (e.g. rice,  maize,  wheat),  permanent  land  (0.22%),  which  is 
cultivated land that cannot be replanted after harvest(e.g. coffee, rubber ) and other land (82.12%) which 
includes  pastures,  woodland,  forest,  built-on  areas,  barren  lands  and  roads. The  land  surface  is  mainly 
defined  by  alluvial  plains,  low  hills,  and  sand  dunes  of  the  Sahara  Desert. Landforms  in  Burkina  Faso 
include lakes, rivers, mountains and wetlands. In the north and east of the country vegetation consists of 
acacia  woodland  and  scrub,  expanding  into  semi-desert  in  the  dry  season  in  the  north.",Burkina Faso,llm
