filename,page,mention,location,source
2011_Peters_East Markoye_2011.txt,6,"2.2. Location and Physiography 
The study area is situated approximately 2 km east of the town of Markoye and is located 12 
km west of the international border of Niger and 38 km south of the border of Mali (Fig. 2). The town of Markoye is located at the divide between the Sahel and the Sahara; everything 
north of the town is considered to be the Sahara Desert. Thus, the field area is an arid and hot 
environment with much of the surface covered with sand and loose gravels making outcrop 
difficult to find in the low-lying areas. The areas of high relief however, are desert mountains 
that contain a large amount of rock which, unfortunately, was dominated by  loose boulders 
and very little in situ-outcrop.",12 km west of the international border of Niger,llm
2011_Peters_East Markoye_2011.txt,6,"2.2. Location and Physiography 
The study area is situated approximately 2 km east of the town of Markoye and is located 12 
km west of the international border of Niger and 38 km south of the border of Mali (Fig. 2). The town of Markoye is located at the divide between the Sahel and the Sahara; everything 
north of the town is considered to be the Sahara Desert. Thus, the field area is an arid and hot 
environment with much of the surface covered with sand and loose gravels making outcrop 
difficult to find in the low-lying areas. The areas of high relief however, are desert mountains 
that contain a large amount of rock which, unfortunately, was dominated by  loose boulders 
and very little in situ-outcrop.",2 km east of the town of Markoye,llm
2011_Peters_East Markoye_2011.txt,6,"2.2. Location and Physiography 
The study area is situated approximately 2 km east of the town of Markoye and is located 12 
km west of the international border of Niger and 38 km south of the border of Mali (Fig. 2). The town of Markoye is located at the divide between the Sahel and the Sahara; everything 
north of the town is considered to be the Sahara Desert. Thus, the field area is an arid and hot 
environment with much of the surface covered with sand and loose gravels making outcrop 
difficult to find in the low-lying areas. The areas of high relief however, are desert mountains 
that contain a large amount of rock which, unfortunately, was dominated by  loose boulders 
and very little in situ-outcrop.",38 km south of the border of Mali,llm
2011_Peters_East Markoye_2011.txt,54,"P.,  (2007). Geological and thermal conditions before the major Palaeoproterozoic goldmineralization 
event  at  Ashanti,  Ghana,  as  inferred  from  improved  thermal  modelling. Precambrian 
Research, 154, 71–87. Hein, K. A. A., (2003).","Ashanti, Ghana",llm
2011_Peters_East Markoye_2011.txt,54,"Relative timing of deformational, metamorphic and 
mineralisation events at the Mt. Todd (Yimuyn Manjerr) Mine, Pine Creek Inlier, 
Northern Territory, Australia. Ore Geology Reviews, 22, 143-175. Hein,  K. A. A.,  Morel,  V.,  Kagone,  O.,  Kiemde,  F.,  Mayes,  K.,  (2004).",Australia,llm
2011_Peters_East Markoye_2011.txt,10,"The  basin  demonstrates  a  full  range  of  sedimentary  facies. Carter  and 
Naish  (1998)  identified  that  equal  amounts  of  sedimentation  and  subsidence  are  necessary. Uplift  and  subsidence  were,  in  the  case  of  the  Wanganui  Basin,  controlled  by  eustatic 
changes which created an environment prone to rapid deposition. The Wanganui Basin sits in 
a  back-arc  setting  at  the  convergence  of  the  Pacific  Plate  with  the  Australian  Plate. It  is 
possible  that  its  formation  occurred  in  the  same  environment. Lithospheric  loading  and 
downwarping created by adjacent subduction is credited with basin formation.",Australian Plate,llm
2011_Peters_East Markoye_2011.txt,53,"Dott, R. H., (1964). Wacke, Graywacke and matrix-what approach to immature sandstone 
classification? Journal of Sedimentary Petrology, 34, 625-632. Feybesse,  J.-L.,  Milesi,  J.-P.,  Ouedraogo,  M.F.,  Prost,  A.,  (1990). La  ‘‘ceinture’’ 
Proterozoıque  inferieur  de  Boromo–Goren  (Burkina  Faso):  un  exemple  d’interference 
entre  deux  phases  transcurrentes  eburneenes.",Boromo-Goren,llm
2011_Peters_East Markoye_2011.txt,54,"Birimian 
lithological  succession  and  structural  evolution  in  the  Goren  Segment  of  the  Boromo-
Goren Greenstone Belt, Burkina Faso. Journal of African Earth Sciences, 39, 1–23. Hein,  K. A. A.,  (2010). Succession  of  structural  events  in  the  Goren  greenstone  belt 
(Burkina  Faso):  Implications  for  West  African  tectonics.",Boromo-Goren Greenstone Belt,llm
2011_Peters_East Markoye_2011.txt,28,"This type 
of  alteration  is  common  and  can  affect  mafic  to  felsic  rocks  during  crystallisation. An 
example  where  deuteric  alteration  affects  quartz  monzonites,  similar  in  composition  to  the 
dykes  of  the  field  area,  is  from  the  Boulder  Batholith  in  Montana,  USA. In  this  case,  the 
alteration is related to the formation of ore deposits hosted within the intrusion (Neuerburg, 
1958). 27",Boulder Batholith,llm
2011_Peters_East Markoye_2011.txt,56,"Introduction  to  mineralogy. Oxford  University  Press,  Oxford,  pg 
92, 442 pp. Neuerburg,  G. J.,  (1958). Deuteric  alteration  of  some  aplite-pegmatities  of  the  Boulder 
Batholith,  Montana,  and  its  possible  significance  to  ore  deposition. Economic  Geology, 
53, 287-299.","Boulder Batholith, Montana",llm
