filename,page,mention,location,source
2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt,6,"The  field  area,  which  is  approximately  30km2,  hosts  two  east-west  trending  ridges  that 
expose a portion of the KEMB  (Fig. 1.1b). The  UTM coordinates of the extent of the field 
area  are:    30  P  (Northern  Hemisphere)  0805000  E,  1600000  N;  0805000  E,  1594000  N; 
0810000 E, 1594000 N; 0810000 E, 1600000 N. This region of Burkina Faso is situated in 
the Sahel, just south of the Sahara Desert. Climatic conditions are arid, that is very hot and 
dry. Field  work  was  carried  out  in  January  which  is  the  coolest  time  of  the  year  although 
daily  temperatures  exceeded  30  ⁰C.","0805000 E, 1594000 N",llm
2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt,6,"The  field  area,  which  is  approximately  30km2,  hosts  two  east-west  trending  ridges  that 
expose a portion of the KEMB  (Fig. 1.1b). The  UTM coordinates of the extent of the field 
area  are:    30  P  (Northern  Hemisphere)  0805000  E,  1600000  N;  0805000  E,  1594000  N; 
0810000 E, 1594000 N; 0810000 E, 1600000 N. This region of Burkina Faso is situated in 
the Sahel, just south of the Sahara Desert. Climatic conditions are arid, that is very hot and 
dry. Field  work  was  carried  out  in  January  which  is  the  coolest  time  of  the  year  although 
daily  temperatures  exceeded  30  ⁰C.","0810000 E, 1594000 N",llm
2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt,6,"The  field  area,  which  is  approximately  30km2,  hosts  two  east-west  trending  ridges  that 
expose a portion of the KEMB  (Fig. 1.1b). The  UTM coordinates of the extent of the field 
area  are:    30  P  (Northern  Hemisphere)  0805000  E,  1600000  N;  0805000  E,  1594000  N; 
0810000 E, 1594000 N; 0810000 E, 1600000 N. This region of Burkina Faso is situated in 
the Sahel, just south of the Sahara Desert. Climatic conditions are arid, that is very hot and 
dry. Field  work  was  carried  out  in  January  which  is  the  coolest  time  of  the  year  although 
daily  temperatures  exceeded  30  ⁰C.","0810000 E, 1600000 N",llm
2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt,4,"The  Essakane  gold  mine  and  Tambão  manganese  deposit  are  situated  approximately 
20km ESE and 40km NNE of the field area, respectively, and similar styles of mineralisation 
may occur in the field area. 1.2 Location and physiography 
The KEMB is located in the northeast of Burkina Faso, approximately 275km to the northeast 
of Ouagadougou and east of the town of Gorom Gorom (Fig. 1.1a & 1.1b). 3",20km ESE of the field area,llm
2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt,4,"The  Essakane  gold  mine  and  Tambão  manganese  deposit  are  situated  approximately 
20km ESE and 40km NNE of the field area, respectively, and similar styles of mineralisation 
may occur in the field area. 1.2 Location and physiography 
The KEMB is located in the northeast of Burkina Faso, approximately 275km to the northeast 
of Ouagadougou and east of the town of Gorom Gorom (Fig. 1.1a & 1.1b). 3",275km to the northeast of Ouagadougou,llm
2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt,6,"The  field  area,  which  is  approximately  30km2,  hosts  two  east-west  trending  ridges  that 
expose a portion of the KEMB  (Fig. 1.1b). The  UTM coordinates of the extent of the field 
area  are:    30  P  (Northern  Hemisphere)  0805000  E,  1600000  N;  0805000  E,  1594000  N; 
0810000 E, 1594000 N; 0810000 E, 1600000 N. This region of Burkina Faso is situated in 
the Sahel, just south of the Sahara Desert. Climatic conditions are arid, that is very hot and 
dry. Field  work  was  carried  out  in  January  which  is  the  coolest  time  of  the  year  although 
daily  temperatures  exceeded  30  ⁰C.","30 P 0805000 E, 1600000 N",llm
2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt,4,"The  Essakane  gold  mine  and  Tambão  manganese  deposit  are  situated  approximately 
20km ESE and 40km NNE of the field area, respectively, and similar styles of mineralisation 
may occur in the field area. 1.2 Location and physiography 
The KEMB is located in the northeast of Burkina Faso, approximately 275km to the northeast 
of Ouagadougou and east of the town of Gorom Gorom (Fig. 1.1a & 1.1b). 3",40km NNE of the field area,llm
2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt,9,"Gold mineralisation, found at 
many locations, is hosted in shear zones as structural hosted lode-gold associated with NW-
SE structures (Nikiéma, 1992; Tshibubudze et al., 2009; Tshibubudze and Hein, submitted). Manganese  mineralisation  is  situated  NE  and  SW  of  the  KEMB  at  Tambăo  and  Billiata 
(Tshibubudze and Hein, submitted) and pegamatite veins are situated NE at Tambăo. 8",Billiata,llm
2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt,42,"The deltaic environment determined 
from the metaclastic succession allows for the interpretation of the underlying banded iron-
formation  and amphibolite. Although definitive evidence of a  conformable contact  between 
the iron-formation and the metaclastics was not observed, the increase in metamorphic grade 
and  facing  direction  suggests  that  these  sequences  occur  lower  in  the  stratigraphy. The 
occurrence of the banded ironstone formation is typical of shallow water environments of the 
Proterozoic (Leeder, 1999). This  would have occurred distal  to  a delta setting on a shelf or 
proximal to the delta during periods of reduced sedimentation. The fine-grained sediment of 
the amphibolite would have been deposited in the prodelta in the form of shales or mudstone. The  described  protoliths  of  quartzwacke,  shale  and  possible  pebble  quartz  arenite  fit  well 
with  the  sedimentary  rocks  of  the  Birimian  Supergroup  and  in  particular  the  Oudalan-
Gorouol  greenstone belt  described by  Pons  et  al., 1995; Debat  et  al., 2003;  Tshibubudze et 
al.,  2009;  Tshibubudze  and  Hein,  submitted.",Birimian Supergroup,llm
2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt,8,"2. Geology setting 
2.1 Regional geology and tectonics 
The West African Craton is composed of Palaeoproterozoic rocks of the Birimian Supergroup 
(Feybesse et  al.,  2006; Hein,  2010) and Tarkwa Group (Davis  et  al.,  1994)  as  well as  calc-
alkaline plutons which include tonalite-trondjhemite-granodiorite and diorite intrusions which 
intrude the Palaeoproterozoic stratigraphy (Pons et al., 1995; Naba et al., 2004 Hein, 2010). The Birimian Supergroup is dominated by metamorphosed sedimentary, volcano-sedimentary 
and  volcanic  sequences. The  meta-volcanic  sequences  in  the  Goren  greenstone  belt  and 
Boromo greenstone belt are at dated at 2238 ± 5 Ma and 2171 ± 7 Ma respectively (Castaing 
et  al.,  2003)  based  on  Pb-Pb  zircon  dating  from  rhyolites  within  the  belts. The 
metasedimentary  rocks  of  the  Birimian  Supergroup  comprise  mainly  metamorphosed 
volcaniclastics,  greywacke,  siltstone,  shale,  chemical  sediments  and  chert. The  younger 
Tarkwa  Group,  dated  at  2194–2132  Ma  from  U-Pb  detrital  zircons  (Davis  et  al.,  1994), 
comprises  clastic  sedimentary  rocks  derived  from  erosion  of  the  Birimian  Supergroup  of 
which it overlies unconformably (Hirdes et al., 1992 and Davis et al., 1994).",Boromo greenstone belt,llm
