filename,page,mention,location,source
2013_FUNYUFUNYU.txt,15,"The  tuyere  is  clearly  visible. A  goat  skin  bellows  would  have  been 
placed over the bellows hole to pump air into the tuyere. This particular working forge is on exhibition at the 
Museum of Kaya and is presented with the permission of the Museum. The Dem region is situated 17 km north-northwest of the town of Kaya in Burkina Faso (Figure 
1.2). Burkina  Faso’s  rural  economy  is  dependent  on  agriculture,  and  seasonal  artisanal  small  and 
medium-scale  mining  (ASM)  for  livelihoods. According  to  the  National  Museum  of  Burkina  Faso 
there have been no studies of ASM for iron in Burkina Faso, and there are no records of iron mining 
and processing for the Dem region.",17 km north-northwest of the town of Kaya,llm
2013_FUNYUFUNYU.txt,"16,8","Figure 1.2: Location of the study area in Burkina Faso, northeast of the capital city of Ouagadougou 
and 17 km northwest of the regional centre of Kaya. The study area is located near the village 
of Dem and west of the Lac (Lake) Dem in the Goren greenstone belt. Figure  1.3:  Photographs  of  the  elders  of  the  village  of  Liligomde  who  provided  the  ethnographic 
background to this study (a, b, e). Their information indicated that no artisanal mining for iron 
had taken place at Dem in their lifetimes. The senior elders ranged in age from 75-104 and they 
were  the  senior  blacksmiths  of  the  Chief  Naba  of  the  Mossi  people. Consequently,  it  can  be 
reasonably  assumed  that  the  Dem  site  is  older  than  80  years. || tradition of significant elders of the Mossi people. The Dem site is thus an archaeological curiosity 
and may provide a link with the historic mining history of the people of West Africa. Figure 1.2: Location of the study area in Burkina Faso, northeast of the capital city of Ouagadougou and 17 km 
northwest of the regional centre of Kaya. The study area is located near the village of Dem and west of the Lac 
(Lake) Dem in the Goren greenstone belt. 16",17 km northwest of Kaya,llm
2013_FUNYUFUNYU.txt,15,"Consultations with senior elders in the village of Liligomde near 
Kaya (Figure 1.3), who were the chief blacksmiths of the Chief Naba of the Mossi people (the Chief 
Naba’s  residence  is  in  the  village  of  Boussouma,  19  km  southeast  of  Kaya),  clearly  argued  that 
mining of iron in the Dem region, or for any metal commodity, or any artisanal mining in the Dem 
region, had not occurred in the last 80 years, i.e., mining in the Dem region is not recorded in oral 
15",19 km southeast of Kaya,llm
2013_FUNYUFUNYU.txt,48,"In summary, the above evidence clearly shows that mining in the study area was important. It 
must also have been economically  viable because a considerable amount of human capital and skill 
was expended at the site. Ore dressing and processing extended over a considerable area of the study 
site. 4.5. The greater mining footprint 
The  Dem  ASM  site  is  located  2km  west  of  the  Dem  village,  which  is  situated  at  latitude 
13°11'17.528"" and longitude 1°10'43.199""W. According to Haaland et al.",2km west of the Dem village,llm
2013_FUNYUFUNYU.txt,64,"Interestingly,  although  quite  limited  in  number,  the  ages  correspond  broadly  with  the  rapid 
expansion  of  iron  technology  from  1400-1600  AD  in  West  Africa  (Todd,  1979). They  correspond 
with the rise of the Songhai Empire in the 15th century, and slavery in the 17-18th centuries and/or the 
first European exploration into West Africa. Thus the radiocarbon ages may represent historical ages 
of iron working in West Africa; a fuller investigation of the Dem site is thus needed. Certainly, there is currently little evidence of iron smelting for the period 1430 to 1480 AD for 
in  the  northeast  Burkina  Faso. However,  Insol  (2000)  indicated  that  iron  technology  in  the  period 
1400-1600 AD was one of a series of fundamental social assets that assisted the growth of significant 
centralized kingdoms, particularly the Songhay Empire (under the rule of Sonni Ali) which was seated 
in  Djenne  or Timbuktu  or  Gao. These  towns  are  respectively  situated  360  km  west,  450  km  north-
northwest and 370 km northeast of Dem across the international border of present day Burkina Faso 
and Mali.",360 km west of Dem,llm
2013_FUNYUFUNYU.txt,64,"Interestingly,  although  quite  limited  in  number,  the  ages  correspond  broadly  with  the  rapid 
expansion  of  iron  technology  from  1400-1600  AD  in  West  Africa  (Todd,  1979). They  correspond 
with the rise of the Songhai Empire in the 15th century, and slavery in the 17-18th centuries and/or the 
first European exploration into West Africa. Thus the radiocarbon ages may represent historical ages 
of iron working in West Africa; a fuller investigation of the Dem site is thus needed. Certainly, there is currently little evidence of iron smelting for the period 1430 to 1480 AD for 
in  the  northeast  Burkina  Faso. However,  Insol  (2000)  indicated  that  iron  technology  in  the  period 
1400-1600 AD was one of a series of fundamental social assets that assisted the growth of significant 
centralized kingdoms, particularly the Songhay Empire (under the rule of Sonni Ali) which was seated 
in  Djenne  or Timbuktu  or  Gao. These  towns  are  respectively  situated  360  km  west,  450  km  north-
northwest and 370 km northeast of Dem across the international border of present day Burkina Faso 
and Mali.",370 km northeast of Dem,llm
2013_FUNYUFUNYU.txt,64,"Interestingly,  although  quite  limited  in  number,  the  ages  correspond  broadly  with  the  rapid 
expansion  of  iron  technology  from  1400-1600  AD  in  West  Africa  (Todd,  1979). They  correspond 
with the rise of the Songhai Empire in the 15th century, and slavery in the 17-18th centuries and/or the 
first European exploration into West Africa. Thus the radiocarbon ages may represent historical ages 
of iron working in West Africa; a fuller investigation of the Dem site is thus needed. Certainly, there is currently little evidence of iron smelting for the period 1430 to 1480 AD for 
in  the  northeast  Burkina  Faso. However,  Insol  (2000)  indicated  that  iron  technology  in  the  period 
1400-1600 AD was one of a series of fundamental social assets that assisted the growth of significant 
centralized kingdoms, particularly the Songhay Empire (under the rule of Sonni Ali) which was seated 
in  Djenne  or Timbuktu  or  Gao. These  towns  are  respectively  situated  360  km  west,  450  km  north-
northwest and 370 km northeast of Dem across the international border of present day Burkina Faso 
and Mali.",450 km north-northwest of Dem,llm
2013_FUNYUFUNYU.txt,43,"Underground  mine  2  (UG2)  is  situated  67m  SSE  of  UG1  at  latitude  13°  10'  55.107""  N, 
longitude  1°  11'  28.759""  W. These  two  underground  mines  are  characterised  by  quartz  vein-hosted 
iron ore with magnetite and hematite hosted in shale and siltstone units. 43",67m SSE of UG1,llm
2013_FUNYUFUNYU.txt,43,"the pit following the iron-rich vein-type ore. A third site (OC3) is situated approximately 650 metres 
south-southeast of these two opencast. OC1 is situated at UTM 695780.98 mE, 1458597.50 mN, OC2 
at UTM 695778.71, 1458705.0 mN, and OC3 at 696020.66 mE, 1457969.2 mN. Iron ore supply that 
came from these sites comprised mostly laterite ore that was at or near surface. The open cast mines 
are shown in Figure 4.3 as pit 1 and pit 2. Underground Mine 1 (UG1) is located between OC 1 and 
OC 2.","696020.66 mE, 1457969.2 mN",llm
2013_FUNYUFUNYU.txt,13,"ABSTRACT 
Artisanal and small-scale mining (ASM) has been a crucial industry in Africa for centuries. In 
Burkina  Faso  approximately  95  kms  northeast  of  the  capital  city  Ouagadougou  near  the  village  of 
Dem  and  on  a  ferricrete  capped  ridge  to  the  west  of  the  village,  it  is  possible  to  find  a  number  of 
opencast workings and underground mines that show evidence of extensive artisanal mining for iron. Iron mining worked quartz-vein hosted and lateritic ore. Nearby, waste piles, processing sites and at 
least  eleven  (11)  Bloomery  furnaces  are  exposed  on  the  alluvial  plain. Petrographically  the  ore 
bearing  rocks  consist  of  goethite-hematite  as  the  dominant  oxides  with  silica. Geological  and 
ethnographic  studies  conducted  in  2011  focussed  on  detailing  and  mapping  the  mine  site  and  host 
rocks  (including  ore  rocks),  and  establishing  the  age  of  mining,  processing  and  forging  of  ore.","95 kms northeast of Ouagadougou, Burkina Faso",llm
2013_FUNYUFUNYU.txt,48,"During the process of smelting, slag floats on the surface of the molten product due to the low 
density  of  slag. The  characteristics  of  slag  such  as  the  volume,  density,  porosity  and  grain  size  is 
influenced  by  the  cooling  rate,  temperature  and  the  chemical  composition  of  the  iron  ore,  flux, 
charcoal and clay. Higher temperatures decrease the viscosity of the melt. Different  types  of  slag  (Figure  4.7)  were  dumped  at  different  locations  in  the  Dem  area  and 
included (1) a dense black-grey flowing type that resulted from a slow cooling rate, (2) a black glassy 
type resembling an obsidian formed as result of a rapid cooling rate in the presence of water, (3) a 
spinifex-like texture due to quenching at high temperature, and (4) a clay containing pumice-like slag 
with vugs that formed due to the release of gas bubbles in the melt. Due to high silica content of the slag, it is resistant to weathering, thus large amounts of slag 
fragments  were  found  at  the  ASM  site. Slag  waste  around  Furnace  5  was  significant  and  extended 
away from the furnaces up to 25-40 metres; it may have produced more slag and was bigger than all 
the other furnaces.",ASM site,llm
2013_FUNYUFUNYU.txt,68,"The ore might have been man-hauled to 
the surface in bags or sacks particularly because there is no evidence at the Dem site of mechanical 
aids for hoisting and hauling ore. It is possible that the open cast operations were mined by women, 
children  and  aged  persons,  as  can  be  witnessed  at  ASM  sites  throughout  Burkina  Faso  and  West 
Africa, with the underground operations being the domain of men. Different  types  of  slag  were  dumped  proximal  to  the  furnace  sites  and  included  (1)  a  dense 
black-grey flowing type that resulted from a slow cooling rate, (2) a black glassy type resembling an 
obsidian formed as result of a rapid cooling rate in the presence of water, (3) a spinifex-like texture 
due  to  quenching  at  high  temperature,  and  (4)  a  clay  containing  pumice-like  slag  with  vugs  that 
formed due to the release of gas bubbles in the melt. A considerable amount of clean crushed quartz and outcrops of quartz veins occurs both in the 
mine  sites  themselves,  but  also  regionally,  which  may  have  been  used  as  a  flux  in  the  smelting 
process. A  ready  source  of  clean  carbonate  does  not  exist  although  many  of  the  siltstones  are 
carbonaceous in composition and may have acted as a flux during smelting. At Dem, an immediate source of charcoal could have been from the valleys to the east of the 
ASM site which today hosts dams for irrigation and extensive market gardens.",ASM sites throughout Burkina Faso and West Africa,llm
2013_FUNYUFUNYU.txt,"70,72","Cameroon,  Y.,  2002. Identifying  best  practices  and  building  the  sustainable  livelihoods  of 
communities:  Seminar  on  Artisanal  and  Small-scale  mining  in  Africa,  Wardell  Armstrong 
Consulting Group, UK 13p. Castaing, C., Billa, M., Milési, J.P., Thiéblemont, D., Le Mentour, J., Egal, E., Donzeau, M. (BRGM) 
(coordonnateurs)  et  Guerrot,  C.,  Cocherie,  A.,  Chevremont,  P.,  Tegyey,  M.,  Itard,  Y. (BRGM),  Zida,  B.,  Ouedraogo,  I.,  Kote,  S., Kabore, B.E.,  Ouedraogo,  C. (BUMIGEB),  Ki, 
J.C.,  Zunino  (ANTEA),  2003. || RECOMMENDATIONS 
The Dem ASM site should be protected and conserved as a historic and cultural monument by 
the  relevant  authorities  in  Burkina  Faso  at  state  and  provincial  levels. The  protection  will  prevent 
degradation and destruction of the heritage and consequently will preserve the values and history of 
the  area  for  present  and  future  generations  of  Africa. The  Dem  region  is  important  to  a  fuller 
understanding of the history and society of the Songhai Empire  – it thus adds to the archaeological 
history of the African peoples. There may be a case to motivate for World Heritage Status but further 
research in the region is necessary. 70",Africa,llm
2013_FUNYUFUNYU.txt,18,"Metallic  iron  was  used for  decorative  purposes  and  weapons in  prehistoric 
times  (Bahn  et  al.,  1994). The  most  primitive  sample  is  a  cluster  of  oxidized  iron  beads  found  in 
Egypt that date from 4000 BC. Historically, there was virtually no use of metals in sub-Saharan Africa before 500 BC, when 
both iron and copper came into use in the savannah and forest regions of West Africa (Smith et al., 
1993). Large amounts of iron were smelted in the Nile Valley. Iron reached eastern Africa by 200 BC, 
and by 200 AD had been carried to the south by ancestors of the modern Bantu peoples, together with 
farming. However, the age of iron in the Dem region is not known and establishing its age may be 
important to the mining history and heritage of the African continent.",African continent,llm
2013_FUNYUFUNYU.txt,77,"The chemistry and origin of zincain spinel associated with the Aggeneys Cu-Pb-Zn-
Ag deposits, Namaqualand, South Africa. Mineralium Deposita, 22, 262-268. Stewart, L.J., 2007. Quench textures, lithification, and modes of crystallization in a cooled slag block 
from  a  smelter  at  Northport,  northeastern  Washington  State. 2007  GSA  Denver  Annual 
Meeting (28–31 October 2007), Paper No. 143-48  
Stuiver, M., Polach, H.A., 1977.",Aggeneys,llm
2013_FUNYUFUNYU.txt,72,"Brunner-Robion, C., Perret, S., Serneels, V., Dembelé, A., Huysecom, E., 2003. A thousand years of 
iron  metallurgy  on  the  Dogon  plateau  (Mali). Department  of  Anthropology,  University  of 
Geneva,  Switzerland;  Department  of  Geosciences,  University  Fribourg,  Switzerland;  Mission 
Culturelle de Bandiagara, Mali 8p. Burke, A., Cloete, J., 2004. Restoring tire tracks: lessons from the southern Namib Desert. Ecological 
Restoration 22, 269-274.","Bandiagara, Mali",llm
2013_FUNYUFUNYU.txt,77,"Peters, L.F.H., Hein, K.A.A., 2013. Volcanic facies and preliminary geochemical observations of the 
Goren greenstone belt, Burkina Faso. EGU General Assembly 2013, 7-12 April 2013 Vienna, 
Austria. Phillipson, D.W., 1975. The chronology of the Iron Age in Bantu Africa; Journal of African history 
16, 321-42. Pleiner, R., 2000.",Bantu Africa,llm
