filename,page,mention,location,source
2013_Peters.txt,19,"Kongossi 
is 60 km from Kaya and lies at the northeastern end of the belt. The belt is composed of two 100 km 
parallel  branches  that  are  characterized  by  topographic  highs;  the  branches  are  separated  by  a 
relatively flat lying region up to 20 km wide. An extensive ferricrete profile covers the GB as is typical for the West African craton in general 
(Brown  et  al.,  1994;  Beauvais  et  al.,  2008). The  ferricrete  formed  during  the  Cretaceous  Period  but 
was remobilised during the Palaeogene-Neogene in discrete erosion events, with 40Ar/39Ar dates of 59-
45 Ma, 29-18 Ma, 18-11 Ma, 6 Ma and 3 Ma (Brown et al., 1994; Beauvais et al., 2008). The last three 
erosional  periods  were  responsible  for  the  formation  of  distinct  three-level  pediment  surfaces  seen 
throughout the GB (WAXI, 2013). 1.3.",60 km from Kaya,llm
2013_Peters.txt,"10,50","(d)  Photomicrograph  of  pyrite  and  chalcopyrite  in  a  vein  that 
crosscuts  basalt  (Sample  G12-02-096;  UTM  30P  694686;  1443104;  Reflected-light). The 
texture indicates that sulphide mineralisation is synchronous to, or postdates emplacement of the 
basalt sequence. Figure  5.4. (a)  Photomicrographs  of  a  coarse-grained,  poorly  sorted,  chlorite-rich  volcanogenic 
greywacke. The  sample  is  composed  of  quartz,  plagioclase  (>  2mm),  lithic  chert  clasts,  and 
biotite  (Sample  G12-007;  696828;  1443986). (b,  c)  Photomicrographs  of  pyroclastic  breccia 
containing  euhedral,  coarse-grained  (>  1mm)  plagioclase,  chert,  quartz  and  fine-grained  (< 
0.5mm)  epidote  replacing  clinopyroxene  and  hornblende. || Figure 5.4. (a) Photomicrographs of a coarse-grained, poorly sorted, chlorite-rich volcanogenic greywacke. The sample is 
composed  of  quartz,  plagioclase  (>  2mm),  lithic  chert  clasts,  and  biotite  (Sample  G12-007;  696828;  1443986). (b,  c) 
Photomicrographs of pyroclastic breccia containing euhedral, coarse-grained (> 1mm) plagioclase, chert, quartz and fine-
grained (< 0.5mm) epidote replacing clinopyroxene and hornblende. The matrix is interpreted to be composed of ash-lapilli 
sized fragments that are altered to epidote and chlorite (Sample G12-02-126; UTM 30P 709365; 1424791, cross polarized 
light). (d) Photomicrograph of pyroclastic breccia that is composed of euhedral, coarse-grained (> 1 mm), zoned, volcanic 
hornblende, with well-defined cleavage, and l> 2 mm sub-rounded chert clasts and sub-angular quartz grains (Sample G12-
02-126; UTM 30P 709365; 1424791, plane polarized light).",696828; 1443986,llm
2013_Peters.txt,19,"Two seasons are predominant in Burkina Faso, namely 
the wet and dry seasons. The dry season occurs from October to May, which is followed by the wet 
season from June until September (Bierschenk, 1968; McFarland et al., 1998). Geographically,  the  capital  city  of  Ouagadougou  is  situated  at  the  centre  of  the  country. The 
Goren  volcano-sedimentary  belt  is  located  in  the  Sanmatenga  district. The  belt  is  elongate  and 
northwest-trending and extends from the towns of Kaya to Kongossi (Figure 1.1). The town of Kaya is 
approximately 90 km northeast of Ouagadougou and lies at the southeastern end of the belt.",90 km northeast of Ouagadougou,llm
2013_Peters.txt,76,"A  correlation  between  increased  Ba  and  base  metals  also  suggests  seafloor  hydrothermal 
activity in a proximal setting to a volcanic source (c.f., Burnham, 1962; Lydon, 1988; Ҫaǧatay 1993; 
Herrington  et  al.,  2005). For  the  most  part,  higher  Ba  values  in  the  GB  correlate  with  higher 
concentrations  of  Mn,  implying  that  the  manganese  deposits  formed  in  oxidising  conditions 
proximally. The manganese mineralization of the GB is similar to primary manganese mineralization seen 
throughout  the  WAC  that  is  interpreted  as  volcanogenic  in  character. For  example,  the  VHMS 
mineralization in the Tiebélé belt is intercalated with chert and manganese units (Sections 1.1 and 2.4) 
in  carbonaceous  manganese  rocks  (Ilboudo,  2010)  and  is  characterized  by  sphalerite-galena-
chalcopyrite-pyrite-bornite  assemblages 
that  are  volcanogenic. Additionally, 
the  manganese-
carbonates  of  the  Nsuta  deposit  in  the  Ashanti  Belt  in  Ghana  are  hosted  by  a  volcano-sedimentary 
sequence  in  basalt-andesite  units  (Nyame,  2008),  and  indicate  a  volcanic  setting. Furthermore  the 
Tambão  (supergene)  deposit  in  Burkina  Faso  (Figure  1.1)  is  sited  above  primary  manganese-rich 
carbonate  that  is  hosted  in  volcanic  units  (Colin  et  al.,  2005).",Ashanti Belt,llm
2013_Peters.txt,83,"including  Finland,  Australia,  Mid-West  United  States  and  Canada  (Stern  et  al.,  1995;  Hill  and 
Bickford, 2001; Väisänen and Westerlund, 2007; Li et al., 2013). The volcanic facies are similar due 
to  analogous  depositional  environments,  many  of  which  are  mineralised  in  volcanogenic  massive 
sulphides. 83",Australia,llm
2013_Peters.txt,23,"older  than  the  calc-alkaline  series  of  lavas  for  the  Boromo,  Houndé  and  Banfora  belts. However, 
craton-wide studies by WAXI (2013) indicated that the stratigraphic order of volcanic rocks cannot be 
generalised  (some  belts  do  not  host  tholeiitic  and/or  calc-alkaline  volcanic  rocks)  and  thus  the 
stratigraphy of each greenstone belt must be established independently. 2.2. Granitoid and dolerite emplacement 
The emplacement of tonalite-trondjemite-granodiorite (TTG) plutons and granites in the WAC 
is restricted to 2200, 2160-2130 and 2100-2070 Ma according to Pawlig et al. (2006) and Gueye et al. (2008).",Banfora,llm
2013_Peters.txt,22,"Baratoux  et  al. (2011)  argued  that  the 
sedimentary  basins  in  western  Burkina  Faso  exhibited  complicated  strato-structural  relationships, 
making it difficult to establish local stratigraphy. However, recent studies by WAXI (2013) concluded 
that the stratigraphy of the WAC is dependent on the spatial and temporal distribution of belts relative 
to accretionary terranes. Importantly, a detailed stratigraphic study was conducted by Baratoux et al. (2011) across three 
greenstone  belts  in  western  Burkina  Faso  (namely  the  Boromo,  Houndé  and  Banfora  belts)  (Figure 
1.1). Their  study  confirmed  that  the  belts  are  composed  of  calc-alkaline  andesite  and  dacite, 
intercalated  tuff  layers,  pyroclastic  flows,  Mn-Fe    rich  chert  layers  and  volcaniclastic  sedimentary 
rocks  that  overlie  basal  units  of  tholeiitic basalt.",Banfora belt,llm
2013_Peters.txt,27,"Three field seasons were planned for between January 2012 and December 2013; however, only 
two  were  completed. The field  area  was  officially  declared  unsafe  in January  2013  because  of civil 
war in the neighbouring country of Mali, and access to the GB was restricted to foreigners. Due to the 
restricted access, a comparative study was undertaken using geochemical data by Ilboudo (2010) for 
the Tiebélé Dome in southern Burkina Faso, and Baratoux et al. (2011) for the Boromo, Houndé and 
Banfora belts, in order to investigate similarities and differences with the samples from the GB. The January 2012 field season was a reconnaissance season intended to gain insight into the size 
of  the  field  area  and  ideal  locations  for  sampling. Limited  sampling  and  mapping  was  completed 
during  this  time.",Banfora belts,llm
2013_Peters.txt,"16,22","1. INTRODUCTION 
1.1. Preamble 
Volcano-sedimentary  belts  make  up  a  large  part  of  the  stratigraphy  of  the  Palaeoproterozoic 
Baoulé-Mossi domain (West Africa) in northeast Burkina Faso (Figure 1.1). The belts are composed 
of  dominantly  lower  to  middle  greenschist  metamorphosed  volcanic,  pyroclastic  and  sedimentary 
rocks  with  extensive  units  of  basalt-andesite,  dacite  and  less  substantial  amounts  of  pyroclastite 
(Milési et al., 1989, 1991; Leube et al., 1990; Ledru et al., 1991). Carbonaceous and Mn-Fe bearing 
chemical sedimentary units are intercalated with the volcanic rocks (Blanchot et al., 1972; Béssoles, 
1977; Wright, 1985; Leube et al., 1990; Melcher, 1995; Kříbek et al., 2008). The volcanic sequences of the Baoulé-Mossi domain were first described in the Birim Valley in 
Ghana  (Kitson,  1918)  and  were  classified  as  tholeiitic  basalts  and  calc-alkaline  lavas. || 2. REVIEW OF WEST AFRICAN GEOLOGY 
2.1. Stratigraphy 
The West African Craton (WAC) is made up of Archaean and Palaeoproterozoic rocks and is 
divided  into  the  Reguibat  Rise  in  the  north  and  the  Leo-Man  Rise  in  the  south  (Thiéblemont  et  al., 
2004)  (Figure  1.1). The  Leo-Man  consists  of  two  domains,  namely  the  Archaean  Kénema-Man 
domain  (3.54  Ga)  in  the  southwest  and the  Palaeoproterozoic  Baoulé-Mossi  domain  (2.3-1.8  Ga)  in 
the  east  (Feybesse  et  al.,  2006),  with  the  exception  of  the  Kénieba-  Kédougou  and  Kayes  Inliers, 
located  between  Mali  and  Senegal  (Figure  1.1). The  Birimian  Supergroup  makes  up  part  of  the 
Baoulé-Mossi  domain  and  was  deposited  ca. 2.3  Ga  (Feybesse  et  al.,  2006;  Pawlig  et  al.,  2006).",Baoule-Mossi domain,llm
2013_Peters.txt,74,"Although  considered  rare  in  mafic,  non-viscous  lavas,  flow 
banding has been recorded in the Archaean Barberton greenstone belt of South Africa (Robbins et al., 
2010) and occurs in the southern Bouroum belt in Burkina Faso (WAXI, 2013) (Figure 1.1). The  coherent  and  autoclastic  units  of  the  study  area  formed  as  a  result  of  effusive  eruptions. Effusive eruptions are typical of basaltic liquids, particularly when submerged beneath the confining 
water column. Effusive eruptions are characterized by the ability of lava to flow (low viscosity) rather 
than explode (Parfitt and Wilson, 2008) because volatiles escape passively through vesicle formation 
(McPhie et al., 1993; Bardintzeff and McBirney, 2000; Parfitt and Wilson, 2008). The  coherent  and  autoclastic  facies  are  interpreted  to  have  formed  proximally  to  the  volcanic 
source. However, because basaltic lavas have low viscosities, they are able to flow laterally between 
tens and hundreds of metres before solidification.",Barberton greenstone belt of South Africa,llm
