filename,page,mention,location,source
2013_Ramabulana_Sadiola Hill petrology.txt,7,"The main focus of this project has therefore been to derive an ore genesis model for the Sadiola Hill 
gold deposit by contrasting the intrusion related style hypothesis proposed for the deposit by Theron 
(1997) with the shear-hosted style hypothesis proposed by Hanssen et al. (1998) using petrographic 
analysis. The features which will characterise the Sadiola Hill gold deposit (i.e. indicator minerals, 
alteration assemblage and mineral textures) will be used to contrast the two models and to establish a 
likely model for the deposit. 1.2 Location and Physiography 
The Sadiola Hill gold mine is situated in the Sadiola goldfield, in western Mali at about 77km south of 
the regional capital, Kayes, near the international border of Mali with Senegal (Fig.1). Mali is a 
landlocked country bordered by Niger to the east, Burkina Faso to the east, Algeria to the north, and 
Senegal and Mauritania to the west in the West African Savannah-Sahel region 
(Geographia.com/Mali).",77km south of Kayes,llm
2013_Ramabulana_Sadiola Hill petrology.txt,12,"The Kofi Supergroup is obliquely cut by the N-S to NNW trending Senegalo-Malian Shear Zone, 
whereas the Sadiola deposit occurs along the NNE striking Sadiola Fracture Zone (SFZ) (Robins, 
2006). The SFZ follows the steeply westerly dipping contact between greywacke to the west and 
impure carbonates to the east and its wallrock are intruded by discontinuous diorite and quartz-
feldspar-porphyry dykes (Hanssen et al., 1998; Robins, 2006). The Sadiola Hill deposit is also located at the margin of the inner and intermediate contact 
metamorphic aureole of the Alamoutala-Sekekoto plutonic system identified by (Hein and 
Tshibubudze, 2007b). Dating of the Alamoutala-Sekekoto granodiorite gave an age of 2083 ± 7 Ma 
and is taken as the age of gold mineralisation in the Sadiola goldfield (U-Pb zircon) (WAXI, 2013). Based on geophysical data, the plutonic system is interpreted to be situated directly below the Sadiola 
goldfield and is represented by projections of tonalite dykes in pits from the upper surface of the 
pluton, and it crops out at Alamoutala (Hein and Tshibubudze, 2007b). Alteration assemblages identified include calc-silicate, potassic, chlorite–calcite, carbonate and 
silicification with gold mainly associated with both arsenic and antimony dominated sulphide 
assemblages including arsenopyrite, pyrrhotite, pyrite, stibnite and gudmuntite (Hanssen et al., 1998; 
Hein and Tshibubudze, 2007b).",Alamoutala,llm
2013_Ramabulana_Sadiola Hill petrology.txt,12,"The Kofi Supergroup is obliquely cut by the N-S to NNW trending Senegalo-Malian Shear Zone, 
whereas the Sadiola deposit occurs along the NNE striking Sadiola Fracture Zone (SFZ) (Robins, 
2006). The SFZ follows the steeply westerly dipping contact between greywacke to the west and 
impure carbonates to the east and its wallrock are intruded by discontinuous diorite and quartz-
feldspar-porphyry dykes (Hanssen et al., 1998; Robins, 2006). The Sadiola Hill deposit is also located at the margin of the inner and intermediate contact 
metamorphic aureole of the Alamoutala-Sekekoto plutonic system identified by (Hein and 
Tshibubudze, 2007b). Dating of the Alamoutala-Sekekoto granodiorite gave an age of 2083 ± 7 Ma 
and is taken as the age of gold mineralisation in the Sadiola goldfield (U-Pb zircon) (WAXI, 2013). Based on geophysical data, the plutonic system is interpreted to be situated directly below the Sadiola 
goldfield and is represented by projections of tonalite dykes in pits from the upper surface of the 
pluton, and it crops out at Alamoutala (Hein and Tshibubudze, 2007b). Alteration assemblages identified include calc-silicate, potassic, chlorite–calcite, carbonate and 
silicification with gold mainly associated with both arsenic and antimony dominated sulphide 
assemblages including arsenopyrite, pyrrhotite, pyrite, stibnite and gudmuntite (Hanssen et al., 1998; 
Hein and Tshibubudze, 2007b).",Alamoutala-Sekekoto plutonic system,llm
2013_Ramabulana_Sadiola Hill petrology.txt,"37,6","1996; Castaing et al., 2003a, b; Naba et al., 2004). The Sekokoto pluton is part of the Alamoutala-
Sekokoto-Kakadian plutonic system first described by Hein (2007a). Contact metamorphism was responsible for alteration in the host rocks; gold-sulphide mineralisation 
occurs in this alteration zone. Mineralisation consists of a polymetallic sulphide assemblage and 
tourmaline which are basic indicators of an intrusion-related style deposit. Plutonism was concomitant 
with hornblende-hornfels facies contact metamorphism of the meta-sedimentary rocks and gold 
mineralization throughout the Sadiola goldfield (Hein and Tshibubudze, 2007a). From the 
observations and interpretation made above, it is clear that mineralisation in the Sadiola Hill deposit is 
not shear-hosted as suggested by Hanssen et al. || Chapter 1: Introduction 
The Sadiola Hill gold mine is located within the Sadiola goldfield in the Kedougou-Kenieba inlier 
(KKI), which is part of the West African Craton (WAC) and is situated in western Mali. The Sadiola 
goldfield is located close to the Alamoutala-Sekokoto-Kakadian plutonic system and mineralisation 
has been shown to have a relationship with the tonalite-granodiorite plutons and diorite dykes. The 
goldfield also hosts the FE3, FE4, Timbabougouni mines, and FE2 and Tambali prospects. The 
relative association of mineralisation with highly deformed and metamorphosed rocks of the Birimian 
Supergroup makes it difficult to derive an ore genetic model. The model is important for regional and 
in-mine exploration, but also significant for understanding geologic evolution of the host rocks. A number of different ore genesis models have been proposed for Sadiola Hill deposit.",Alamoutala-Sekokoto-Kakadian plutonic system,llm
2013_Ramabulana_Sadiola Hill petrology.txt,7,"The main focus of this project has therefore been to derive an ore genesis model for the Sadiola Hill 
gold deposit by contrasting the intrusion related style hypothesis proposed for the deposit by Theron 
(1997) with the shear-hosted style hypothesis proposed by Hanssen et al. (1998) using petrographic 
analysis. The features which will characterise the Sadiola Hill gold deposit (i.e. indicator minerals, 
alteration assemblage and mineral textures) will be used to contrast the two models and to establish a 
likely model for the deposit. 1.2 Location and Physiography 
The Sadiola Hill gold mine is situated in the Sadiola goldfield, in western Mali at about 77km south of 
the regional capital, Kayes, near the international border of Mali with Senegal (Fig.1). Mali is a 
landlocked country bordered by Niger to the east, Burkina Faso to the east, Algeria to the north, and 
Senegal and Mauritania to the west in the West African Savannah-Sahel region 
(Geographia.com/Mali).",Algeria,llm
2013_Ramabulana_Sadiola Hill petrology.txt,6,"The 
deposits are characterized by shear fabrics that are associated with sulphide mineralisation. The Sadiola deposit is unique in West Africa as most of the deposits are structurally controlled (e.g. Ashanti in Ghana; Essakane in Burkina Faso; Tongon in Cote d’Ivoire, and others), but it shows 
similarities with the Morila gold mine in southern Mali which is an intrusion-related deposit 
(McFarlane et al. 2012).",Ashanti in Ghana,llm
2013_Ramabulana_Sadiola Hill petrology.txt,16,"Chapter 3 Methodology 
This research project focused on detailed petrographic analyses of the Sadiola Hill deposit host rocks 
from more than 114 thin sections of diamond drill core and was preceded by literature review. The 114 selected samples of diamond drill core and other field data were collected in 2008 by Prof 
Kim Hein from 5 boreholes from the Sadiola Deep Sulphide project for a total borehole meterage of 
1966.02 metres. Core logging was completed after the sample collection. The boreholes intersected 
the Sadiola Hill deposit, and transect from the hangingwall greywacke sequence in the west to the 
footwall carbonate sequence in the east. Thin sections were cut and prepared by SGS laboratories in Booysen in Johannesburg. The petrographic study (reflected and transmitted light) was completed at the University of the 
Witwatersrand, Johannesburg using an Olympus BX14 Petrographic microscope with a dedicated 
camera in conjunction with the Stream Essentials© software.",Booysen in Johannesburg,llm
2013_Ramabulana_Sadiola Hill petrology.txt,7,"The main focus of this project has therefore been to derive an ore genesis model for the Sadiola Hill 
gold deposit by contrasting the intrusion related style hypothesis proposed for the deposit by Theron 
(1997) with the shear-hosted style hypothesis proposed by Hanssen et al. (1998) using petrographic 
analysis. The features which will characterise the Sadiola Hill gold deposit (i.e. indicator minerals, 
alteration assemblage and mineral textures) will be used to contrast the two models and to establish a 
likely model for the deposit. 1.2 Location and Physiography 
The Sadiola Hill gold mine is situated in the Sadiola goldfield, in western Mali at about 77km south of 
the regional capital, Kayes, near the international border of Mali with Senegal (Fig.1). Mali is a 
landlocked country bordered by Niger to the east, Burkina Faso to the east, Algeria to the north, and 
Senegal and Mauritania to the west in the West African Savannah-Sahel region 
(Geographia.com/Mali).",Burkina Faso,llm
2013_Ramabulana_Sadiola Hill petrology.txt,10,"2.2 -2.0 Ga (Abouchami et al. 1990; Liégeois 
et al. 1991). The KKI consist of volcano-sedimentary greenstone belts intruded by granites (Gueye et al 2007). The volcano-sedimentary units are separated into two lithostratigraphic supergroups, the Mako Group 
in the west and the Diale-Dalema Group in the east (Bassot and Cen-Vachette, 1984; Bassot, 1987). The Mako Group was defined by Witschard (1965) and Bassot (1966) as being made up of 
metamorphosed and deformed volcanic and volcano-sedimentary sequences which have been intruded 
by granitoids of the Kakadian Batholith and smaller massifs.",Diale-Dalema Group,llm
2013_Ramabulana_Sadiola Hill petrology.txt,6,"The 
deposits are characterized by shear fabrics that are associated with sulphide mineralisation. The Sadiola deposit is unique in West Africa as most of the deposits are structurally controlled (e.g. Ashanti in Ghana; Essakane in Burkina Faso; Tongon in Cote d’Ivoire, and others), but it shows 
similarities with the Morila gold mine in southern Mali which is an intrusion-related deposit 
(McFarlane et al. 2012).",Essakane in Burkina Faso,llm
2013_Ramabulana_Sadiola Hill petrology.txt,6,"Chapter 1: Introduction 
The Sadiola Hill gold mine is located within the Sadiola goldfield in the Kedougou-Kenieba inlier 
(KKI), which is part of the West African Craton (WAC) and is situated in western Mali. The Sadiola 
goldfield is located close to the Alamoutala-Sekokoto-Kakadian plutonic system and mineralisation 
has been shown to have a relationship with the tonalite-granodiorite plutons and diorite dykes. The 
goldfield also hosts the FE3, FE4, Timbabougouni mines, and FE2 and Tambali prospects. The 
relative association of mineralisation with highly deformed and metamorphosed rocks of the Birimian 
Supergroup makes it difficult to derive an ore genetic model. The model is important for regional and 
in-mine exploration, but also significant for understanding geologic evolution of the host rocks. A number of different ore genesis models have been proposed for Sadiola Hill deposit.",FE2,llm
2013_Ramabulana_Sadiola Hill petrology.txt,6,"Chapter 1: Introduction 
The Sadiola Hill gold mine is located within the Sadiola goldfield in the Kedougou-Kenieba inlier 
(KKI), which is part of the West African Craton (WAC) and is situated in western Mali. The Sadiola 
goldfield is located close to the Alamoutala-Sekokoto-Kakadian plutonic system and mineralisation 
has been shown to have a relationship with the tonalite-granodiorite plutons and diorite dykes. The 
goldfield also hosts the FE3, FE4, Timbabougouni mines, and FE2 and Tambali prospects. The 
relative association of mineralisation with highly deformed and metamorphosed rocks of the Birimian 
Supergroup makes it difficult to derive an ore genetic model. The model is important for regional and 
in-mine exploration, but also significant for understanding geologic evolution of the host rocks. A number of different ore genesis models have been proposed for Sadiola Hill deposit.",FE3,llm
2013_Ramabulana_Sadiola Hill petrology.txt,11,"2.2 Mine geology 
The Sadiola Hill deposit is situated in the Sadiola goldfield. The goldfield is a mine camp which hosts 
several deposits which include the FE3 and FE4 open cast pits. These together with the Sadiola Hill",FE3 and FE4 open cast pits,llm
2013_Ramabulana_Sadiola Hill petrology.txt,6,"Chapter 1: Introduction 
The Sadiola Hill gold mine is located within the Sadiola goldfield in the Kedougou-Kenieba inlier 
(KKI), which is part of the West African Craton (WAC) and is situated in western Mali. The Sadiola 
goldfield is located close to the Alamoutala-Sekokoto-Kakadian plutonic system and mineralisation 
has been shown to have a relationship with the tonalite-granodiorite plutons and diorite dykes. The 
goldfield also hosts the FE3, FE4, Timbabougouni mines, and FE2 and Tambali prospects. The 
relative association of mineralisation with highly deformed and metamorphosed rocks of the Birimian 
Supergroup makes it difficult to derive an ore genetic model. The model is important for regional and 
in-mine exploration, but also significant for understanding geologic evolution of the host rocks. A number of different ore genesis models have been proposed for Sadiola Hill deposit.",FE4,llm
