filename,page,mention,location,source
2014_MSc_YOSSI.txt,9,"Furthermore, this  study  will  make  comparison between 
gold-bearing structures that crop out at surface (e.g., at Syama Mine, Komana prospect, Morila mine 
and Kalana mine), with those under cover to search for potential gold exploration targets at depth. 1.2. Location and Physiography 
The study area covers the south of Mali and the northeast of Guinea in West Africa (Figure 1.1). Geologically  the  study  area  is  hosted  in  the  Palaeoproterozoic  Baoulé-Mossi  domain  of  the  West 
African craton (Figure 1.2). The study area is bounded by 10° 13'N to 12° 47'N latitude, and 9° 60'W to 5° 55'W longitude. It 
covers an area of 114,750 km2 mostly across the province of Sikasso in Mali and Sirgui in Guinea.",10deg 13'N to 12deg 47'N latitude,llm
2014_MSc_YOSSI.txt,38,"In  this  research  forward  modelling  included  three  west-east  transects  that  crosscut  first-order 
structures  and  greenstone  belts  in  the  study  area. The  forward  models  were  constructed  using 
available  geological  fact  and  petrophysical  data. The  correspondence  between  observed  and 
calculated data was performed iteratively. The forward modelling aided in the construction of models 
from which the geometry of structures was calculated. Transect lines selected included:  
  Transect 1 (AA’) from GPS coordinates 570950E and 1245150N to 616000E and 1245150N, 
and  measures  approximately  45km  in  length. It  transects  the  Yanfolila  belt,  Yanfolila  shear 
zone, Madiana-Yanfolila fault, and the Kalana-Kodieran fold in the west central region of the 
study area (Figure 4.13).",570950E and 1245150N,llm
2014_MSc_YOSSI.txt,38,"In  this  research  forward  modelling  included  three  west-east  transects  that  crosscut  first-order 
structures  and  greenstone  belts  in  the  study  area. The  forward  models  were  constructed  using 
available  geological  fact  and  petrophysical  data. The  correspondence  between  observed  and 
calculated data was performed iteratively. The forward modelling aided in the construction of models 
from which the geometry of structures was calculated. Transect lines selected included:  
  Transect 1 (AA’) from GPS coordinates 570950E and 1245150N to 616000E and 1245150N, 
and  measures  approximately  45km  in  length. It  transects  the  Yanfolila  belt,  Yanfolila  shear 
zone, Madiana-Yanfolila fault, and the Kalana-Kodieran fold in the west central region of the 
study area (Figure 4.13).",616000E and 1245150N,llm
2014_MSc_YOSSI.txt,38,"  Transect 2 (BB’) from GPS coordinates 687510E and 1164475N to 721944E and 1164475N, 
and  measures  approximately  34km  in  length. It  transects  the  Bougouni  belt,  Banifing  shear 
zone and Menankoro fault in the southeastern region of the study area (Figure 4.13).   Transect  3  (CC’)  extends  from  GPS  coordinates  704880E  and  1232696N  to  751630E  and 
1232696N,  and  measures  approximately  47km  in  length. It  transects  the  Kolondieba  belt, 
Madina fault, and Banifing shear zone in the east central region of the study area (Figure 4.13). A profile of the upward continuation of magnetic data was calculated for each transect to produce 
three  profiles  (Profile  1-3). The  magnetic  susceptibility  data  used  published  petrophysical  data  to 
calculate the magnetic field.",721944E and 1164475N,llm
2014_MSc_YOSSI.txt,38,"  Transect 2 (BB’) from GPS coordinates 687510E and 1164475N to 721944E and 1164475N, 
and  measures  approximately  34km  in  length. It  transects  the  Bougouni  belt,  Banifing  shear 
zone and Menankoro fault in the southeastern region of the study area (Figure 4.13).   Transect  3  (CC’)  extends  from  GPS  coordinates  704880E  and  1232696N  to  751630E  and 
1232696N,  and  measures  approximately  47km  in  length. It  transects  the  Kolondieba  belt, 
Madina fault, and Banifing shear zone in the east central region of the study area (Figure 4.13). A profile of the upward continuation of magnetic data was calculated for each transect to produce 
three  profiles  (Profile  1-3). The  magnetic  susceptibility  data  used  published  petrophysical  data  to 
calculate the magnetic field.",751630E and 1232696N,llm
2014_MSc_YOSSI.txt,9,"Furthermore, this  study  will  make  comparison between 
gold-bearing structures that crop out at surface (e.g., at Syama Mine, Komana prospect, Morila mine 
and Kalana mine), with those under cover to search for potential gold exploration targets at depth. 1.2. Location and Physiography 
The study area covers the south of Mali and the northeast of Guinea in West Africa (Figure 1.1). Geologically  the  study  area  is  hosted  in  the  Palaeoproterozoic  Baoulé-Mossi  domain  of  the  West 
African craton (Figure 1.2). The study area is bounded by 10° 13'N to 12° 47'N latitude, and 9° 60'W to 5° 55'W longitude. It 
covers an area of 114,750 km2 mostly across the province of Sikasso in Mali and Sirgui in Guinea.",9deg 60'W to 5deg 55'W longitude,llm
2014_MSc_YOSSI.txt,13,"The Leo-Man Shield includes the Archaean Kenema-Man 
domain 
in 
the  west  and 
the  Palaeoproterozoic  Baoulé-Mossi  domain 
in 
the  east. The 
Palaeoproterozoic Kayes and Kedougou-Kenieba inliers are situated in the west of the craton between 
the Reguibat and Leo-Man shields. The Leo-Man Shield is divided into the Archaean Kenema-Man 
domain and Palaeoproterozoic Baoulé-Mossi domain. The Baoulé-Mossi domain is made up of linear 
greenstone belts composed of metamorphosed plutono-volcanic, volcaniclastic and sedimentary rocks, 
and TTG suite granitoids (Lompo, 2010). 2.2. Regional geology setting 
2.2.1.",Archaean Kenema-Man domain,llm
2014_MSc_YOSSI.txt,29,"These  extensive  anomalies  trend  NNW  and NW  (Figure 
4.5) and correspond with: 
  The  Yanfolila  belt  that  trends  NNW  and  is  located  west  of  Yanfolila-Kalana  Shear  Zone 
(Girard et al., 1998).   The Bougouni belt that trends NW and is located to the southwest of BSZ (Randgold, 2007).   The Kolondieba belt which is located to the west  of the BSZ and north of Bougouni belt, 
and  trends  NW. The  belt  was  identified  by  Randgold  (2007)  who  described  its  volcano-
sedimentary character. A number of curvilinear attributes in the study area can be interpreted as folds  (Figure 4.5), and 
correspond with folds interpreted by Feybesse et al. (2006).",BSZ,llm
2014_MSc_YOSSI.txt,9,"These  rivers  include  the  Bafing  River,  Niger  River  (at 
Kouroussa,  Siguiri)  and  its  tributaries  Sankarani,  Fié,  Tinkisso  (at  Faranah),  Mafou,  Dion  and 
Niandan (in Kissidougou) and Milo (in Kankan). In Mali, the study area is traversed by the tributaries 
of the Niger River including the Sankarani in the north that debouches into the Niger River upstream 
12",Bafing River,llm
2014_MSc_YOSSI.txt,16,"2.3. Architecture and geological setting of southern Mali and northeast Guinea 
The  study  area  in  southern  Mali  and  northeast  Guinea  is  composed  of  metamorphosed 
sedimentary units including greywacke, siltstone and conglomerate that are intercalated with volcanic 
rocks (Liégeois et al., 1991). The rocks of the study area are grouped from west to east into the Siguiri, Bougouni, and Bagoé 
basins,  which  are  divided  by  greenstone  belts  including  the  Yanfolila,  Massigui  and  Syama  belts 
(Figure  2.2). They  are  unconformably  overlain  by  the  Neoproterozoic  sediments  of  the  Taoudeni 
basin. The Siguiri basin is dominated by the Siguiri-Kankan Formation in Guinea, and is composed of 
siltstone,  mudstone  and  subordinate  arkoses,  with pelitic  schist (Egal  et al., 1999;  Lahondère  et  al., 
1999). These sediments are intercalated with pyroclastites or tuffs that are composed of rhyolite and 
quartz  lithic  fragments  (Lahondère  et  al.,  2002). || The 
basin  is  composed  of  shale,  sandstone,  greywacke,  and  intercalated  volcano-sedimentary  rocks 
(Feybesse et al., 2006a; Parker and Wilkinson, 2011). The NW-trending Bougouni belt (Figure 2.2) of 
Girard et al. (1998) and Randgold (2008) is situated in the southeast of the Bougouni basin. The NE-
trending Massigui belt of Girard et al. (1998) is situated in the NE of the basin and is composed of 
porphyry rhyodacites with basalt, breccia and conglomerate units (Kušnir, 1989; Girard et al., 1998). The Banifing shear zone separates the Bougouni basin to the west from the Bagoé basin to the 
east (Figure 2.4).",Bagoe basin,llm
