filename,page,mention,location,source
2015_LeBrun_Siguiri.txt,35,"Two  main  regions  were  targeted  for  structural  and 
lithostratigraphic 
observations and sampling: the Maléa monzogranite region, ~30 km north of the district, and 
the  Saraya  greenfield  project  ~50 km to the  west of  the  district. The  Maléa  site  was  chosen 
because  this  monzogranite  represents  the  closest  and  largest  mapped  pluton  intruding  the 
sediments  of  the  Siguiri  Basin. Dating  of  this  intrusive  hence  gives  a  minimum  age  for  the 
Siguiri  Basin  sediments. Additionally,  structural  observations  from  this  site  would  get  an 
35",30 km north of the district,llm
2015_LeBrun_Siguiri.txt,31,"To the south, the Siguiri Basin is bordered by a series of 
late  Eburnean intrusives (ca. 2090-2070 Ma) and by the Sassandra fault separating the Basin 
sediments from the Archean Kénéma-Man gneiss (Egal et al., 2002). The Archean banded iron 
formations of the Simandou also outcrop south of the Siguiri Basin (Egal et al., 1999). Finally, to 
the north, the Siguiri Basin is unconformably overlain by the Neoproterozoic sediments of the 
Taoudeni  Basin. The  Siguiri  Basin  sediments  are  intruded  by  a  number  of  late  Eburnean 
monzogranite  and  biotite  granite  intrusions  dated  at  ca. 2090-2070  Ma  such  as  the  Malea 
monzogranite, outcropping in the northernmost part of the Basin, 50 km north of the Siguiri 
district  (Egal  et  al.,  2002;  Parra-Avila,  2015).",50 km north of the Siguiri district,llm
2015_LeBrun_Siguiri.txt,35,"Two  main  regions  were  targeted  for  structural  and 
lithostratigraphic 
observations and sampling: the Maléa monzogranite region, ~30 km north of the district, and 
the  Saraya  greenfield  project  ~50 km to the  west of  the  district. The  Maléa  site  was  chosen 
because  this  monzogranite  represents  the  closest  and  largest  mapped  pluton  intruding  the 
sediments  of  the  Siguiri  Basin. Dating  of  this  intrusive  hence  gives  a  minimum  age  for  the 
Siguiri  Basin  sediments. Additionally,  structural  observations  from  this  site  would  get  an 
35",50 km to the west of the district,llm
2015_LeBrun_Siguiri.txt,61,"The  Saraya  area  is  located  ~50  km  west  of  the  Siguiri  district  (area  around  sample 
Si327 on Figure  3B). The  lithostratigraphy in the Saraya  area is similar to that of the district, 
displaying  fine  micaceous  greywacke,  siltstone  and  shale  beds  alike  of  those  of  the  Balato, 
Fatoya and Kintinian Formations. In AEM, the Saraya area shows a low response similar to that 
of the Fatoya Formation. The Saraya metasediments are however overlain unconformably by 
67",50 km west of the Siguiri district,llm
2015_LeBrun_Siguiri.txt,137,"Steyn,  J. G.,  2012,  Structural  geology  and  controls of  gold  mineralization  in  the  Siguiri  Mine, 
Guinea, West Africa: MSc thesis, Stellenbosch University. Taylor,  R.,  2010,  Ore  textures:  recognition  and  interpretation,  Springer  Science  &  Business 
Media. Thébaud, N., Miller, J., McCuaig, C., Fisher, L. and Sonntag, I., 2013, The orogenic and not so 
orogenic gold deposits of the Agnew Gold Camp (Yilgarn Craton, Western Australia), v. 3, p.",Agnew Gold Camp,llm
2015_LeBrun_Siguiri.txt,26,"In  addition  to  these  colleagues  and  fellow  researchers,  the  admin  and  research 
staff/student  at  the  CET  were  an  irreplaceable  support  in  the  success  of  this  project. Specifically, Matt Hill, Luis Parra, Quentin Masurel, Thomas Angerer, Ana-Sophie Hensler and 
Christian  Schindler  are  thanked  for  reminding  me  that  a  PhD  was  also the  occasion  to meet 
great  people  and  share  good  moments  around  a  beer  (or  two  maybe). Cindy  Dunjey,  Susie 
Cass,  Estelle  Dawes,  Emily  Denham,  Wendy  Carter,  Gillian  Evans  and  Hayley  Newberry  are 
thanked for handling the financial and administrative side of the research. Regarding financial support, this project is funded by AngloGold Ashanti, which I thank, 
and  is  associated  with  an  ARC  Linkage  Grant:  “Four  dimensional  lithospheric  evolution  and 
controls  on  mineral  system  distribution 
in  Neoarchean  to  Paleoproterozoic  terranes"" 
(LP110100667), and in collaboration with the AMIRA P934A project “West African Exploration 
Initiative- Stage 2”. Outside  the  academic  world,  my  friends  and  family  were  the  strong  pillars  that 
supported me all along, cheered me up when things were looking dire and have always been a 
welcomed  distraction when I was  meant to work  hard. In particular, I thank  my spearfishing 
buddies and dear friends Mael Coret, Craig McPhilimey and Jacques Wittig for accompanying 
me on our regular underwater escapes in the cold waters around Albany and the warm depths 
26",Albany,llm
2015_LeBrun_Siguiri.txt,194,"A., Craw, D., Olivo, G. R., Kerrich, R., and  Brewer, T. S., 2006, Sources 
of metals and fluids in orogenic gold deposits: insights from the Otago and Alpine Schists, 
New Zealand: Economic Geology, v. 101, p. 1525-1546. Price,  R.",Alpine Schists,llm
2015_LeBrun_Siguiri.txt,"29,90","CHAPTER 1: INTRODUCTION 
4D EVOLUTION OF THE OROGENIC GOLD DISTRICT OF 
SIGUIRI, GUINEA (WEST AFRICA) 
PREAMBLE AND KNOWLEDGE GAPS 
The West African Craton (WAC) is also known as the Leo-Man Shield. It is made of two 
distinct  terranes:  the  Archean  Kénéma-Man  domain  to  the  south-west,  and  the 
Paleoproterozoic  Baoulé-Mossi  domain  (Figure  1A). The  Archean  domain  is  dominated  by 
gneiss  dated  between  ca. 3540  and  2750  Ma  (Kouamelan  et  al.,  1997;  Thiéblemont  et  al., 
2001) while the Paleoproterozoic domain displays an assemblage of volcano-sedimentary belts 
and felsic intrusives, ranging in age from ca. 2250 to 2040 Ma (Davis et al., 2015; Parra-Avila, 
2015;  Tshibubudze  et  al.,  2013). A  large  part  of  the  Baoulé-Mossi  domain  is  overlain 
unconformably  by  the  Neoproterozoic  sediments  of  the  Taoudeni  Basin  (Begg  et  al.,  2009; 
Lawrence et al., 2013a; Villeneuve and Cornée, 1994). || paleo-orientation  before,  during  and  after  gold  mineralization. In  turn,  these  paleo-
orientations are used to assess the role stress-switches have had on mineralization. This paper 
is  the  first  study  to  put  the  geology  of  the  Siguiri  district  together  and  to  highlight  the 
structures  that  control  gold  mineralization  at  a  deposit  and  district-scale  and  that  may 
represent  local  expressions  of  more  fundamental  structures  controlling  the  location  of  the 
Siguiri district within the Siguiri Basin. Geological context and exploration history 
The Siguiri district is located in the north-western part of the Paleoproterozoic Baoulé-
Mossi domain, which covers the majority of the Man-Leo shield in West  Africa. The Birimian 
terranes  (ca. 2210-2040  Ma;  Davis  et  al.,  2015;  Figure  16)  of  the  Paleoproterozoic  Baoulé-
Mossi domain were accreted against the Archean Kénéma-Man domain, in the south-western 
part of the West African Craton, during the Eburnean orogeny (ca.",Archean Kenema-Man domain,llm
2015_LeBrun_Siguiri.txt,91,"Figure 16: A) Simplified geology map of the Southern West African Craton. Red box highlights the Siguiri Basin shown 
in  B. The  Sassandra  fault,  bordering  the  Archean  domain  and  the  Siguiri  Basin  is  shown  as  a  thick  black  line;  B) 
Geology  map  of  the  Siguiri  Basin. Red box  highlights  the Siguiri district  shown  in  Figure  17. Red  lines  indicate  the 
segments of the regional composite cross-section (Figure 18A). Dashed black lines represent the interpreted regional 
extension of the N-S and WNW-ESE faults controlling mineralization in the Siguiri district.",Archean domain,llm
2015_LeBrun_Siguiri.txt,120,"(2013) also 
recognized  this  event,  defined  as  D4,  a  NW-SE  compression. Regionally  and  in  many  other 
areas  of  the  Craton  (Ashanti,  Prestea,  Kalana;  Milési  et  al. 1992),  this  deformation  event  is 
typically associated with the main phase of gold mineralization. However, this event does not 
appear to be mineralized in the Siguiri district. Finally, Steyn (2012) recognized a last deformation event, termed D3, associated with 
an E-W extension and which was not found to be mineralized in gold. This deformation event 
was not recognized by the present study, Milési et al.",Ashanti,llm
