filename,page,mention,location,source
2015_Masurel_phd.txt,210,"5.3.3. Syn-D3s magmatism 
SAD-033 biotite-granite: 
A biotite-granite sample was collected from outcrop 1 km east of the Bembokoto village 
(Fig. 8A). The  intrusive  rock  consists  of  feldspar  phenocrysts  (up  to  20%  modal  vol., 
alkali > plagioclase) and minor biotite  (3%  modal vol.) set in a finer-grained quartzo-
feldspathic  groundmass  (80%  modal  vol.)  (Fig. 8B). Stretched  feldspar  minerals  and 
aligned mafic enclaves mark a pronounced planar fabric oriented 341º/82ºE.",1 km east of the Bembokoto village,llm
2015_Masurel_phd.txt,160,"Barren quartz veins (V1) are locally dismembered and boudinaged along S1 (Fig. 4B). A second folding episode has been recorded in the two KW18 ancillary pits 1.5 km 
west of the Yatela deposit (see Fig. 2 for location) and is correlated with the formation 
of disharmonic, inclined to upright folds (F2). Fold axes plunge gently (10-30°) to the 
NNE and are associated with 015°/80E axial-planar cleavage (S2). Interference patterns 
associated  with  the  refolding  of  the  early  folds  (F1)  by  the  F2  folds  were  observed 
locally.",1.5 km west of the Yatela deposit,llm
2015_Masurel_phd.txt,207,"SAD-085 quartz-monzonite: 
A quartz-monzonite sample was collected from outcrop 11 km south of the Sadiola Hill 
open pit. The small pluton intrudes intermediate volcanics. The intrusive rock consists 
of quartz phenocrysts (up to 10% modal vol.) set into a fine-grained muscovite-biotite-
carbonate-rich  groundmass. The  intrusive  rock  exhibits  a  pervasive  planar  fabric 
oriented 122º/74ºSW, which is parallel to S2. The planar fabric is marked by stretched 
quartz  phenocrysts,  suggesting  deformation  occurred  at  sub-solidus  conditions  (i.e. magmatic fabric).",11 km south of the Sadiola Hill open pit,llm
2015_Masurel_phd.txt,200,"5.3. Geochronology 
A summary of the determined magmatic crystallisation ages for igneous rocks of 
the  Sadiola-Yatela  region  is  presented  in  Table  3. The  following  classification  was 
based  on  structural  evidence  recorded  in  outcrop  and  absolute  timing  of  magma 
emplacement. Individual  SHRIMP  U-Pb  geochronology 
reports 
(petrographic 
descriptions, zircon morphology, analytical details, results, interpretation) are provided 
in the supplementary material. 5.3.1. Pre- to syn-D1s magmatism 
SAD-158β microdiorite and SAD-158grd hornblende-granodiorite: 
The  outcrop  was  mapped  on  a  ridge,  12  km  west  of  the  Sadiola  Hill  gold  mine.",12 km west of the Sadiola Hill gold mine,llm
2015_Masurel_phd.txt,53,"A distinct set of NNE- to NE-trending late diorite dikes (<2 m wide) was identified in 
the  pit  (Fig. 3). Although  no  direct  crosscutting  relationships  could  be  observed  at 
Sadiola Hill, these dikes crosscut the quartz-feldspar-phyric felsic dikes at the Tambali 
ancillary pits, which are situated 2 km southwest of the Sadiola Hill deposit (See Fig. 2). 6.3. Structural setting and geometry 
The  broad  structure  of  the  Sadiola  Hill  open  pit  is  dominated  by  the  N-S  to 
NNW-trending  Sadiola  Fracture  Zone  and  an  array  of  NNE-trending  shears  (Fig.",2 km southwest of the Sadiola Hill deposit,llm
2015_Masurel_phd.txt,107,"Sedimentary  and  volcanic  rocks 
were  intruded  by  different  generations  of  syn-tectonic,  calc-alkaline  plutons  forming 
circular to elliptical bodies of various sizes (Fig. 2). A large plutonic complex has been 
mapped  in  the  field  2  km  west  of  the  Alamoutala  deposit. The  plutons  range  in 
composition from diorite and hornblende-biotite-granodiorite to K-rich biotite-granites. The  Alamoutala  deposit  is  located  within  the  Kofi  basin  and  occurs  in  the  contact-
metamorphic aureole to isolated intermediate quartz-feldspar-porphyry stocks. Country 
rocks  in  the  Alamoutala  deposit  area  have  undergone  regional  greenschist-facies 
metamorphism.",2 km west of the Alamoutala deposit,llm
2015_Masurel_phd.txt,156,"3.3. The Yatela gold resource 
The Yatela gold mine is located 25 km north of the world-class Sadiola Hill gold 
mine  in  southwest  Mali  (Fig. 2). Economic  mineralisation  at  Yatela  occurs  in  a 
saprolitic  residuum  that  lines  the  bottom  of  deep  troughs  (max. depth  of  220  m) 
developed  over  carbonate  rocks  (Hein  et  al.,  in  press). The  residuum  consists  of  a 
mixture  of  underlying 
insoluble  Paleoproterozoic  bedrock 
fragments 
(e.g., 
metagreywacke, marble, metadiorite), blocks and pebbles of Neoproterozoic sandstone, 
quartz  fragments  and  pebbles,  and  gossanous  fragments  derived  from  the  primary 
hypogene mineralisation, which are set into a clay-rich ferruginous matrix (Hanssen et 
al., 2004).",25 km north of Sadiola Hill gold mine,llm
2015_Masurel_phd.txt,109,"1). In  late 
1997, IAMGOLD and Anglo American Corporation (now AngloGold  Ashanti) signed 
an agreement to purchase the Yatela concession located 25 km north of the Sadiola Hill 
gold  deposit. The  Government  of  Mali  issued  an  exploitation  permit  for  the  Yatela 
project in February 2000. The Alamoutala gold deposit has been operated by the Société 
des  Mines  d’Or  du  Mali  (SEMOS),  a  joint  venture  between  AngloGold  Ashanti 
Limited,  IAMGold  Corporation  and  the  government  of  Mali,  until  the  mine  was 
decommissioned in 2012. The total production of the Alamoutala gold deposit over its 
mine life was 308,400 oz Au at an average grade of 1.70 g/t (AngloGold Ashanti 2011 
mineral resource and ore reserve report). 5.",25 km north of the Sadiola Hill gold deposit,llm
2015_Masurel_phd.txt,209,"Seven zircon analyses defined a second population associated 
with  a  207Pb/206Pb  weighted  mean  date  of  2091  ±  8  Ma  (MSWD  =  1.6). The  date  of 
2091 ± 8 Ma is interpreted to represent the magmatic crystallisation age of the biotite-
bearing quartz-monzonite. The two older dates fall within error and likely represent an 
inherited  zircon  component. The  absolute  crystallisation  age  suggests  that  the  biotite-
bearing  quartz-monzonite  emplaced  syn-D2s. The  absence  of  fabric  indicates  it 
emplaced in a low strain zone. SAD-182 hornblende-biotite-granodiorite: 
A hornblende-biotite-granodiorite sample was collected from outcrop 3 km northwest of 
the  Bembokoto  village.",3 km northwest of the Bembokoto village,llm
2015_Masurel_phd.txt,203,"Microtectonic  evidence  such  as  symmetrical  porphyroclasts  and  strain 
shadows indicate dominantly pure shear deformation. The presence of fractured feldspar 
porphyroclasts  and  fine  grain  size  of  the  recrystallised  quartz  groundmass  (<50  µm) 
together with the abundance of muscovite and biotite along the shear fabric suggest that 
the  mylonites  developed  at  low  metamorphic  grade  (~250-500°C)  (e.g.,  Passchier  and 
Trouw et al., 2005). A least-deformed and least-altered sample of feldspar-quartz-phyric 
andesite was collected 3 km south from the Sadiola village for geochronology (Fig. 6C). Inheritance  proved  to  be  common  in  that  sample  based  on  the  207Pb/206Pb  age 
distribution. A single zircon analysis yielded a 207Pb/206Pb date of 2249 ± 8 Ma.",3 km south from the Sadiola village,llm
