filename,num_locations
2007_Tshibubudze_THE MARKOYE FAULT_2007_locations_llm.csv,87
2008_MATABANE_FE3_locations_llm.csv,83
2009_Bontle Nkuna_0605886P_Honours Report_locations_llm.csv,58
2010_Matsheka_Irvin Final Thesis_locations_llm.csv,82
2010_Mohale_GIS interpretation of NE Burkina Faso_locations_llm.csv,61
2011_Peters_East Markoye_2011_locations_llm.csv,76
2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB_locations_llm.csv,41
"2012_Simoko_Petrology, geochemistry and structure of the Pissila batholith and the Saaba Zone gneiss_locations_llm.csv",21
2013_FUNYUFUNYU_locations_llm.csv,168
2013_Peters_locations_llm.csv,188
2013_Ramabulana_Sadiola Hill petrology_locations_llm.csv,69
2014_MSc_YOSSI_locations_llm.csv,205
2015_LeBrun_Siguiri_locations_llm.csv,318
2015_Masurel_phd_locations_llm.csv,382
