filename,location,pages,mentions,source
2011_Peters_East Markoye_2011.txt,12 km west of the international border of Niger,6,"2.2. Location and Physiography 
The study area is situated approximately 2 km east of the town of Markoye and is located 12 
km west of the international border of Niger and 38 km south of the border of Mali (Fig. 2). The town of Markoye is located at the divide between the Sahel and the Sahara; everything 
north of the town is considered to be the Sahara Desert. Thus, the field area is an arid and hot 
environment with much of the surface covered with sand and loose gravels making outcrop 
difficult to find in the low-lying areas. The areas of high relief however, are desert mountains 
that contain a large amount of rock which, unfortunately, was dominated by  loose boulders 
and very little in situ-outcrop.",llm
2011_Peters_East Markoye_2011.txt,2 km east of the town of Markoye,6,"2.2. Location and Physiography 
The study area is situated approximately 2 km east of the town of Markoye and is located 12 
km west of the international border of Niger and 38 km south of the border of Mali (Fig. 2). The town of Markoye is located at the divide between the Sahel and the Sahara; everything 
north of the town is considered to be the Sahara Desert. Thus, the field area is an arid and hot 
environment with much of the surface covered with sand and loose gravels making outcrop 
difficult to find in the low-lying areas. The areas of high relief however, are desert mountains 
that contain a large amount of rock which, unfortunately, was dominated by  loose boulders 
and very little in situ-outcrop.",llm
2011_Peters_East Markoye_2011.txt,38 km south of the border of Mali,6,"2.2. Location and Physiography 
The study area is situated approximately 2 km east of the town of Markoye and is located 12 
km west of the international border of Niger and 38 km south of the border of Mali (Fig. 2). The town of Markoye is located at the divide between the Sahel and the Sahara; everything 
north of the town is considered to be the Sahara Desert. Thus, the field area is an arid and hot 
environment with much of the surface covered with sand and loose gravels making outcrop 
difficult to find in the low-lying areas. The areas of high relief however, are desert mountains 
that contain a large amount of rock which, unfortunately, was dominated by  loose boulders 
and very little in situ-outcrop.",llm
2011_Peters_East Markoye_2011.txt,Amsterdam,52,"Bouma,  A. H.,  (1962). Sedimentology  of  some  flysch  deposits:  A  graphic  approach  to 
facies interpretation, Elsevier, Amsterdam, 168pp. 51",rules
2011_Peters_East Markoye_2011.txt,"Ashanti, Ghana",54,"P.,  (2007). Geological and thermal conditions before the major Palaeoproterozoic goldmineralization 
event  at  Ashanti,  Ghana,  as  inferred  from  improved  thermal  modelling. Precambrian 
Research, 154, 71–87. Hein, K. A. A., (2003).",llm
2011_Peters_East Markoye_2011.txt,Australia,"10,54","According to Proust et 
al. (2005) the basin has a depth of 5 km; the sedimentary fill overlies basement rock which 
consists of a thick unit of greywacke that is Mesozoic in age. Reviewing 
literature 
that  describes  greywacke 
formation 
from 
the  Archaean  or 
Palaeoproterozoic is significant. Similar processes of formation could have occurred owing to 
the  same  environment  at  that  point  in  earth’s  history. The  Pine  Creek  Inlier  of  northern 
Australia contains rocks  which are Palaeoproterozoic in age. It consists of metasedimentary 
rocks  and  volcanic  units  that  overlie  Archaean  granite  basement  (Needham  et  al.,  1988). || Relative timing of deformational, metamorphic and 
mineralisation events at the Mt. Todd (Yimuyn Manjerr) Mine, Pine Creek Inlier, 
Northern Territory, Australia. Ore Geology Reviews, 22, 143-175. Hein,  K. A. A.,  Morel,  V.,  Kagone,  O.,  Kiemde,  F.,  Mayes,  K.,  (2004).","llm,rules"
2011_Peters_East Markoye_2011.txt,Australian Plate,10,"The  basin  demonstrates  a  full  range  of  sedimentary  facies. Carter  and 
Naish  (1998)  identified  that  equal  amounts  of  sedimentation  and  subsidence  are  necessary. Uplift  and  subsidence  were,  in  the  case  of  the  Wanganui  Basin,  controlled  by  eustatic 
changes which created an environment prone to rapid deposition. The Wanganui Basin sits in 
a  back-arc  setting  at  the  convergence  of  the  Pacific  Plate  with  the  Australian  Plate. It  is 
possible  that  its  formation  occurred  in  the  same  environment. Lithospheric  loading  and 
downwarping created by adjacent subduction is credited with basin formation.",llm
2011_Peters_East Markoye_2011.txt,Beauvais,9,"(1994)  in  Tshibubudze  et  al. (2009)  calculated  through  istotopic  studies  that 
there  is  a  major  unconformity  between  the  Tarkwa  Group  sediments  and  the  overlying 
laterite,  which  formed  during  the  Cretaceous  but  was  eroded  to  form  glacis  in  the  Eocene-
Miocene (Beauvais et al., 2008). 3.2. Sedimentology 
The Birimian Supergroup is described by Feybesse et al. (1990), Leube et al. (1990), Hirdes 
et  al.",rules
2011_Peters_East Markoye_2011.txt,Bergen,57,"J., (2005). Sedimentary architecture 
of a Plio-Pleistocene proto-back-arc basin: Wanganui Basin, New Zealand. Sedimentary 
Geology, 181, 107-145. Ravanas,  R.,  (1991). A  sedimentological,  geochemical  and  provenance  study  of  the 
Kalvag  Melange,  western  Norwegian  Caledonides,  Thesis  (unpublished). University  of 
Bergen, 212 pp.",rules
2011_Peters_East Markoye_2011.txt,Beziat,12,"Milesi et al. (1992) 
modified their own original classification to just three components as described in Beziat et 
al. (2008). In this classification, gold mineralisation is described in terms of regional tectonic 
events  where  mineralisation  is  pre-orogenic,  syn-orogenic  or  post-orogenic. According  to 
Beziat et al. (2008), gold in Burkina Faso, in particular is found within or near quartz veins 
which  suggests  that  the  deposits  form  epigenetically.",rules
