filename,unique_to_rules,unique_to_llm,both
2011_Peters_East Markoye_2011,79,57,19
2010_Matsheka_Irvin Final Thesis,25,66,16
2015_LeBrun_Siguiri,194,257,61
"2012_Simoko_Petrology, geochemistry and structure of the Pissila batholith and the Saaba Zone gneiss",24,16,5
2009_Bontle Nkuna_0605886P_Honours Report,23,44,14
2014_MSc_YOSSI,61,157,48
2013_Peters,96,159,29
2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB,20,37,4
2015_Masurel_phd,267,330,52
2007_Tshibubudze_THE MARKOYE FAULT_2007,21,66,21
2013_Ramabulana_Sadiola Hill petrology,29,52,17
2013_FUNYUFUNYU,164,132,36
2010_Mohale_GIS interpretation of NE Burkina Faso,30,40,21
2008_MATABANE_FE3,49,70,13
