filename,page,mention,location,label,source
2010_Mohale_GIS interpretation of NE Burkina Faso.txt,4,"LIST OF FIGURES 
Figure 1.1: Map of Burkina Faso showing study area. Figure 1.2: Geological map of Burkina Faso showing study area (Hottin & Ouedraogo, 1992). Figure 2.1: Greenstone belts of Burkina Faso after Béziat et al. (2008). Figure 2.3.1: Flow diagram showing assessment of severity of degradation in the Save catchment. Figure  2.3.2:  Updated  national  road  network  map  overlaid  on  mosaiced  SPOT  satellite  images  of  the 
Kingdom of Swaziland.",Swaziland,GPE,spacy
2010_Mohale_GIS interpretation of NE Burkina Faso.txt,4,"Figure 4.4: RGB 742 showing sand dunes in light green on the image. Figure 4.5: Outcrop locations in grey. Figure 4.6: Sharp lithological contacts (orange). Figure 4.7: A-RGB 432 false colour composite with areas of healthy and dense vegetation shown in red 
and  areas  of  less  vegetation  shown  in  light  right. Rivers  are  marked  in  blue  and  cities  (City  of 
Ouagadougou) in cyan blue (B) and drainage systems are shown in red indicating that there is vegetation 
along the river (B). Figure 4.8: Locality map of Burkina Faso showing cities, towns, villages and roads.",Ouagadougou,GPE,spacy
2010_Mohale_GIS interpretation of NE Burkina Faso.txt,4,"Figure 4.4: RGB 742 showing sand dunes in light green on the image. Figure 4.5: Outcrop locations in grey. Figure 4.6: Sharp lithological contacts (orange). Figure 4.7: A-RGB 432 false colour composite with areas of healthy and dense vegetation shown in red 
and  areas  of  less  vegetation  shown  in  light  right. Rivers  are  marked  in  blue  and  cities  (City  of 
Ouagadougou) in cyan blue (B) and drainage systems are shown in red indicating that there is vegetation 
along the river (B). Figure 4.8: Locality map of Burkina Faso showing cities, towns, villages and roads.",Burkina Faso,GPE,spacy
2010_Mohale_GIS interpretation of NE Burkina Faso.txt,5,"Figure 5.1:  Interpretative geology map of the Markoye Shear Zone based on combined regional magnetic 
data  (RTP  and  RTP  1st  vertical  derivative),  Landsat  imagery,  with  Landsat  image  p194r050_741  as 
underlay (Tshibubudze et al., 2009). Figure 5.2: Strato-tectonic-magmatic map of Burkina Faso with distribution of structures and lithology. 5",Markoye Shear Zone,LOC,spacy
2010_Mohale_GIS interpretation of NE Burkina Faso.txt,11,"1.2 Location and physiography 
The study area for the project is north east Burkina Faso. Burkina Faso is a landlocked country located in 
western  Africa,  north  of  Ghana  (Fig  1.1). It  shares  borders  with  six  countries  namely  Benin  in  the 
southeast, Ivory Coast in the south west, Togo and Ghana in the south, Mali in the north and Niger in the 
east. It  has  an  area  of  274.200  km2  and  an  annual  population  growth  of  2.7%.The  capital  city  is 
Ouagadougou. The official language is French and regional languages include Dioula and Mooré. 11",Africa,LOC,spacy
2010_Mohale_GIS interpretation of NE Burkina Faso.txt,11,"1.2 Location and physiography 
The study area for the project is north east Burkina Faso. Burkina Faso is a landlocked country located in 
western  Africa,  north  of  Ghana  (Fig  1.1). It  shares  borders  with  six  countries  namely  Benin  in  the 
southeast, Ivory Coast in the south west, Togo and Ghana in the south, Mali in the north and Niger in the 
east. It  has  an  area  of  274.200  km2  and  an  annual  population  growth  of  2.7%.The  capital  city  is 
Ouagadougou. The official language is French and regional languages include Dioula and Mooré. 11",Ghana,GPE,spacy
2010_Mohale_GIS interpretation of NE Burkina Faso.txt,11,"1.2 Location and physiography 
The study area for the project is north east Burkina Faso. Burkina Faso is a landlocked country located in 
western  Africa,  north  of  Ghana  (Fig  1.1). It  shares  borders  with  six  countries  namely  Benin  in  the 
southeast, Ivory Coast in the south west, Togo and Ghana in the south, Mali in the north and Niger in the 
east. It  has  an  area  of  274.200  km2  and  an  annual  population  growth  of  2.7%.The  capital  city  is 
Ouagadougou. The official language is French and regional languages include Dioula and Mooré. 11",Ivory Coast,LOC,spacy
2010_Mohale_GIS interpretation of NE Burkina Faso.txt,12,"Land  use  can  be  divided  into  three  sections:  arable  land  (17.66%),  which  is  mainly  land  cultivated  for 
crops  that  are  replanted  after  each  harvest  (e.g. rice,  maize,  wheat),  permanent  land  (0.22%),  which  is 
cultivated land that cannot be replanted after harvest(e.g. coffee, rubber ) and other land (82.12%) which 
includes  pastures,  woodland,  forest,  built-on  areas,  barren  lands  and  roads. The  land  surface  is  mainly 
defined  by  alluvial  plains,  low  hills,  and  sand  dunes  of  the  Sahara  Desert. Landforms  in  Burkina  Faso 
include lakes, rivers, mountains and wetlands. In the north and east of the country vegetation consists of 
acacia  woodland  and  scrub,  expanding  into  semi-desert  in  the  dry  season  in  the  north.",Sahara Desert,LOC,spacy
2010_Mohale_GIS interpretation of NE Burkina Faso.txt,15,"CHAPTER 2: REGIONAL GEOLOGY 
2.1 Stratigraphy 
The  lithostratigraphy  in  north-eastern  Burkina  Faso  is  defined  by  NE-trending  Birimian  meta-
volcaniclastic  greywacke  and  intercalated  meta-conglomerate,  siltstone  and  shale  (Figure  1. 2). The 
Birimian stratigraphy was divided into two parts by Junner (1935; 1940) in (Leube et al., 1990), the lower 
Birimian series and the upper Birimian series. The lower Birimian series is predominantly sedimentary in 
origin  and  includes  dacitic/rhyodacitic  meta-volcaniclastic  sediments,  meta-greywacke  with intercalated 
black meta-siltstone and manganiferous chert, argillite, shale and chemical meta-sedimentary (Feybesse et 
al., 1990; Leube et al., 1990; Hirdes et al., 1990; Milési et al., 1991). The upper Birimian series consists 
of metamorphosed basic and intermediate lavas and pyroclastic rocks (Feybesse et al., 1990; Leube et al., 
1990; Hirdes et al., 1996; Milési et al., 1991, 1992; Naba, 2004; Tshibubudze et al., 2009). The Birimian 
sequences  were  metamorphosed  during  the  Eburnean  Orogeny  and  were  intruded  by  numerous  calc-
alkaline  plutons  including  tonalite  (TTG),  granodiorite,  diorite  and  meta-diorite  bodies  that  are 
collectively  termed  the  Eburnean  granitoids  (Pons  et  al.,  1995;  Naba  et  al.,  2004;  Pawlig  et  al.,  2006).",Naba,GPE,spacy
2010_Mohale_GIS interpretation of NE Burkina Faso.txt,15,"Lateritic profiles cover much of the West African craton. The  Birimian  sequences  were  metamorphosed  during  the  Eburnean  Orogeny  where  the  meta-
volcanic  and  metasedimentary  rocks  were  subjected  to  crustal  shortening  associated  with  greenschist 
facies  regional  metamorphism  (Oberthur  et  al.,  1998)  and  by  further  metamorphism  related  to  the 
intrusion  of  granitoids  (Milesi  et  al.,  1989,  1991;  Bossiére  et  al.,  1996;  Hirdes  et  al. 1996;  Hein  et  al., 
2004). Metamorphic  grade  includes  greenschist  facies  with  formation  of  dominant  chloride–muscovite 
mineral  assemblage  and  abundant  hornblende  and  andalusite  mineral  assemblages  which  are  low  to 
medium grade amphibolites facies (Bossiére et al., 1996; Béziat et al., 2000; Naba et al., 2004; Pawlig et 
al., 2006). The Tarkwa Group unconformably overlies the Birimian sequence (Leube et al., 1990; Milési et al., 
1992;  Castaing  et  al.,  2003). It  has  been  divided  into  three  units:  the  Banket  Series,  Phyllite  Unit  and 
Meta-Sandstone unit.",Pawlig,GPE,spacy
2010_Mohale_GIS interpretation of NE Burkina Faso.txt,16,"(2008) 
The Oudalan–Gorouol greenstone belt (OGGB) hosts gold deposits at Essakane, Gossey, Korizena 
and  Falagountou  (Tshibubudze  et  al.,  2010). In  the  OGGB,  the  Birimian  supracrustal  sequences  are 
dominated  by  meta-volcaniclastic  greywacke  that  is  intercalated  with  meta-conglomerate,  siltone  and 
shale, carbonate (dolomite) and volcanic units (pillow lavas). The OGGB is surrounded by plutonic rocks 
including granite, TTG suite granitoids and granite gneiss (Tshibubudze et al., 2010). It is crosscut by the 
NNE trending Markoye Shear Zone, NE trending Tin Takanet-Bellekcire Shear Zone, westerly trending 
16",Falagountou,GPE,spacy
2010_Mohale_GIS interpretation of NE Burkina Faso.txt,17,"Dori Shear Zone, north trending Kargouna Shear Zone, Takabougou Shear Zone and Bom Kodjelé Shear 
Zone (Tshibubudze et al., 2010). The  Goren  Greenstone  Belt  (GGB)  forms  part  of  the  largest  Boromo-Goren  Greenstone  Belt 
(BGGB) .The GGB segment of the BGGB trends SE across the Yatenga, Bam, and Sanmatenga districts 
(Hein et al., 2004). In the GGB there are two Birimian formations: the Lower and Upper Birimian which 
are described based on studies done by Attoh (1982) and Feybesse et al. (1990) and craton-scale studies 
by Milési et al. (1989), Abouchami et al. (1990), Hottin and Ouedraogo (1992)  and Boher et al (1992).",Kargouna Shear Zone,FAC,spacy
2010_Mohale_GIS interpretation of NE Burkina Faso.txt,17,"Dori Shear Zone, north trending Kargouna Shear Zone, Takabougou Shear Zone and Bom Kodjelé Shear 
Zone (Tshibubudze et al., 2010). The  Goren  Greenstone  Belt  (GGB)  forms  part  of  the  largest  Boromo-Goren  Greenstone  Belt 
(BGGB) .The GGB segment of the BGGB trends SE across the Yatenga, Bam, and Sanmatenga districts 
(Hein et al., 2004). In the GGB there are two Birimian formations: the Lower and Upper Birimian which 
are described based on studies done by Attoh (1982) and Feybesse et al. (1990) and craton-scale studies 
by Milési et al. (1989), Abouchami et al. (1990), Hottin and Ouedraogo (1992)  and Boher et al (1992).",Takabougou Shear Zone,FAC,spacy
2010_Mohale_GIS interpretation of NE Burkina Faso.txt,17,"Dori Shear Zone, north trending Kargouna Shear Zone, Takabougou Shear Zone and Bom Kodjelé Shear 
Zone (Tshibubudze et al., 2010). The  Goren  Greenstone  Belt  (GGB)  forms  part  of  the  largest  Boromo-Goren  Greenstone  Belt 
(BGGB) .The GGB segment of the BGGB trends SE across the Yatenga, Bam, and Sanmatenga districts 
(Hein et al., 2004). In the GGB there are two Birimian formations: the Lower and Upper Birimian which 
are described based on studies done by Attoh (1982) and Feybesse et al. (1990) and craton-scale studies 
by Milési et al. (1989), Abouchami et al. (1990), Hottin and Ouedraogo (1992)  and Boher et al (1992).",Yatenga,GPE,spacy
2010_Mohale_GIS interpretation of NE Burkina Faso.txt,17,"Dori Shear Zone, north trending Kargouna Shear Zone, Takabougou Shear Zone and Bom Kodjelé Shear 
Zone (Tshibubudze et al., 2010). The  Goren  Greenstone  Belt  (GGB)  forms  part  of  the  largest  Boromo-Goren  Greenstone  Belt 
(BGGB) .The GGB segment of the BGGB trends SE across the Yatenga, Bam, and Sanmatenga districts 
(Hein et al., 2004). In the GGB there are two Birimian formations: the Lower and Upper Birimian which 
are described based on studies done by Attoh (1982) and Feybesse et al. (1990) and craton-scale studies 
by Milési et al. (1989), Abouchami et al. (1990), Hottin and Ouedraogo (1992)  and Boher et al (1992).",Bam,GPE,spacy
2010_Mohale_GIS interpretation of NE Burkina Faso.txt,17,"Dori Shear Zone, north trending Kargouna Shear Zone, Takabougou Shear Zone and Bom Kodjelé Shear 
Zone (Tshibubudze et al., 2010). The  Goren  Greenstone  Belt  (GGB)  forms  part  of  the  largest  Boromo-Goren  Greenstone  Belt 
(BGGB) .The GGB segment of the BGGB trends SE across the Yatenga, Bam, and Sanmatenga districts 
(Hein et al., 2004). In the GGB there are two Birimian formations: the Lower and Upper Birimian which 
are described based on studies done by Attoh (1982) and Feybesse et al. (1990) and craton-scale studies 
by Milési et al. (1989), Abouchami et al. (1990), Hottin and Ouedraogo (1992)  and Boher et al (1992).",Sanmatenga,GPE,spacy
2010_Mohale_GIS interpretation of NE Burkina Faso.txt,17,"The studies indicate that the  
1) Lower Birimian which includes a volcano-sedimentary package with intercalated fluvial deltaic meta-
sediments is unconformably overlain by the: 
2) Upper Birimian which is a volcanic-volcanoclastic package. Further investigations on lithologies and structures completed by  Hein et al. 2004 at Sanmatenga 
district  indicate  that  the  deposition  of  the  volcanic,  metasedimentary  and  turbidic  rocks  in  the  Gorem 
segment  of  the  BGGB  is  in  three  conformable  successions:  a  lower  volcano-  sedimentary  succession, 
mafic-intermediate  volcanic  succession,  and an  upper  volcano-sedimentary  succession. The  successions 
indicate  interplay  of  marine-deltaic  sedimentary  processes  and  volcanic  activity. The  deposition  was 
interpreted to have occurred within a marginal marine setting adjacent to an emergent volcanic centre or 
island arc setting (Hein et al., 2004). The conformable nature (angular unconformity) of the successions: 
the 1) Lower Birimian and 2) Upper Birimian does not provide any case of separation into two formations 
in the Sanmatenga district described from previous studies by Attoh (1982) and Feybesse et al., (1990).",Gorem,GPE,spacy
2010_Mohale_GIS interpretation of NE Burkina Faso.txt,17,"The  Birimian  Bouroum-Yalogo  greenstone  belt  is  a  Y-shaped  terrane  located  between  large 
Eburnean  granitoid  batholiths  200  km  northeast  of  Ouagadougou  (Ducellier  1963). It  consists  of:  (1) 
metagranites,  metagabbro-diorites  and  metaquartzite  of  the  Bamga  series  (Hottin  and  Ouedraogo  1976; 
Sawadogo 1983; Zonou, 1987) interpreted as early Birimian and dated at 2. 18 Ga (Boher et al. 1992); (2) 
overlying  mafic  lava  flows  and  pillow  lavas  (Zonou  et  al.,1985)  with  associated  pyroclastites, 
volcaniclastic rocks and immature sediments  mainly at lower levels and calc-alkaline andesite, dacite and 
lamprophyre  at  upper  levels,  all  affected  by  a  greenschist-facies  metamorphism;  and  (3)  basic  to 
intermediate plutons later emplaced. Markoye Shear zone 
In  the  NE  Burkina  Faso  the  Palaeoproterozoic  Birimian  Domain  of  the  West  African  Craton  is 
crosscut by the NE-trending Markoye Shear Zone (MSZ) which is a first crustal scale structure. The MSZ 
marks  the  western  boundary  of  the  Oudalan-Gorouol  Greenstone  Belt  which  extends  into  the  Niger 
17",Sawadogo,GPE,spacy
2010_Mohale_GIS interpretation of NE Burkina Faso.txt,17,"The  Birimian  Bouroum-Yalogo  greenstone  belt  is  a  Y-shaped  terrane  located  between  large 
Eburnean  granitoid  batholiths  200  km  northeast  of  Ouagadougou  (Ducellier  1963). It  consists  of:  (1) 
metagranites,  metagabbro-diorites  and  metaquartzite  of  the  Bamga  series  (Hottin  and  Ouedraogo  1976; 
Sawadogo 1983; Zonou, 1987) interpreted as early Birimian and dated at 2. 18 Ga (Boher et al. 1992); (2) 
overlying  mafic  lava  flows  and  pillow  lavas  (Zonou  et  al.,1985)  with  associated  pyroclastites, 
volcaniclastic rocks and immature sediments  mainly at lower levels and calc-alkaline andesite, dacite and 
lamprophyre  at  upper  levels,  all  affected  by  a  greenschist-facies  metamorphism;  and  (3)  basic  to 
intermediate plutons later emplaced. Markoye Shear zone 
In  the  NE  Burkina  Faso  the  Palaeoproterozoic  Birimian  Domain  of  the  West  African  Craton  is 
crosscut by the NE-trending Markoye Shear Zone (MSZ) which is a first crustal scale structure. The MSZ 
marks  the  western  boundary  of  the  Oudalan-Gorouol  Greenstone  Belt  which  extends  into  the  Niger 
17",Zonou,GPE,spacy
