filename,page,mention,location,label,source
2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt,4,"The  Essakane  gold  mine  and  Tambão  manganese  deposit  are  situated  approximately 
20km ESE and 40km NNE of the field area, respectively, and similar styles of mineralisation 
may occur in the field area. 1.2 Location and physiography 
The KEMB is located in the northeast of Burkina Faso, approximately 275km to the northeast 
of Ouagadougou and east of the town of Gorom Gorom (Fig. 1.1a & 1.1b). 3",Burkina Faso,GPE,spacy
2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt,4,"The  Essakane  gold  mine  and  Tambão  manganese  deposit  are  situated  approximately 
20km ESE and 40km NNE of the field area, respectively, and similar styles of mineralisation 
may occur in the field area. 1.2 Location and physiography 
The KEMB is located in the northeast of Burkina Faso, approximately 275km to the northeast 
of Ouagadougou and east of the town of Gorom Gorom (Fig. 1.1a & 1.1b). 3",Ouagadougou,GPE,spacy
2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt,5,"STUDY AREA 
a. Road to Markoye 
N 
Kel Enguef 
Kel Enguef metamorphic belt 
1 km 
b. Road to Dori 
Figure 1.1: a) Location of field area within Burkina Faso with surrounding greenstone belts and major shears 
indicated (after Tshibubudze et al., 2009). b) Satellite image of the field area in relation to Gorom Gorom. Indicated 
on the image is the location of Kel Enguef and the main roads in the area. (Google Earth) 
4",Google Earth,LOC,spacy
2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt,6,"The  field  area,  which  is  approximately  30km2,  hosts  two  east-west  trending  ridges  that 
expose a portion of the KEMB  (Fig. 1.1b). The  UTM coordinates of the extent of the field 
area  are:    30  P  (Northern  Hemisphere)  0805000  E,  1600000  N;  0805000  E,  1594000  N; 
0810000 E, 1594000 N; 0810000 E, 1600000 N. This region of Burkina Faso is situated in 
the Sahel, just south of the Sahara Desert. Climatic conditions are arid, that is very hot and 
dry. Field  work  was  carried  out  in  January  which  is  the  coolest  time  of  the  year  although 
daily  temperatures  exceeded  30  ⁰C.",Northern Hemisphere,LOC,spacy
2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt,6,"The  field  area,  which  is  approximately  30km2,  hosts  two  east-west  trending  ridges  that 
expose a portion of the KEMB  (Fig. 1.1b). The  UTM coordinates of the extent of the field 
area  are:    30  P  (Northern  Hemisphere)  0805000  E,  1600000  N;  0805000  E,  1594000  N; 
0810000 E, 1594000 N; 0810000 E, 1600000 N. This region of Burkina Faso is situated in 
the Sahel, just south of the Sahara Desert. Climatic conditions are arid, that is very hot and 
dry. Field  work  was  carried  out  in  January  which  is  the  coolest  time  of  the  year  although 
daily  temperatures  exceeded  30  ⁰C.",Sahara Desert,LOC,spacy
2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt,30,"5.1 Unit descriptions 
Amphibolite 
Amphibolite  samples  consist  of  fine-grained  and  equigranular  minerals  up  to  0.3  mm  (Fig. 5.1). The  amphibolite  is  dominated  by  quartz  and  hornblende,  with  plagioclase  in  low 
concentrations. Mineral  proportions  of  the  whole  rock  are  approximately  hornblende:  54%; 
quartz: 40% and plagioclase 6%. The amphibolite is host to a compositional banding texture 
which is exhibited by the presence of compositional banding. Banding comprises hornblende- 
and quartz-rich bands.",Banding,GPE,spacy
2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt,43,"7.3). Thus subsidence and burial to suitable depth, by some or other process, 
would have resulted in the formation in the facies observed by regional metamorphism. Figure 7.3: Metamorphic facies and geothermal gradients (Nelson, 2003) 
Features  within  the  metamorphic  rock  assist  in  determining  how  metamorphism  occurred. The  greenschist  contains  bedding  parallel  foliation  which  is  defined  by  the  elongation  and 
alignment of quartz crystals and microcrystalline anastomosing zones, possibly representative 
of  where  pressure  solution  may  have  also  occurred. Deformation  to  crystals  appears  to  be 
axial  which  is  indicated  by  the  absence  of  shearing  and  rotation  of  crystals. Undulose 
extinction, grain elongation defining a foliation and recrystallisation, all exhibited by quartz 
crystals, are produced at low to moderate temperatures and pressures (Vernon, 1976; Vernon 
&  Clarke,  2008).",Clarke,GPE,spacy
2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt,47,"Another process by which a migmatite can form is during metasomatism (Sawyer, 2008). The 
presence of fluids is known to act as a flux and thus can reduce the melting temperature (Fig. 7.4) by changing the solidus (Ashworth, 1985;Sawyer, 2008; Vernon and Clarke, 2008). Fluid interaction, to induce melting, can take place in two ways: 
1. Metasomatism  before  melting  (Sawyer,  2008). The  infiltration  of  metasomatic 
fluids  from  an  outside  source  involves  the  enrichment  of  the  rock  by  improving 
the  rock  fertility  (Vernon  and  Clarke,  2008)  thus  making  it  more  susceptible  to 
melting.",Vernon,GPE,spacy
2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt,47,"These zones of infiltration would have 
had  to  be  concentrated  and  localised. The  rapid  increase  of  temperature  in  pre-existing  hot 
conditions could have induced partial melting and dehydration of the rock. Migmatites from 
Saint-Malo, France, with a very similar mineral assemblage of muscovite-plagioclase-quartz 
leucosome and biotite-rich melanosome, are interpreted to have formed by the breakdown of 
muscovite (Sawyer, 2008). Although the Saint-Malo migmatites have been proposed to have 
formed  in  upper  amphibolite  facies,  the  presence  of  muscovite  in  the  metamorphosed  rock 
which formed the migmatite in KEMB would have been a source for more hydrous fluid. 46",Saint-Malo,LOC,spacy
2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt,47,"These zones of infiltration would have 
had  to  be  concentrated  and  localised. The  rapid  increase  of  temperature  in  pre-existing  hot 
conditions could have induced partial melting and dehydration of the rock. Migmatites from 
Saint-Malo, France, with a very similar mineral assemblage of muscovite-plagioclase-quartz 
leucosome and biotite-rich melanosome, are interpreted to have formed by the breakdown of 
muscovite (Sawyer, 2008). Although the Saint-Malo migmatites have been proposed to have 
formed  in  upper  amphibolite  facies,  the  presence  of  muscovite  in  the  metamorphosed  rock 
which formed the migmatite in KEMB would have been a source for more hydrous fluid. 46",France,GPE,spacy
2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt,5,"STUDY AREA 
a. Road to Markoye 
N 
Kel Enguef 
Kel Enguef metamorphic belt 
1 km 
b. Road to Dori 
Figure 1.1: a) Location of field area within Burkina Faso with surrounding greenstone belts and major shears 
indicated (after Tshibubudze et al., 2009). b) Satellite image of the field area in relation to Gorom Gorom. Indicated 
on the image is the location of Kel Enguef and the main roads in the area. (Google Earth) 
4",Dori,GEO,geotext
2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt,8,"2. Geology setting 
2.1 Regional geology and tectonics 
The West African Craton is composed of Palaeoproterozoic rocks of the Birimian Supergroup 
(Feybesse et  al.,  2006; Hein,  2010) and Tarkwa Group (Davis  et  al.,  1994)  as  well as  calc-
alkaline plutons which include tonalite-trondjhemite-granodiorite and diorite intrusions which 
intrude the Palaeoproterozoic stratigraphy (Pons et al., 1995; Naba et al., 2004 Hein, 2010). The Birimian Supergroup is dominated by metamorphosed sedimentary, volcano-sedimentary 
and  volcanic  sequences. The  meta-volcanic  sequences  in  the  Goren  greenstone  belt  and 
Boromo greenstone belt are at dated at 2238 ± 5 Ma and 2171 ± 7 Ma respectively (Castaing 
et  al.,  2003)  based  on  Pb-Pb  zircon  dating  from  rhyolites  within  the  belts. The 
metasedimentary  rocks  of  the  Birimian  Supergroup  comprise  mainly  metamorphosed 
volcaniclastics,  greywacke,  siltstone,  shale,  chemical  sediments  and  chert. The  younger 
Tarkwa  Group,  dated  at  2194–2132  Ma  from  U-Pb  detrital  zircons  (Davis  et  al.,  1994), 
comprises  clastic  sedimentary  rocks  derived  from  erosion  of  the  Birimian  Supergroup  of 
which it overlies unconformably (Hirdes et al., 1992 and Davis et al., 1994).",Tarkwa,GEO,geotext
2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt,9,"Specifically  the  Oudalan-Gorouol  Greenstone  Belt  has  undergone  greenschist-
facies  metamorphism  (Tshibubudze  et  al.,  2009). Regional  metamorphism  to  greenschist 
facies is associated to north-south crustal shortening during the Eburnean Orogeny (Vidal et 
al., 1996, Beziat et al., 2000, Hein et al., 2004 and Naba et al., 2004). Contact metamorphism 
of  these  rocks  occurred  due  to  the  emplacement  of  granitoids  which  include  granite-
adamellite,  granite  and  granodiorite  compositions  (Pons  et  al.,  1995;  Debat  et  al.,  2003; 
Tshibubudze et al., 2009). Metamorphism of the surrounding units to the granitoids occurred 
to  amphibolite-facies  (Pons  et  al.,  1995;  Tshibubudze  et  al.,  2009;  Tshibubudze  and  Hein, 
submitted)  and  granulite  facies  (Tshibubudze  and  Hein,  submitted).. Through  hornblende 
barometric estimates, shallow crust (3-4 kbar) emplacement of plutons has been established 
(Pons et al., 1992). Gold and manganese mineralisation as well as pegamatite veins are present in the Oudalan-
Gorouol  greenstone  belt  (Milési  et  al.,  1992;  Nikiéma,  1992;  Beauvais  et  al.,  2008 
Tshibubudze, et al., 2009; Tshibubudze and Hein, submitted).",Beauvais,GEO,geotext
2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt,10,"Samples  were  strategically  selected  for  thin  sections  and  polished  ore  blocks. An  initial  15 
samples were submitted to the Wits Geosciences Laboratory to be processed (14 thin sections 
and 1 polished ore block) in early March 2011. A further 25 samples were submitted to SGS 
for  thin  sections  and  XRD  (samples  with  economic  interest). Another  3  samples  were 
9",March,GEO,geotext
