filename,page,mention,location,label,source
2013_FUNYUFUNYU.txt,8,"Figure 1.2: Location of the study area in Burkina Faso, northeast of the capital city of Ouagadougou 
and 17 km northwest of the regional centre of Kaya. The study area is located near the village 
of Dem and west of the Lac (Lake) Dem in the Goren greenstone belt. Figure  1.3:  Photographs  of  the  elders  of  the  village  of  Liligomde  who  provided  the  ethnographic 
background to this study (a, b, e). Their information indicated that no artisanal mining for iron 
had taken place at Dem in their lifetimes. The senior elders ranged in age from 75-104 and they 
were  the  senior  blacksmiths  of  the  Chief  Naba  of  the  Mossi  people. Consequently,  it  can  be 
reasonably  assumed  that  the  Dem  site  is  older  than  80  years.",Burkina Faso,GPE,spacy
2013_FUNYUFUNYU.txt,8,"Figure 1.2: Location of the study area in Burkina Faso, northeast of the capital city of Ouagadougou 
and 17 km northwest of the regional centre of Kaya. The study area is located near the village 
of Dem and west of the Lac (Lake) Dem in the Goren greenstone belt. Figure  1.3:  Photographs  of  the  elders  of  the  village  of  Liligomde  who  provided  the  ethnographic 
background to this study (a, b, e). Their information indicated that no artisanal mining for iron 
had taken place at Dem in their lifetimes. The senior elders ranged in age from 75-104 and they 
were  the  senior  blacksmiths  of  the  Chief  Naba  of  the  Mossi  people. Consequently,  it  can  be 
reasonably  assumed  that  the  Dem  site  is  older  than  80  years.",Ouagadougou,GPE,spacy
2013_FUNYUFUNYU.txt,8,"Figure 1.2: Location of the study area in Burkina Faso, northeast of the capital city of Ouagadougou 
and 17 km northwest of the regional centre of Kaya. The study area is located near the village 
of Dem and west of the Lac (Lake) Dem in the Goren greenstone belt. Figure  1.3:  Photographs  of  the  elders  of  the  village  of  Liligomde  who  provided  the  ethnographic 
background to this study (a, b, e). Their information indicated that no artisanal mining for iron 
had taken place at Dem in their lifetimes. The senior elders ranged in age from 75-104 and they 
were  the  senior  blacksmiths  of  the  Chief  Naba  of  the  Mossi  people. Consequently,  it  can  be 
reasonably  assumed  that  the  Dem  site  is  older  than  80  years.",Dem,GPE,spacy
2013_FUNYUFUNYU.txt,10,"By  and  large,  the 
purpose or use of these artefacts is not known. Figure 5.1: A. Transmitted light photomicrographs of siltstone from sample LD001 SN-114. Siltstone 
units  are  composed  of  quartz  (light  grey)  and  goethite  (black),  with  accessory  epidote  and 
sericite. B. Transmitted  light  photomicrographs  of  iron  rich  carbonaceous  shale  from  sample 
LD003  SN-116.",LD001,FAC,spacy
2013_FUNYUFUNYU.txt,12,"LIST OF TABLES 
Table  3.1:  The  characteristics  of  selected  samples  that  were  sent  to  the  laboratory  for  AMS 
radiocarbon dating. Table  6.1:  Results  of  samples  processed  and  calibrated  by  Beta  Analytic  using  the  Pretoria 
Calibration Procedure program (Talma and Vogel, 1993). Table 6.2: Radiocarbon ages from the study area, the dates have been calibrated with the INTCAL04 
Radiocarbon Age Calibration after Talma and Vogel (1993). 12",Pretoria,GPE,spacy
2013_FUNYUFUNYU.txt,12,"LIST OF TABLES 
Table  3.1:  The  characteristics  of  selected  samples  that  were  sent  to  the  laboratory  for  AMS 
radiocarbon dating. Table  6.1:  Results  of  samples  processed  and  calibrated  by  Beta  Analytic  using  the  Pretoria 
Calibration Procedure program (Talma and Vogel, 1993). Table 6.2: Radiocarbon ages from the study area, the dates have been calibrated with the INTCAL04 
Radiocarbon Age Calibration after Talma and Vogel (1993). 12",Vogel,GPE,spacy
2013_FUNYUFUNYU.txt,13,"ABSTRACT 
Artisanal and small-scale mining (ASM) has been a crucial industry in Africa for centuries. In 
Burkina  Faso  approximately  95  kms  northeast  of  the  capital  city  Ouagadougou  near  the  village  of 
Dem  and  on  a  ferricrete  capped  ridge  to  the  west  of  the  village,  it  is  possible  to  find  a  number  of 
opencast workings and underground mines that show evidence of extensive artisanal mining for iron. Iron mining worked quartz-vein hosted and lateritic ore. Nearby, waste piles, processing sites and at 
least  eleven  (11)  Bloomery  furnaces  are  exposed  on  the  alluvial  plain. Petrographically  the  ore 
bearing  rocks  consist  of  goethite-hematite  as  the  dominant  oxides  with  silica. Geological  and 
ethnographic  studies  conducted  in  2011  focussed  on  detailing  and  mapping  the  mine  site  and  host 
rocks  (including  ore  rocks),  and  establishing  the  age  of  mining,  processing  and  forging  of  ore.",Africa,LOC,spacy
2013_FUNYUFUNYU.txt,13,"Selected charcoal samples were collected from furnaces sites. Limited AMS radiocarbon dating of six 
(6)  samples  was  performed  at  Beta  Analytic  laboratory  in  Miami,  Florida,  USA  and  suggested  that 
iron  forging  may  have  begun  in  the  15th  century,  which  could  also  be  the  age  of  mining  and 
processing  of  ore. The  site  has  characteristics  such  as  impure  slag,  eleven  (11)  large  furnaces, 
hundreds  of  tuyeres,  and  crucibles,  and  clay  fragments. Remnant  slag  samples  were  collected  for 
petrographic and mineralogical study to deduce the mineral composition of the slag. The slag samples 
contained high concentration of fayalite, quartz, magnetite and hematite and low concentration of iron 
metal  and  ulvospinel  suggesting  an  iron  silicate  slag  of  low  melt  temperature  was  formed  in  the 
furnaces. 13",Miami,GPE,spacy
2013_FUNYUFUNYU.txt,13,"Selected charcoal samples were collected from furnaces sites. Limited AMS radiocarbon dating of six 
(6)  samples  was  performed  at  Beta  Analytic  laboratory  in  Miami,  Florida,  USA  and  suggested  that 
iron  forging  may  have  begun  in  the  15th  century,  which  could  also  be  the  age  of  mining  and 
processing  of  ore. The  site  has  characteristics  such  as  impure  slag,  eleven  (11)  large  furnaces, 
hundreds  of  tuyeres,  and  crucibles,  and  clay  fragments. Remnant  slag  samples  were  collected  for 
petrographic and mineralogical study to deduce the mineral composition of the slag. The slag samples 
contained high concentration of fayalite, quartz, magnetite and hematite and low concentration of iron 
metal  and  ulvospinel  suggesting  an  iron  silicate  slag  of  low  melt  temperature  was  formed  in  the 
furnaces. 13",Florida,GPE,spacy
2013_FUNYUFUNYU.txt,13,"Selected charcoal samples were collected from furnaces sites. Limited AMS radiocarbon dating of six 
(6)  samples  was  performed  at  Beta  Analytic  laboratory  in  Miami,  Florida,  USA  and  suggested  that 
iron  forging  may  have  begun  in  the  15th  century,  which  could  also  be  the  age  of  mining  and 
processing  of  ore. The  site  has  characteristics  such  as  impure  slag,  eleven  (11)  large  furnaces, 
hundreds  of  tuyeres,  and  crucibles,  and  clay  fragments. Remnant  slag  samples  were  collected  for 
petrographic and mineralogical study to deduce the mineral composition of the slag. The slag samples 
contained high concentration of fayalite, quartz, magnetite and hematite and low concentration of iron 
metal  and  ulvospinel  suggesting  an  iron  silicate  slag  of  low  melt  temperature  was  formed  in  the 
furnaces. 13",USA,GPE,spacy
