filename,page,mention,location,label,source
2013_Ramabulana_Sadiola Hill petrology.txt,5,"Abstract 
The Sadiola Hill deposit in Western Mali is located within the Kedougou-Kéniéba Inlier (KKI) which 
is part of the West African Craton. The deposit is situated within the Sadiola goldfield and comprises 
meta-sedimentary rocks and volcanic intrusions. The meta-sedimentary rocks are meta-greywacke and 
marble which have been metamorphosed to hornblende-hornfels and epidote-chlorite facies. The two 
facies are characteristic of contact metamorphism. The volcanic intrusions are tonalite-granodiorite 
and quartz-feldspar porphyry dykes which cross-cut the meta-sedimentary rocks. The dykes are part 
of the Sekokoto pluton (2083 ± 7 Ma) and are responsible for contact metamorphism in the meta-
sedimentary rocks.",Western Mali,LOC,spacy
2013_Ramabulana_Sadiola Hill petrology.txt,5,"Two main veins occur in the Sadiola deposit: (1) quartz-carbonate veins and (2) quartz-sulphide veins. The quartz-sulphide veins crosscut the quartz-carbonate veins forming an array of stockwork and 
spider veins. The host rocks contain a pervasive alteration assemblage (quartz-chlorite-carbonate-k-
spar-sulphide) with a more pervasive sericite alteration which encloses veins and is associated with 
mineralisation. Supergene processes decomposes pyrite to marcasite after vein formation. Mineralisation in the deposit occurs within and/or adjacent to quartz-carbonate and quartz sulphide 
veins. Two styles of mineralisation are present; (1) quartz-vein mineralisation were gold is 
concentrated in margins of pyrite and arsenopyrite, and in fractures and (2) a disseminated style were 
gold occurs as discrete grains in alteration zones.",Sadiola,GPE,spacy
2013_Ramabulana_Sadiola Hill petrology.txt,6,"Chapter 1: Introduction 
The Sadiola Hill gold mine is located within the Sadiola goldfield in the Kedougou-Kenieba inlier 
(KKI), which is part of the West African Craton (WAC) and is situated in western Mali. The Sadiola 
goldfield is located close to the Alamoutala-Sekokoto-Kakadian plutonic system and mineralisation 
has been shown to have a relationship with the tonalite-granodiorite plutons and diorite dykes. The 
goldfield also hosts the FE3, FE4, Timbabougouni mines, and FE2 and Tambali prospects. The 
relative association of mineralisation with highly deformed and metamorphosed rocks of the Birimian 
Supergroup makes it difficult to derive an ore genetic model. The model is important for regional and 
in-mine exploration, but also significant for understanding geologic evolution of the host rocks. A number of different ore genesis models have been proposed for Sadiola Hill deposit.",Sadiola Hill,LOC,spacy
2013_Ramabulana_Sadiola Hill petrology.txt,6,"Chapter 1: Introduction 
The Sadiola Hill gold mine is located within the Sadiola goldfield in the Kedougou-Kenieba inlier 
(KKI), which is part of the West African Craton (WAC) and is situated in western Mali. The Sadiola 
goldfield is located close to the Alamoutala-Sekokoto-Kakadian plutonic system and mineralisation 
has been shown to have a relationship with the tonalite-granodiorite plutons and diorite dykes. The 
goldfield also hosts the FE3, FE4, Timbabougouni mines, and FE2 and Tambali prospects. The 
relative association of mineralisation with highly deformed and metamorphosed rocks of the Birimian 
Supergroup makes it difficult to derive an ore genetic model. The model is important for regional and 
in-mine exploration, but also significant for understanding geologic evolution of the host rocks. A number of different ore genesis models have been proposed for Sadiola Hill deposit.",Kedougou-Kenieba,FAC,spacy
2013_Ramabulana_Sadiola Hill petrology.txt,6,"These have 
included epithermal, Carlin-type, Skarn, thermal aureole and mesothermal models. The wide variety 
of models was a consequence of the relative absence of fresh sulphide mineralisation for study 
(Boshoff et al., 1998) in the early days of mine development. However, the favoured models included 
the intrusion-related model proposed by Theron (1997) and Hein and Tshibubudze (2007a,b; 2008) 
and a structurally controlled shear zone or mesothermal genetic model proposed by Hanssen et al. (2008). The two styles can occur in similar tectonic settings but they differ in the source of 
mineralising fluids, minerals and metals associated with mineralisation (indicators). The intrusion 
related style refers to deposits that are hosted mainly within and/or in varied distances around 
individual intrusions in plutonic provinces (Lang and Baker, 2000).",Carlin,GPE,spacy
2013_Ramabulana_Sadiola Hill petrology.txt,6,"The 
deposits are characterized by shear fabrics that are associated with sulphide mineralisation. The Sadiola deposit is unique in West Africa as most of the deposits are structurally controlled (e.g. Ashanti in Ghana; Essakane in Burkina Faso; Tongon in Cote d’Ivoire, and others), but it shows 
similarities with the Morila gold mine in southern Mali which is an intrusion-related deposit 
(McFarlane et al. 2012).",West Africa,GPE,spacy
2013_Ramabulana_Sadiola Hill petrology.txt,6,"The 
deposits are characterized by shear fabrics that are associated with sulphide mineralisation. The Sadiola deposit is unique in West Africa as most of the deposits are structurally controlled (e.g. Ashanti in Ghana; Essakane in Burkina Faso; Tongon in Cote d’Ivoire, and others), but it shows 
similarities with the Morila gold mine in southern Mali which is an intrusion-related deposit 
(McFarlane et al. 2012).",Ghana,GPE,spacy
2013_Ramabulana_Sadiola Hill petrology.txt,6,"The 
deposits are characterized by shear fabrics that are associated with sulphide mineralisation. The Sadiola deposit is unique in West Africa as most of the deposits are structurally controlled (e.g. Ashanti in Ghana; Essakane in Burkina Faso; Tongon in Cote d’Ivoire, and others), but it shows 
similarities with the Morila gold mine in southern Mali which is an intrusion-related deposit 
(McFarlane et al. 2012).",Burkina Faso,GPE,spacy
2013_Ramabulana_Sadiola Hill petrology.txt,6,"The 
deposits are characterized by shear fabrics that are associated with sulphide mineralisation. The Sadiola deposit is unique in West Africa as most of the deposits are structurally controlled (e.g. Ashanti in Ghana; Essakane in Burkina Faso; Tongon in Cote d’Ivoire, and others), but it shows 
similarities with the Morila gold mine in southern Mali which is an intrusion-related deposit 
(McFarlane et al. 2012).",Tongon,GPE,spacy
2013_Ramabulana_Sadiola Hill petrology.txt,7,"The main focus of this project has therefore been to derive an ore genesis model for the Sadiola Hill 
gold deposit by contrasting the intrusion related style hypothesis proposed for the deposit by Theron 
(1997) with the shear-hosted style hypothesis proposed by Hanssen et al. (1998) using petrographic 
analysis. The features which will characterise the Sadiola Hill gold deposit (i.e. indicator minerals, 
alteration assemblage and mineral textures) will be used to contrast the two models and to establish a 
likely model for the deposit. 1.2 Location and Physiography 
The Sadiola Hill gold mine is situated in the Sadiola goldfield, in western Mali at about 77km south of 
the regional capital, Kayes, near the international border of Mali with Senegal (Fig.1). Mali is a 
landlocked country bordered by Niger to the east, Burkina Faso to the east, Algeria to the north, and 
Senegal and Mauritania to the west in the West African Savannah-Sahel region 
(Geographia.com/Mali).",Physiography,GPE,spacy
