filename,page,mention,location,label,source
2015_LeBrun_Siguiri.txt,5,"ABSTRACT 
The West African Craton hosts some of the biggest gold deposits in the world such as 
Obuasi,  Sadiola,  Morila  or  Siguiri. However,  the  Craton  is  still  largely  unexplored  and  its 
formation,  evolution  and  how  and  when  the  gold  deposits  it  hosts  developed  during  the 
Eburnean  orogeny  remain  unclear. The  Siguiri  district  is  one  of  West  Africa's  largest 
Paleoproterozoic  sedimentary  basins  and  sits  in  the  northern  part  of  the  Siguiri  Basin. The 
district and its hosting Basin have received limited attention from the scientific community to 
date. This  thesis  makes  use  of  a  multi-scale  and  multi-disciplinary  approach  in  order  to 
constrain the evolution of the  Siguiri district and Siguiri Basin architecture and hydrothermal 
activity through time. The objective is to provide the backbone of future exploration strategies 
for orogenic gold deposits in the Siguiri Basin and, potentially, in the rest of the West African 
Craton.",Sadiola,GPE,spacy
2015_LeBrun_Siguiri.txt,5,"ABSTRACT 
The West African Craton hosts some of the biggest gold deposits in the world such as 
Obuasi,  Sadiola,  Morila  or  Siguiri. However,  the  Craton  is  still  largely  unexplored  and  its 
formation,  evolution  and  how  and  when  the  gold  deposits  it  hosts  developed  during  the 
Eburnean  orogeny  remain  unclear. The  Siguiri  district  is  one  of  West  Africa's  largest 
Paleoproterozoic  sedimentary  basins  and  sits  in  the  northern  part  of  the  Siguiri  Basin. The 
district and its hosting Basin have received limited attention from the scientific community to 
date. This  thesis  makes  use  of  a  multi-scale  and  multi-disciplinary  approach  in  order  to 
constrain the evolution of the  Siguiri district and Siguiri Basin architecture and hydrothermal 
activity through time. The objective is to provide the backbone of future exploration strategies 
for orogenic gold deposits in the Siguiri Basin and, potentially, in the rest of the West African 
Craton.",West Africa's,GPE,spacy
2015_LeBrun_Siguiri.txt,5,"ABSTRACT 
The West African Craton hosts some of the biggest gold deposits in the world such as 
Obuasi,  Sadiola,  Morila  or  Siguiri. However,  the  Craton  is  still  largely  unexplored  and  its 
formation,  evolution  and  how  and  when  the  gold  deposits  it  hosts  developed  during  the 
Eburnean  orogeny  remain  unclear. The  Siguiri  district  is  one  of  West  Africa's  largest 
Paleoproterozoic  sedimentary  basins  and  sits  in  the  northern  part  of  the  Siguiri  Basin. The 
district and its hosting Basin have received limited attention from the scientific community to 
date. This  thesis  makes  use  of  a  multi-scale  and  multi-disciplinary  approach  in  order  to 
constrain the evolution of the  Siguiri district and Siguiri Basin architecture and hydrothermal 
activity through time. The objective is to provide the backbone of future exploration strategies 
for orogenic gold deposits in the Siguiri Basin and, potentially, in the rest of the West African 
Craton.",Basin,GPE,spacy
2015_LeBrun_Siguiri.txt,5,"ABSTRACT 
The West African Craton hosts some of the biggest gold deposits in the world such as 
Obuasi,  Sadiola,  Morila  or  Siguiri. However,  the  Craton  is  still  largely  unexplored  and  its 
formation,  evolution  and  how  and  when  the  gold  deposits  it  hosts  developed  during  the 
Eburnean  orogeny  remain  unclear. The  Siguiri  district  is  one  of  West  Africa's  largest 
Paleoproterozoic  sedimentary  basins  and  sits  in  the  northern  part  of  the  Siguiri  Basin. The 
district and its hosting Basin have received limited attention from the scientific community to 
date. This  thesis  makes  use  of  a  multi-scale  and  multi-disciplinary  approach  in  order  to 
constrain the evolution of the  Siguiri district and Siguiri Basin architecture and hydrothermal 
activity through time. The objective is to provide the backbone of future exploration strategies 
for orogenic gold deposits in the Siguiri Basin and, potentially, in the rest of the West African 
Craton.",Siguiri Basin,LOC,spacy
2015_LeBrun_Siguiri.txt,5,"Fieldwork was undertaken in eleven deposits of the Siguiri district. Particular attention 
was  given  to  the  Sintroko  PB1,  Kosise,  Kami,  Bidini  and  Sanu  Tinti  deposits  due  to  their 
structural  complexity,  lithostratigraphic  position,  outcropping  conditions  and  accessibility. Work  was  focused  on  structural  mapping,  lithofacies  recognition,  core  logging,  geochemical 
sampling, GIS and 3D modelling. In addition to the data collected in the Siguiri district, regional 
fieldwork was also carried out in the rest of the Siguiri Basin for geochronological sampling and 
regional mapping. Regional  and  district  scale  geochronological  sampling  and  lithofacies  observations 
indicate  that  the  central  Siguiri  Basin  is  of  Lower  Tarkwa  Group  age  (ca. 2015  Ma)  and 
deposited  late  during  the  Eburnean  orogeny.",Kami,GPE,spacy
2015_LeBrun_Siguiri.txt,7,"was  first  found  to  be  associated  with  early  ankerite-pyrite  veins,  developed  late  during  D3S 
deformation. In  these  veins,  LA-ICP-MS  data  shows  that  gold  is  locked  in  the  pyrite  crystal 
lattice. The second and main episode of mineralisation also occurs late during D3S deformation 
and is associated with the later quartz-ankerite-arsenopyrite-(pyrite) veins, which crosscut the 
early  ankerite-pyrite  veins  and  are  coeval  with  pyrite  dissemination  in  conglomerate  layers. Gold is either found native in the veins or invisible and locked in the vein-hosted arsenopyrite 
crystal  lattice. The  last  gold  event  is  associated  with  the  D4S  deformation,  which  fractures 
previously  developed  sulphides  and  precipitate  free  gold  in  their  fractures. The  geochemical 
footprint  of  gold mineralisation  in  the  Siguiri  district  was  recognised  to  be  associated  with a 
wide halo of at least fifteen meters, enriched in: Ag, Au, As, Bi, Co, LOI, Mo, Sb, Se, SO3, Te and 
W, typical of orogenic gold mineralisation.","Se, SO3",GPE,spacy
2015_LeBrun_Siguiri.txt,16,"(DEPOSIT  CROSS-SECTIONS  IN  FIGURE  18). INTERPRETED  CONFORMABLE  CONTACTS  ARE  SYMBOLIZED  BY  FULL  BLACK 
LINES, UNCONFORMABLE AND UNKNOWN CONTACTS BY DASHED LINES. 108 
FIGURE  18:  DETAILED  STRUCTURAL  FORM  LINE  MAPS  OF  THE  A)  BIDINI  AND  SANU  TINTI  DEPOSITS;  B)  KAMI  DEPOSIT;  C) 
KOSISE  DEPOSIT,  AND;  D)  SINTROKO  PB1  DEPOSIT. EACH  MAP  IS  ACCOMPANIED  BY  THE  DEPOSIT  CROSS-SECTION, 
DENOTED  IN  RED  LETTERS. DAMAGE  ZONES,  DISTINCT  AND  INCIPIENT  STRUCTURES  ARE  ALL  REPRESENTED  BY  A  THICK 
BLACK LINE. 113 
FIGURE  19:  PHOTOGRAPHS  OF  FOLDS  FROM  THE  SIGUIRI  DISTRICT  WITH  CORRESPONDING  STEREOGRAMS  OF  STRUCTURAL 
DATA.",Deposits,GPE,spacy
2015_LeBrun_Siguiri.txt,16,"ON THE PHOTOGRAPHS, BEDDING IS REPRESENTED BY FULL BLACK LINES, FOLD AXIAL PLANES BY SHORT-DASHED 
BLACK  LINES  AND  SHEAR  ZONE  BOUNDARIES  BY  LONG-DASHED  BLACK  LINES. IN  THE  STEREOGRAMS,  BEDDING  IS 
REPRESENTED BY BLACK POLES OR FULL BLACK GREAT CIRCLES, CONSTRUCTED FOLD AXIAL PLANES ARE REPRESENTED BY 
DASHED  BLACK  GREAT  CIRCLES  AND  CONSTRUCTED  FOLD  AXES  ARE  IN  YELLOW. FROM  TOP-LEFT  TO  BOTTOM  RIGHT: 
RECUMBENT  F1S  FOLDS  FROM  A)  BIDINI  (THE  TRACE  OF  THE  OBSERVED  AXIAL  PLANAR  S1S  CLEAVAGE  IS  ALSO 
REPRESENTED)  AND  B)  EUREKA  NORTH;  C)  F2S  FOLD  IN  BIDINI;  D)  THE  KOZAN  F2S  SYNCLINE,  THOUGHT  TO  BE 
STRUCTURALLY ADJACENT TO THE KOSISE F2S SYNCLINE; E) UPRIGHT F2S FOLD WITH STEEPLY PLUNGING FOLD AXIS FROM 
SINTROKO  PB1. NOTE  THE  CONSISTENT  ORIENTATION  OF  THE  VEINS  MINED  BY  LOCALS  (VERTICAL  CAVITIES  IN  WALL) 
AND  THE  RHEOLOGICAL  CONTROL  ON  MINERALIZATION  (SEAL  CAP  OF  SHALES,  IN  DARK  GREY,  WITH  STRONG  VEINING 
RESTRICTED TO UNDERLYING SANDSTONES). 114 
FIGURE 20: PHOTOGRAPHS OF THE DIFFERENT VEIN GENERATIONS OBSERVED IN SIGUIRI. A) EN-ECHELON BARREN QUARTZ V2S 
VEINS.",Recumbent,GPE,spacy
2015_LeBrun_Siguiri.txt,16,"ON THE PHOTOGRAPHS, BEDDING IS REPRESENTED BY FULL BLACK LINES, FOLD AXIAL PLANES BY SHORT-DASHED 
BLACK  LINES  AND  SHEAR  ZONE  BOUNDARIES  BY  LONG-DASHED  BLACK  LINES. IN  THE  STEREOGRAMS,  BEDDING  IS 
REPRESENTED BY BLACK POLES OR FULL BLACK GREAT CIRCLES, CONSTRUCTED FOLD AXIAL PLANES ARE REPRESENTED BY 
DASHED  BLACK  GREAT  CIRCLES  AND  CONSTRUCTED  FOLD  AXES  ARE  IN  YELLOW. FROM  TOP-LEFT  TO  BOTTOM  RIGHT: 
RECUMBENT  F1S  FOLDS  FROM  A)  BIDINI  (THE  TRACE  OF  THE  OBSERVED  AXIAL  PLANAR  S1S  CLEAVAGE  IS  ALSO 
REPRESENTED)  AND  B)  EUREKA  NORTH;  C)  F2S  FOLD  IN  BIDINI;  D)  THE  KOZAN  F2S  SYNCLINE,  THOUGHT  TO  BE 
STRUCTURALLY ADJACENT TO THE KOSISE F2S SYNCLINE; E) UPRIGHT F2S FOLD WITH STEEPLY PLUNGING FOLD AXIS FROM 
SINTROKO  PB1. NOTE  THE  CONSISTENT  ORIENTATION  OF  THE  VEINS  MINED  BY  LOCALS  (VERTICAL  CAVITIES  IN  WALL) 
AND  THE  RHEOLOGICAL  CONTROL  ON  MINERALIZATION  (SEAL  CAP  OF  SHALES,  IN  DARK  GREY,  WITH  STRONG  VEINING 
RESTRICTED TO UNDERLYING SANDSTONES). 114 
FIGURE 20: PHOTOGRAPHS OF THE DIFFERENT VEIN GENERATIONS OBSERVED IN SIGUIRI. A) EN-ECHELON BARREN QUARTZ V2S 
VEINS.",S1S,GPE,spacy
2015_LeBrun_Siguiri.txt,16,"THE  PROJECTED  POLES  FROM  THE  ENTIRE  KOSISE  DEPOSIT  OF  BEDDING,  V2S  BEDDING-PARALLEL  AND  V2S  EN-
ECHELON  VEINS,  HIGHLIGHT  THAT  ORIENTATIONS  AND  SIGMOIDAL  CHARACTER  OF  V2S  VEINS  ARE  CONSISTENT  WITH 
THEIR FORMATION BY FLEXURAL SLIP ALONG BEDDING DURING F2S FOLDING. IN THE EQUAL AREA STEREONET/SCHMIDT 
PROJECTION  STEREOGRAM,  BEDDING  IS  REPRESENTED  BY  BLACK  POLES,  THE  CONSTRUCTED  FOLD  AXIAL  PLANE  IS 
REPRESENTED BY A DASHED BLACK GREAT CIRCLE AND THE CONSTRUCTED FOLD AXIS BY A LARGE YELLOW DISK. BEDDING-
PARALLEL VEINS ARE REPRESENTED BY ORANGE POLES, EN-ECHELON ARE IN PURPLE; B) GOLD BEARING ANKERITE-PYRITE 
V3A  VEINS  DEVELOPED  AS  A  BRECCIATED  VEIN. IN  THE  EQUAL  AREA  STEREONET/SCHMIDT  PROJECTION  STEREOGRAM, 
V3A POLES ARE IN YELLOW AND A GREAT CIRCLE WAS CONSTRUCTED IN BLUE FROM THEIR AVERAGE ORIENTATIONS; C) 
SHALLOW  V3B  VEIN  CUTTING  ACROSS  MULTIPLE  ANKERITE-PYRITE  V3A  VEINS;  D)  STEEP  QUARTZ-ANKERITE  V3B 
16",Stereogram,GPE,spacy
2015_LeBrun_Siguiri.txt,17,"MINERALIZED VEINS WITH ARSENOPYRITE CRYSTAL HALO. THE ARSENOPYRITE TYPICALLY CRYSTALLIZES ALONG THE EDGES 
OF  THE  VEIN  OR  IN  THE  HOST  ROCK  AROUND,  BUT  RARELY  IN  THE  VEIN  ITSELF. THE  VEIN  TO  THE  LEFT  DISPLAYS  A 
UNITAXIAL GEOMETRY, CHARACTERISTIC  OF THE  CRACK-SEAL GROWTH MECHANISM (PASSCHIER  AND TROUW, 2005). BOTH  VEINS  ARE  REPRESENTED  AS  RED  GREAT  CIRCLES  IN  THE  EQUAL  ANGLE  STEREONET/WULFF  PROJECTION 
STEREOGRAM; E) VISIBLE GOLD IN A QUARTZ-ANKERITE V3B MINERALIZED VEIN. 115 
FIGURE 21: PHOTOGRAPHS  OF  CONJUGATE V3B  VEIN  SETS. FROM  TOP  LEFT  TO  BOTTOM  RIGHT: A) SANU TINTI  EXTENSION 
DEPOSIT; B) BIDINI (WITH SUB-HORIZONTAL BEDDING, IN BLACK); C) SEGUELEN AND; D) SINTROKO PB1 DEPOSIT.",Circles,GPE,spacy
2015_LeBrun_Siguiri.txt,17,"E) CORE  FROM  THE BIDINI  DEPOSIT  DISPLAYING 
METER-WIDE  CARBONATE  ALTERATION  HALOES  (BLEACHED)  AROUND  V3B  VEINS;  F)  MICROPHOTOGRAPH  OF  A  SANU 
TINTI  DISSEMINATED  PYRITE. FREE  GOLD  IS  ASSOCIATED  WITH  CHALCOPYRITE  AND  DISPLAYS  TRIANGULAR  TEXTURES 
CHARACTERISTIC OF INFILL CRYSTALLIZATION (TAYLOR, 2010). G) PLAN VIEW OF C/C' STRUCTURES AFFECTING THE S4S 
17",Alteration,GPE,spacy
2015_LeBrun_Siguiri.txt,20,"173 
FIGURE 36: LOG OF HOLE BDRCDD009 (LOCATION MAP ON FIGURE 34). THE LOG HAS BEEN OVERTURNED TO ACCOUNT FOR 
THE  STRATIGRAPHY,  THE KINTINIAN  FORMATION  BEING  YOUNGER  THAN  THE FATOYA  FORMATION (LEBRUN  ET  AL.,  IN 
REVIEW 2015B; CHAPTER 2). THE ALTERATION INTENSITY SECTION DISPLAYS CARBONATE ALTERATION IN LIGHT BROWN 
AND ALBITISATION IN LIGHT PINK. WAY-UP INDICATORS IN RED ARE BASED ON GRADED BEDDING RIPPLE MARKS AND RIP-
UP CLASTS. POSITION  OF THE COLLECTED SAMPLES REPORTED AS COLOURED DISKS (CONGLOMERATE SAMPLES IN RED, 
SHALE IN BLUE AND GREYWACKE IN ORANGE). 174 
FIGURE 37: PHOTOGRAPHS OF THE MAIN STRUCTURAL ELEMENTS FROM THE BIDINI AND SANU TINTI DEPOSITS.",RED,GPE,spacy
2015_LeBrun_Siguiri.txt,20,"E) CLOSE-UP PHOTOGRAPH 
OF THE POLYMICT CONGLOMERATE FROM THE KINTINIAN FORMATION FOUND BELOW THE BIDINI DEPOSIT AND IN THE 
SANU TINTI  DEPOSIT. F) STRUCTURAL  CONTACT  (FAULT)  BETWEEN  THE KINTINIAN  AND FATOYA FORMATIONS  IN  THE 
SANU TINTI DEPOSIT. 175 
FIGURE  38:  MICROPHOTOGRAPHS  OF  A)  SIDERITE  NODULES  BEING  PSEUDOMORPHOSED  BY  V3B  PYRITE;  B)  A  V3B 
ARSENOPYRITE  FRACTURED  AND  SHOWING  GOLD-CHALCOPYRITE-(GALENA)  INFILLS;  C)  SANU  TINTI  STYLE  V3B  PYRITE 
FRACTURED  AND  SHOWING  GOLD-CHALCOPYRITE  INFILLS;  D)  SANU  TINTI  STYLE  V3B  PYRITE  OVERPRINTED  BY 
CHALCOPYRITE  VEINLETS;  E)  V3B  ARSENOPYRITE  SHOWING  QUARTZ  STRAIN  FRINGES  ASSOCIATED  WITH  THE 
DEVELOPMENT  OF  THE  S4S  PENETRATIVE  CLEAVAGE. THIS  CLEAVAGE  IS  ALSO  RESPONSIBLE  FOR  THE  PREFERENTIAL 
ORIENTATION OF THE SERICITE AND THE STRAIN SHADOWS DEVELOPING AROUND THE SIDERITE NODULES; F) COEVAL V3A 
20",Kintinian,GPE,spacy
