filename,page,mention,location,label,source
2015_Masurel_phd.txt,3,"A vous Maman, Papa, Manon, Arthur 
“Happiness is only real when shared” 
(Christopher Johnson McCandless, Into the wild) 
iii",Manon,GPE,spacy
2015_Masurel_phd.txt,5,"Abstract 
The  Paleoproterozoic  belts  of  West  Africa  are  the  fastest-growing  gold 
production 
in 
the  world. The  Kédougou-Kénieba 
inlier  (KKI)  represents 
the 
westernmost  exposure  of  Paleoproterozoic  crust  in  the  West  African  Craton,  with 
outcrops in western Mali and eastern Senegal. The KKI is an emerging world-class gold 
province (>40 Moz, cumulative past production and resources), threatening the premier 
position of Ghana in West African gold production. The inlier hosts a number of world-
class  gold  mining  districts  that  are  located  along  regional-scale  shear  zones. Recent 
discoveries  in  the  inlier  have  triggered  a  real  need  for  understanding  the  controls  on 
gold  mineral  system  location  and  ore  shoot  geometry  in  order  to  improve  Brownfield 
and  Greenfield  exploration  strategies. Through  a  multiscale  and  multidisciplinary 
approach  including  structural  geology,  petrography,  geochemistry  and  geochronology, 
this  work  presents  the  first  integrated  study  of  gold  mineralisation  in  the  world-class 
Sadiola-Yatela district.",West Africa,GPE,spacy
2015_Masurel_phd.txt,5,"Abstract 
The  Paleoproterozoic  belts  of  West  Africa  are  the  fastest-growing  gold 
production 
in 
the  world. The  Kédougou-Kénieba 
inlier  (KKI)  represents 
the 
westernmost  exposure  of  Paleoproterozoic  crust  in  the  West  African  Craton,  with 
outcrops in western Mali and eastern Senegal. The KKI is an emerging world-class gold 
province (>40 Moz, cumulative past production and resources), threatening the premier 
position of Ghana in West African gold production. The inlier hosts a number of world-
class  gold  mining  districts  that  are  located  along  regional-scale  shear  zones. Recent 
discoveries  in  the  inlier  have  triggered  a  real  need  for  understanding  the  controls  on 
gold  mineral  system  location  and  ore  shoot  geometry  in  order  to  improve  Brownfield 
and  Greenfield  exploration  strategies. Through  a  multiscale  and  multidisciplinary 
approach  including  structural  geology,  petrography,  geochemistry  and  geochronology, 
this  work  presents  the  first  integrated  study  of  gold  mineralisation  in  the  world-class 
Sadiola-Yatela district.",Kédougou-Kénieba,FAC,spacy
2015_Masurel_phd.txt,5,"Abstract 
The  Paleoproterozoic  belts  of  West  Africa  are  the  fastest-growing  gold 
production 
in 
the  world. The  Kédougou-Kénieba 
inlier  (KKI)  represents 
the 
westernmost  exposure  of  Paleoproterozoic  crust  in  the  West  African  Craton,  with 
outcrops in western Mali and eastern Senegal. The KKI is an emerging world-class gold 
province (>40 Moz, cumulative past production and resources), threatening the premier 
position of Ghana in West African gold production. The inlier hosts a number of world-
class  gold  mining  districts  that  are  located  along  regional-scale  shear  zones. Recent 
discoveries  in  the  inlier  have  triggered  a  real  need  for  understanding  the  controls  on 
gold  mineral  system  location  and  ore  shoot  geometry  in  order  to  improve  Brownfield 
and  Greenfield  exploration  strategies. Through  a  multiscale  and  multidisciplinary 
approach  including  structural  geology,  petrography,  geochemistry  and  geochronology, 
this  work  presents  the  first  integrated  study  of  gold  mineralisation  in  the  world-class 
Sadiola-Yatela district.",Senegal,GPE,spacy
2015_Masurel_phd.txt,5,"Abstract 
The  Paleoproterozoic  belts  of  West  Africa  are  the  fastest-growing  gold 
production 
in 
the  world. The  Kédougou-Kénieba 
inlier  (KKI)  represents 
the 
westernmost  exposure  of  Paleoproterozoic  crust  in  the  West  African  Craton,  with 
outcrops in western Mali and eastern Senegal. The KKI is an emerging world-class gold 
province (>40 Moz, cumulative past production and resources), threatening the premier 
position of Ghana in West African gold production. The inlier hosts a number of world-
class  gold  mining  districts  that  are  located  along  regional-scale  shear  zones. Recent 
discoveries  in  the  inlier  have  triggered  a  real  need  for  understanding  the  controls  on 
gold  mineral  system  location  and  ore  shoot  geometry  in  order  to  improve  Brownfield 
and  Greenfield  exploration  strategies. Through  a  multiscale  and  multidisciplinary 
approach  including  structural  geology,  petrography,  geochemistry  and  geochronology, 
this  work  presents  the  first  integrated  study  of  gold  mineralisation  in  the  world-class 
Sadiola-Yatela district.",Ghana,GPE,spacy
2015_Masurel_phd.txt,5,"Abstract 
The  Paleoproterozoic  belts  of  West  Africa  are  the  fastest-growing  gold 
production 
in 
the  world. The  Kédougou-Kénieba 
inlier  (KKI)  represents 
the 
westernmost  exposure  of  Paleoproterozoic  crust  in  the  West  African  Craton,  with 
outcrops in western Mali and eastern Senegal. The KKI is an emerging world-class gold 
province (>40 Moz, cumulative past production and resources), threatening the premier 
position of Ghana in West African gold production. The inlier hosts a number of world-
class  gold  mining  districts  that  are  located  along  regional-scale  shear  zones. Recent 
discoveries  in  the  inlier  have  triggered  a  real  need  for  understanding  the  controls  on 
gold  mineral  system  location  and  ore  shoot  geometry  in  order  to  improve  Brownfield 
and  Greenfield  exploration  strategies. Through  a  multiscale  and  multidisciplinary 
approach  including  structural  geology,  petrography,  geochemistry  and  geochronology, 
this  work  presents  the  first  integrated  study  of  gold  mineralisation  in  the  world-class 
Sadiola-Yatela district.",Brownfield,GPE,spacy
2015_Masurel_phd.txt,6,"metaluminous  plutons  (e.g.,  diorite,  hornblende-biotite-granodiorite)  to  ca  2080-2060 
Ma peraluminous biotite-monzogranites. The  tectonic,  magmatic,  metamorphic  and  hydrothermal  alteration  history  of  the  gold 
deposits in the district is comparable to that of other world-class orogenic gold deposits 
in the KKI. Despite the commonalities, gold mineralisation in the Sadiola-Yatela district 
exhibits  three  distinct  styles  defined  on  the  basis  of  contrasted  ore  and  alteration 
paragenesis. The  three gold mineralisation styles  are typified by  the Sadiola Hill-style 
Au-As-Sb  mineralisation,  the  Alamoutala-style  Au-Cu  mineralisation,  and  the  Yatela-
style  auriferous  residuum. The  metal  enrichment  association  and  geothermometric 
estimates from ore and alteration paragenesis at Sadiola Hill are compatible with those 
of mesozonal Au-As-Te (6-12 km, 300°-475°C) to near-epizonal Au-Sb (≤6 km, 150°-
300°C)  orogenic  gold  deposits  worldwide. The  Alamoutala  deposit  represents  two 
distinct  hydrothermal  systems  in  which  a  magnetite-bearing  skarn  developed  locally 
surrounding  syn-kinematic  quartz-feldspar-porphyry  stocks,  and  was  overprinted  by 
district-wide orogenic gold mineralisation.",Sadiola Hill,LOC,spacy
2015_Masurel_phd.txt,16,"Sanogo, Fousseyni Samake, Monzon Traoré, Yakouba Koné, and Timothé Sogoba, for 
their warm welcome and making every fieldwork period great. I  acknowledge  the  Australian  Microscopy  and  Microanalysis  Research  Facility 
at  the  Centre  for  Microscopy,  Characterisation  and  Analysis;  a  facility  funded  by  the 
University  of  Western  Australia,  the  state,  and  Commonwealth  governments. I 
especially  thank  Dr. Janet  Muhling  and  Malcolm  Roberts  for  their  excellent  scientific 
assistance on the electron microprobe. I also acknowledge the John de Laeter Centre of 
Excellence for Mass Spectrometry at Curtin University in Western Australia. Hao Gao 
and Cristina Talavera are thanked for their tireless assistance on the mystical SHRIMP 
II.",Centre,GPE,spacy
2015_Masurel_phd.txt,16,"Sanogo, Fousseyni Samake, Monzon Traoré, Yakouba Koné, and Timothé Sogoba, for 
their warm welcome and making every fieldwork period great. I  acknowledge  the  Australian  Microscopy  and  Microanalysis  Research  Facility 
at  the  Centre  for  Microscopy,  Characterisation  and  Analysis;  a  facility  funded  by  the 
University  of  Western  Australia,  the  state,  and  Commonwealth  governments. I 
especially  thank  Dr. Janet  Muhling  and  Malcolm  Roberts  for  their  excellent  scientific 
assistance on the electron microprobe. I also acknowledge the John de Laeter Centre of 
Excellence for Mass Spectrometry at Curtin University in Western Australia. Hao Gao 
and Cristina Talavera are thanked for their tireless assistance on the mystical SHRIMP 
II.",Australia,GPE,spacy
2015_Masurel_phd.txt,16,"Sanogo, Fousseyni Samake, Monzon Traoré, Yakouba Koné, and Timothé Sogoba, for 
their warm welcome and making every fieldwork period great. I  acknowledge  the  Australian  Microscopy  and  Microanalysis  Research  Facility 
at  the  Centre  for  Microscopy,  Characterisation  and  Analysis;  a  facility  funded  by  the 
University  of  Western  Australia,  the  state,  and  Commonwealth  governments. I 
especially  thank  Dr. Janet  Muhling  and  Malcolm  Roberts  for  their  excellent  scientific 
assistance on the electron microprobe. I also acknowledge the John de Laeter Centre of 
Excellence for Mass Spectrometry at Curtin University in Western Australia. Hao Gao 
and Cristina Talavera are thanked for their tireless assistance on the mystical SHRIMP 
II.",Western Australia,LOC,spacy
2015_Masurel_phd.txt,16,"(many more sites to list here but it would affect my credibility). Also, I need no words 
to thank the best person out there, my partner Margaux Le-Vaillant. In an ocean of great 
times working on my PhD project, there were times where I was irritable and depressed 
but Margaux has always been my true and great supporter. She is my love and my best 
friend, and I feel that we both learned how to live life to the fullest. To my friends Erik 
Cornelisse and Owen Perry, thank you for having me live the dream and reach a fluent 
level in Aussie slang. The irony has me settling down in Perth for 2 more years while 
you move back to Adelaide and Melbourne respectively.",Perth,GPE,spacy
2015_Masurel_phd.txt,16,"(many more sites to list here but it would affect my credibility). Also, I need no words 
to thank the best person out there, my partner Margaux Le-Vaillant. In an ocean of great 
times working on my PhD project, there were times where I was irritable and depressed 
but Margaux has always been my true and great supporter. She is my love and my best 
friend, and I feel that we both learned how to live life to the fullest. To my friends Erik 
Cornelisse and Owen Perry, thank you for having me live the dream and reach a fluent 
level in Aussie slang. The irony has me settling down in Perth for 2 more years while 
you move back to Adelaide and Melbourne respectively.",Melbourne,GPE,spacy
2015_Masurel_phd.txt,19,"Chapter I. Introduction  
1. Preamble and knowledge gaps 
Paleoproterozoic  (i.e. Birimian)  volcano-plutonic  belts  and  sedimentary  basins 
of  West  Africa  not  only  provide  a  complete  record  of  crustal  growth  but  also  host  a 
number of world-class  gold  deposits  (Abouchami et al., 1990; Boher  et al., 1992). To 
date, a large number of studies have focused on the Baoulé-Mossi domain, which covers 
portions  of  Burkina  Faso,  Côte  d’Ivoire,  Ghana,  Guinea  and  Mali  (Fig. 1).",Guinea,GPE,spacy
2015_Masurel_phd.txt,19,"Gold 
deposits  of  various  types  have  been  recognised  in  these  Birimian  belts  and  include 
orogenic  gold  (e.g.,  Ashanti,  Allibone  et  al.,  2002a,  b),  intrusion-related  gold  (e.g., 
Morila, McFarlane et al., 2011; Hammond et al., 2011), Cu-Au porphyry (e.g., Gaoua, 
public data from AMIRA International West African Initiative final report, 2013), and 
paleoplacer  (e.g.,  Tarkwa,  Pigois  et  al.,  2003). Detailed  deposit-scale  studies,  which 
integrated  structural-metamorphic-hydrothermal  data  with  high  precision  isotopic 
dating,  have  also  shown  evidence  for  distinct  gold  mineralisation  pulses  (e.g.,  2191-
2158 Ma gold at Wassa, Parra-Avila, in press; 2105 ± 2 Ma gold at Ashanti, Oberthür et 
al.,  1998;  2063  ±  9  Ma  gold  at  Damang,  Pigois  et  al.,  2003). Nevertheless,  the  vast 
majority  of  world-class  gold  deposits  in  the  Baoulé-Mossi  domain  belong  to  the 
orogenic  class  (e.g.,  Groves  et  al.,  1998;  Goldfarb  et  al.,  2001;  Groves  et  al.,  2003; 
Goldfarb et al., 2005) and have been related to geological processes associated with the 
Eburnean  orogeny  dated  between  2115  and  2060  Ma  (e.g.,  Feybesse  et  al.,  2006; 
Lawrence et al., 2013; Fougerouse et al., in press; Lebrun et al., in press). A number of 
studies have been carried out elsewhere, in the Archean Kénéma-Man domain and the 
Kédougou-Kénieba  inlier  (Fig. 1),  but  have  been  limited  by  disjointed  political  and 
geographic landscapes, volatile social context, and the recent Ebola outbreak. The KKI represents the westernmost exposure (~22000 km2) of Birimian crust 
in the West African Craton and has received increased attention from both the industry 
and  academia  as  it  represents  an  emerging  world-class  gold  province.",Tarkwa,GPE,spacy
2015_Masurel_phd.txt,19,"Gold 
deposits  of  various  types  have  been  recognised  in  these  Birimian  belts  and  include 
orogenic  gold  (e.g.,  Ashanti,  Allibone  et  al.,  2002a,  b),  intrusion-related  gold  (e.g., 
Morila, McFarlane et al., 2011; Hammond et al., 2011), Cu-Au porphyry (e.g., Gaoua, 
public data from AMIRA International West African Initiative final report, 2013), and 
paleoplacer  (e.g.,  Tarkwa,  Pigois  et  al.,  2003). Detailed  deposit-scale  studies,  which 
integrated  structural-metamorphic-hydrothermal  data  with  high  precision  isotopic 
dating,  have  also  shown  evidence  for  distinct  gold  mineralisation  pulses  (e.g.,  2191-
2158 Ma gold at Wassa, Parra-Avila, in press; 2105 ± 2 Ma gold at Ashanti, Oberthür et 
al.,  1998;  2063  ±  9  Ma  gold  at  Damang,  Pigois  et  al.,  2003). Nevertheless,  the  vast 
majority  of  world-class  gold  deposits  in  the  Baoulé-Mossi  domain  belong  to  the 
orogenic  class  (e.g.,  Groves  et  al.,  1998;  Goldfarb  et  al.,  2001;  Groves  et  al.,  2003; 
Goldfarb et al., 2005) and have been related to geological processes associated with the 
Eburnean  orogeny  dated  between  2115  and  2060  Ma  (e.g.,  Feybesse  et  al.,  2006; 
Lawrence et al., 2013; Fougerouse et al., in press; Lebrun et al., in press). A number of 
studies have been carried out elsewhere, in the Archean Kénéma-Man domain and the 
Kédougou-Kénieba  inlier  (Fig. 1),  but  have  been  limited  by  disjointed  political  and 
geographic landscapes, volatile social context, and the recent Ebola outbreak. The KKI represents the westernmost exposure (~22000 km2) of Birimian crust 
in the West African Craton and has received increased attention from both the industry 
and  academia  as  it  represents  an  emerging  world-class  gold  province.",Archean Kénéma-Man,FAC,spacy
2015_Masurel_phd.txt,20,"intervening sedimentary basins (Dialé-Daléma and Kofi) (Fig. 2). It differs from other 
Birimian granite-greenstone belts by the abundance of carbonates, with thick sequences 
in  the  Dialé-Daléma  and  Kofi  Series  representing  the  most  extensive  carbonate 
exposure in the Birimian of West Africa (Bosse et al., 1996; Bering et al., 1998). The 
structural  architecture  of  the  inlier  is  marked  by  two  regional-scale  tectonic 
discontinuities, respectively the Senegal-Mali Shear Zone and Main Transcurrent Zone. A  number  of  world-class  mining  districts  are  located  along  these  highly  prospective 
lineaments  and  include  Loulo-Gounkoto  (~14  Moz),  Sadiola-Yatela  (~12  Moz),  and 
Sabodala-Massawa  (~12  Moz)  (Fig. 2).",Bering,GPE,spacy
